FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Monday, July 08, 2024 03:36:43 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.09
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 71811
DEA_SIDEDNESS= Both Sides
BeginData
 0.143905029237339 0.146882374669836 0.156806859444825 0.131003199029854 0.120086265777366 0.127033405119858 0.138942786849845 0.150852168579832 0.144897477714838 0.131995647507353 0.124056059687362 0.136957889894847 0.140927683804843 0.133980544462351 0.16077665335482 0.143905029237339 0.136957889894847 0.165738895742315 0.131003199029854 0.152837065534829 0.157799307922324
 0.153829514012328 0.150852168579832 0.152837065534829 0.180625622904798 0.156806859444825 0.159784204877322 0.123063611209863 0.135965441417348 0.131003199029854 0.139935235327344 0.153829514012328 0.116116471867371 0.156806859444825 0.118101368822368 0.143905029237339 0.154821962489827 0.135965441417348 0.143905029237339 0.134972992939849 0.156806859444825 0.128025853597357
 0.138942786849845 0.125048508164861 0.137950338372346 0.139935235327344 0.152837065534829 0.125048508164861 0.158791756399823 0.147874823147335 0.143905029237339 0.148867271624834 0.149859720102333 0.145889926192337 0.125048508164861 0.155814410967326 0.141920132282342 0.131003199029854 0.155814410967326 0.130010750552355 0.152837065534829 0.154821962489827 0.137950338372346
 0.153829514012328 0.139935235327344 0.137950338372346 0.137950338372346 0.154821962489827 0.135965441417348 0.131003199029854 0.164746447264816 0.140927683804843 0.142912580759841 0.140927683804843 0.161769101832319 0.156806859444825 0.153829514012328 0.138942786849845 0.144897477714838 0.144897477714838 0.139935235327344 0.134972992939849 0.143905029237339 0.141920132282342
 0.144897477714838 0.134972992939849 0.145889926192337 0.143905029237339 0.148867271624834 0.167723792697313 0.132988095984852 0.141920132282342 0.130010750552355 0.156806859444825 0.157799307922324 0.165738895742315 0.149859720102333 0.12604095664236 0.163753998787317 0.137950338372346 0.132988095984852 0.120086265777366 0.145889926192337 0.116116471867371 0.140927683804843
 0.132988095984852 0.133980544462351 0.138942786849845 0.12604095664236 0.130010750552355 0.163753998787317 0.145889926192337 0.145889926192337 0.158791756399823 0.157799307922324 0.162761550309818 0.162761550309818 0.131995647507353 0.137950338372346 0.145889926192337 0.15184461705733 0.15184461705733 0.146882374669836 0.158791756399823 0.134972992939849 0.120086265777366
 0.11710892034487 0.137950338372346 0.140927683804843 0.142912580759841 0.164746447264816 0.16077665335482 0.142912580759841 0.164746447264816 0.190550107679787 0.191542556157286 0.219331113527254 0.204444386364771 0.184595416814794 0.177648277472301 0.156806859444825 0.167723792697313 0.147874823147335 0.146882374669836 0.143905029237339 0.127033405119858 0.136957889894847
 0.162761550309818 0.156806859444825 0.133980544462351 0.168716241174811 0.154821962489827 0.156806859444825 0.16077665335482 0.167723792697313 0.21436887113976 0.269945985879698 0.268953537402199 0.284832713042181 0.208414180274767 0.197497247022279 0.172686035084807 0.166731344219814 0.147874823147335 0.140927683804843 0.133980544462351 0.132988095984852 0.123063611209863
 0.128025853597357 0.131995647507353 0.149859720102333 0.143905029237339 0.154821962489827 0.140927683804843 0.173678483562306 0.199482143977277 0.296742094772168 0.314606167367149 0.345372070169615 0.310636373457153 0.27689312522219 0.227270701347245 0.215361319617259 0.162761550309818 0.148867271624834 0.152837065534829 0.137950338372346 0.144897477714838 0.147874823147335
 0.135965441417348 0.143905029237339 0.16970868965231 0.124056059687362 0.155814410967326 0.155814410967326 0.224293355914749 0.229255598302243 0.300711888682164 0.341402276259619 0.335447585394626 0.346364518647114 0.324530652142138 0.255059258717214 0.157799307922324 0.162761550309818 0.156806859444825 0.124056059687362 0.11710892034487 0.128025853597357 0.143905029237339
