FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Tuesday, July 09, 2024 21:29:09 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.08
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 504076
DEA_SIDEDNESS= Both Sides
BeginData
 2.15956788703749 1.99482143977269 1.87473517399533 1.68120772088307 1.70601893282054 1.50058209797829 1.45195212258085 1.4072919410934 1.36560910503845 1.41423908043589 1.3278960628935 1.28522077836105 1.41622397739089 1.4916500616808 1.47874823147331 1.60280429116066 1.57898552770069 1.79335439884043 1.8995463859328 2.03749672430514 2.29454087997733
 2.07520976645009 1.76953563538046 1.67128323610808 1.49661230406829 1.43508049846337 1.45989171040084 1.33484320223599 1.31797157811851 1.19788531234116 1.23361345753111 1.20780979711614 1.19590041538616 1.24949263317109 1.27033405119857 1.35171482635347 1.39439011088592 1.46584640126583 1.5770006307457 1.66135875133309 1.88366721029282 2.05536079690012
 1.88565210724782 1.66731344219809 1.50554434036578 1.53829514012324 1.31896402659601 1.2465152877386 1.20284755472865 1.15421757933121 1.12841391891624 1.14429309455622 1.16910430649369 1.07382925265381 1.1611647186737 1.14925533694371 1.22666631818862 1.25941711794608 1.36263175960596 1.44202763780586 1.54127248555574 1.69113220565806 1.80228643513792
 1.72983769628051 1.54226493403324 1.48470292233831 1.33087340832599 1.23758325144111 1.13635350673623 1.12940636739374 1.02519927725636 0.971607059471426 0.992448477498903 0.950765641443949 0.919007290163984 1.06390476787882 1.0807763919963 1.10360270697877 1.1631496156287 1.22666631818862 1.41324663195839 1.44004274085086 1.59684960029567 1.71495096911803
 1.59089490943068 1.46584640126583 1.34873748092097 1.26834915424357 1.11352719175376 1.02222193182387 0.994433374453901 0.923969532551478 0.834649169576577 0.880301799541526 0.857475484559052 0.883279144974023 0.918014841686485 0.920992187118982 1.03512376203135 1.08970842829379 1.16612696106119 1.24750773621609 1.42217866825588 1.51844617057327 1.61769101832315
 1.4916500616808 1.48470292233831 1.30308485095603 1.10062536154627 1.11551208870875 0.959697677741439 0.937863811236463 0.801898369819113 0.788004091134128 0.739374115736681 0.750291048989169 0.701661073591723 0.850528345216559 0.818769993936594 0.887248938884019 0.944810950578955 1.09467067068128 1.18299858517867 1.31300933573102 1.40034480175091 1.53531779469075
 1.55615921271822 1.29415281465854 1.22666631818862 1.09169332524878 0.984508889678912 0.919007290163984 0.854498139126555 0.804875715251609 0.673872516221753 0.680819655564246 0.610355813661823 0.65005375276178 0.646083958851784 0.774109812449143 0.830679375666581 0.951758089921448 1.00932010161638 1.10856494936626 1.18299858517867 1.35072237787597 1.48371047386081
 1.42813335912088 1.28621322683855 1.13139126434874 1.05894252549132 0.970614610993927 0.829686927189082 0.682804552519244 0.615318056049318 0.585544601724351 0.509126068956935 0.55874849283188 0.525005244596917 0.598446431931836 0.592491741066843 0.754260842899165 0.785026745701631 0.915037496253988 1.04901804071634 1.18796082756617 1.27529629358606 1.37354869285844
 1.38744297154343 1.27331139663106 1.15620247628621 1.03313886507635 0.875339557154032 0.870377314766537 0.684789449474241 0.593484189544342 0.484314857019462 0.438662227054512 0.457518748126992 0.474390372244473 0.507141172001937 0.609363365184324 0.700668625114224 0.801898369819113 0.919999738641483 0.994433374453901 1.10558760393377 1.2465152877386 1.27132649967607
 1.35469217178597 1.28621322683855 1.09566311915878 0.987486235111409 0.903128114524001 0.760215533764159 0.610355813661823 0.559740941309379 0.426752845324525 0.360258797332098 0.308651476502155 0.376137972972081 0.472405475289475 0.514088311344429 0.602416225841832 0.77708715788164 0.823732236324089 0.998403168363897 1.09367822220378 1.21674183341363 1.38446562611093
 1.3298809598485 1.25842466946858 1.08474618590629 0.975576853381422 0.879309351064028 0.769147570061649 0.590506844111845 0.515080759821928 0.400949184909554 0.318575961277144 0.220323562004753 0.310636373457153 0.432707536189519 0.534929729371906 0.619287849959314 0.788996539611627 0.845566102829065 0.964659920128934 1.02420682877887 1.24949263317109 1.3278960628935
 1.36263175960596 1.21674183341363 1.09070087677128 1.03214641659886 0.833656721099078 0.761207982241657 0.66791782535676 0.569665426084368 0.44064712400951 0.345372070169615 0.318575961277144 0.339417379304621 0.472405475289475 0.544854214146895 0.615318056049318 0.750291048989169 0.929924223416472 0.977561750336419 1.10955739784376 1.26834915424357 1.4112617350034
 1.31896402659601 1.28819812379355 1.11848943414125 1.04604069528384 0.878316902586529 0.74036656421418 0.718532697709204 0.593484189544342 0.528975038506913 0.448586711829501 0.391024700134565 0.414843463594538 0.508133620479436 0.619287849959314 0.691736588816734 0.760215533764159 0.9041205630015 0.961682574696437 1.14528554303372 1.20284755472865 1.45095967410335
 1.42217866825588 1.26537180881107 1.17009675497119 1.03909355594135 0.917022393208986 0.83167182414408 0.735404321826686 0.656008443626773 0.574627668471863 0.536914626326904 0.568672977606869 0.570657874561867 0.579589910859357 0.700668625114224 0.737389218781684 0.833656721099078 0.919999738641483 0.987486235111409 1.1611647186737 1.27827363901856 1.43011825607587
 1.4043145956609 1.30308485095603 1.20780979711614 1.12444412500624 0.972599507948925 0.890226284316516 0.833656721099078 0.725479837051697 0.674864964699252 0.634174577121797 0.620280298436812 0.625242540824307 0.700668625114224 0.690744140339235 0.829686927189082 0.879309351064028 1.03909355594135 1.14826288846622 1.22765876666612 1.34476768701098 1.51249147970827
 1.51447637666327 1.40232969870591 1.326903614416 1.13039881587124 1.09764801611378 1.00733520466139 0.888241387361518 0.84060386044157 0.856483036081553 0.78601919417913 0.741359012691679 0.765177776151653 0.805868163729108 0.899158320614006 0.935878914281465 0.917022393208986 1.0797839435188 1.13635350673623 1.24949263317109 1.39835990479591 1.52440086143826
 1.68220016936057 1.4946274071133 1.37851093524594 1.25544732403609 1.1571949247637 1.11451964023126 1.02023703486887 0.926946877983975 0.832664272621579 0.862437726946546 0.878316902586529 0.897173423659008 0.955727883831443 0.944810950578955 0.977561750336419 1.05795007701382 1.20483245168365 1.27231894815356 1.38049583220093 1.46088415887834 1.67029078763058
 1.74968666583049 1.51348392818577 1.51149903123078 1.36957889894845 1.29018302074854 1.17505899735868 1.13833840369123 1.03016151964386 0.941833605146459 1.02122948334637 0.982523992723914 1.04008600441885 1.01626724095888 1.00237296227389 1.11054984632126 1.18299858517867 1.22468142123362 1.35072237787597 1.44798232867085 1.59287980638568 1.7357923871455
 1.83801458032788 1.68418506631557 1.58791756399818 1.48271802538331 1.38049583220093 1.28025853597356 1.18994572452116 1.1621571671512 1.16711940953869 1.11352719175376 1.07382925265381 1.06886701026631 1.08673108286129 1.14032330064622 1.22368897275612 1.28819812379355 1.35469217178597 1.40133725022841 1.5720383883582 1.6524267150356 1.87969741638283
 1.9898591973852 1.79831664122793 1.69510199956805 1.56707614597071 1.42217866825588 1.34079789310098 1.36858645047095 1.29812260856853 1.22269652427862 1.18200613670117 1.16612696106119 1.22964366362112 1.25048508164859 1.29018302074854 1.31003199029852 1.48470292233831 1.4886727162483 1.62066836375564 1.68616996327056 1.84992396205786 2.06429283319761
 2.27072211651736 2.01070061541267 1.86481068922035 1.75365645974048 1.64944936960311 1.56906104292571 1.44698988019335 1.41920132282339 1.35965441417346 1.37553358981344 1.39736745631841 1.34476768701098 1.41324663195839 1.4886727162483 1.45989171040084 1.53631024316824 1.66632099372059 1.71296607216303 1.92733494330277 2.03451937887264 2.41561959423218

