FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Wednesday, July 10, 2024 13:25:45 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -1.0408340855861e-17
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 67933
DEA_SIDEDNESS= Both Sides
BeginData
 0.236202737644735 0.243149876987227 0.244142325464726 0.231240495257241 0.230248046779742 0.235210289167236 0.199482143977277 0.190550107679787 0.213376422662261 0.185587865292292 0.183602968337295 0.193527453112283 0.180625622904798 0.180625622904798 0.200474592454776 0.239180083077232 0.238187634599733 0.219331113527254 0.242157428509729 0.268953537402199 0.249104567852221
 0.264983743492203 0.258036604149711 0.243149876987227 0.207421731797268 0.229255598302243 0.203451937887272 0.189557659202288 0.164746447264816 0.184595416814794 0.163753998787317 0.172686035084807 0.173678483562306 0.180625622904798 0.167723792697313 0.1786407259498 0.197497247022279 0.216353768094758 0.21436887113976 0.237195186122234 0.228263149824744 0.248112119374722
 0.235210289167236 0.221316010482252 0.208414180274767 0.213376422662261 0.218338665049755 0.192535004634785 0.165738895742315 0.143905029237339 0.154821962489827 0.142912580759841 0.143905029237339 0.149859720102333 0.137950338372346 0.149859720102333 0.153829514012328 0.19650479854478 0.195512350067281 0.216353768094758 0.217346216572257 0.229255598302243 0.228263149824744
 0.231240495257241 0.211391525707263 0.191542556157286 0.195512350067281 0.163753998787317 0.189557659202288 0.162761550309818 0.135965441417348 0.131003199029854 0.142912580759841 0.112146677957375 0.127033405119858 0.154821962489827 0.128025853597357 0.139935235327344 0.158791756399823 0.168716241174811 0.201467040932274 0.191542556157286 0.212383974184762 0.246127222419724
 0.238187634599733 0.202459489409773 0.183602968337295 0.179633174427299 0.143905029237339 0.134972992939849 0.132988095984852 0.115124023389872 0.120086265777366 0.119093817299867 0.111154229479876 0.0873354660199027 0.112146677957375 0.116116471867371 0.131995647507353 0.131003199029854 0.136957889894847 0.153829514012328 0.199482143977277 0.222308458959751 0.246127222419724
 0.240172531554731 0.202459489409773 0.180625622904798 0.148867271624834 0.138942786849845 0.129018302074856 0.131003199029854 0.105199538614883 0.0962675023173928 0.094282605362395 0.0972599507948917 0.0922977084073972 0.12604095664236 0.108176884047379 0.106191987092382 0.123063611209863 0.146882374669836 0.165738895742315 0.18757276224729 0.202459489409773 0.185587865292292
 0.194519901589782 0.174670932039805 0.198489695499778 0.166731344219814 0.149859720102333 0.112146677957375 0.108176884047379 0.0883279144974016 0.084358120587406 0.0863430175424038 0.0972599507948917 0.084358120587406 0.0793958781999115 0.0893203629749005 0.102222193182386 0.124056059687362 0.145889926192337 0.144897477714838 0.204444386364771 0.192535004634785 0.192535004634785
 0.216353768094758 0.189557659202288 0.167723792697313 0.130010750552355 0.130010750552355 0.104207090137384 0.0784034297224127 0.0883279144974016 0.0803883266774104 0.075426084289916 0.0714562903799204 0.0764185327674149 0.056569563217437 0.084358120587406 0.0774109812449138 0.0952750538398939 0.127033405119858 0.142912580759841 0.171693586607308 0.166731344219814 0.217346216572257
 0.179633174427299 0.180625622904798 0.143905029237339 0.123063611209863 0.111154229479876 0.0833656721099071 0.0932901568848961 0.0803883266774104 0.0704638419024215 0.056569563217437 0.0694713934249226 0.0645091510374281 0.0664940479924259 0.0724487388574193 0.0873354660199027 0.101229744704887 0.108176884047379 0.157799307922324 0.150852168579832 0.1786407259498 0.184595416814794
 0.167723792697313 0.166731344219814 0.166731344219814 0.135965441417348 0.113139126434874 0.108176884047379 0.075426084289916 0.0724487388574193 0.0516073208299425 0.046645078442448 0.0347356967124613 0.0496224238749447 0.0744336358124171 0.0674864964699248 0.0635167025599292 0.113139126434874 0.0962675023173928 0.136957889894847 0.168716241174811 0.162761550309818 0.191542556157286
