FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Wednesday, July 10, 2024 07:42:00 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.03
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 55503
DEA_SIDEDNESS= Both Sides
BeginData
 0.213376422662261 0.195512350067281 0.195512350067281 0.179633174427299 0.162761550309818 0.149859720102333 0.146882374669836 0.143905029237339 0.161769101832319 0.166731344219814 0.122071162732364 0.164746447264816 0.159784204877322 0.156806859444825 0.157799307922324 0.166731344219814 0.181618071382297 0.188565210724789 0.181618071382297 0.190550107679787 0.1786407259498
 0.190550107679787 0.215361319617259 0.1786407259498 0.179633174427299 0.156806859444825 0.144897477714838 0.158791756399823 0.135965441417348 0.144897477714838 0.125048508164861 0.129018302074856 0.12604095664236 0.123063611209863 0.142912580759841 0.131003199029854 0.157799307922324 0.147874823147335 0.188565210724789 0.188565210724789 0.182610519859796 0.19650479854478
 0.19650479854478 0.179633174427299 0.177648277472301 0.141920132282342 0.150852168579832 0.145889926192337 0.111154229479876 0.131995647507353 0.122071162732364 0.132988095984852 0.122071162732364 0.131995647507353 0.156806859444825 0.142912580759841 0.125048508164861 0.168716241174811 0.170701138129809 0.158791756399823 0.168716241174811 0.176655828994802 0.198489695499778
 0.172686035084807 0.15184461705733 0.146882374669836 0.136957889894847 0.127033405119858 0.119093817299867 0.094282605362395 0.118101368822368 0.124056059687362 0.107184435569881 0.124056059687362 0.106191987092382 0.131995647507353 0.109169332524878 0.12604095664236 0.122071162732364 0.121078714254865 0.147874823147335 0.1786407259498 0.179633174427299 0.170701138129809
 0.185587865292292 0.174670932039805 0.132988095984852 0.134972992939849 0.144897477714838 0.119093817299867 0.112146677957375 0.103214641659885 0.107184435569881 0.0853505690649049 0.102222193182386 0.120086265777366 0.118101368822368 0.125048508164861 0.137950338372346 0.125048508164861 0.140927683804843 0.141920132282342 0.136957889894847 0.147874823147335 0.173678483562306
 0.173678483562306 0.165738895742315 0.141920132282342 0.140927683804843 0.125048508164861 0.0992448477498894 0.101229744704887 0.108176884047379 0.102222193182386 0.100237296227388 0.0714562903799204 0.0863430175424038 0.0863430175424038 0.0952750538398939 0.132988095984852 0.131003199029854 0.131995647507353 0.144897477714838 0.135965441417348 0.155814410967326 0.175663380517304
 0.147874823147335 0.155814410967326 0.137950338372346 0.11710892034487 0.116116471867371 0.0922977084073972 0.100237296227388 0.0863430175424038 0.084358120587406 0.0694713934249226 0.0625242540824303 0.0694713934249226 0.0784034297224127 0.0813807751549093 0.0913052599298983 0.0903128114523994 0.0883279144974016 0.147874823147335 0.136957889894847 0.150852168579832 0.154821962489827
 0.144897477714838 0.124056059687362 0.141920132282342 0.120086265777366 0.107184435569881 0.111154229479876 0.103214641659885 0.0764185327674149 0.0585544601724348 0.0664940479924259 0.065501599514927 0.0674864964699248 0.0645091510374281 0.0734411873349182 0.0893203629749005 0.109169332524878 0.0833656721099071 0.111154229479876 0.132988095984852 0.158791756399823 0.145889926192337
 0.155814410967326 0.118101368822368 0.134972992939849 0.108176884047379 0.112146677957375 0.084358120587406 0.0883279144974016 0.0645091510374281 0.0535922177849403 0.0506148723524436 0.0446601814874502 0.0476375269199469 0.0456526299649491 0.065501599514927 0.0784034297224127 0.0972599507948917 0.0903128114523994 0.131995647507353 0.124056059687362 0.125048508164861 0.173678483562306
 0.142912580759841 0.158791756399823 0.115124023389872 0.119093817299867 0.110161781002377 0.105199538614883 0.0575620116949359 0.0575620116949359 0.0506148723524436 0.0406903875774547 0.0367205936674591 0.0297734543249668 0.0585544601724348 0.0545846662624392 0.0714562903799204 0.0823732236324082 0.114131574912373 0.109169332524878 0.115124023389872 0.143905029237339 0.150852168579832
