FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Tuesday, July 09, 2024 16:22:53 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.1
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 2102108
DEA_SIDEDNESS= Both Sides
BeginData
 4.23874744739747 4.3776902342473 4.27447559258743 4.24569458673996 4.43029000355474 4.59999869320703 4.67542477749694 4.4640332517897 4.49976139697965 4.55732340867458 4.51365567566464 4.50075384545715 4.5444215784671 4.51464812414214 4.56129320258458 4.44716162767222 4.42135796725725 4.4610559063572 4.17126095092755 4.2973019075699 4.34593188296734
 4.18019298722504 4.19507971438752 4.43326734898723 4.45311631853721 4.56625544497207 4.64267397773948 4.625802353622 4.54938382085459 4.59602889929704 4.74291127396686 4.56923279040457 4.60297603863953 4.75978289808434 4.52754995434962 4.64068908078448 4.64664377164948 4.50770098479964 4.59106665690954 4.23973989587497 4.2982943560474 4.27546804106493
 4.25661151999245 4.37272799185981 4.42830510659974 4.52556505739462 4.59007420843204 4.55236116628709 4.69229640161442 4.67542477749694 4.77566207372432 4.69229640161442 4.74390372244436 4.81436756434677 4.7925336978418 4.7081755772544 4.57717237822456 4.59404400234204 4.47991242742968 4.57518748126956 4.48288977286217 4.36379595556232 4.30921128929988
 4.41441082791476 4.55533851171959 4.47991242742968 4.48685956677217 4.7091680257319 4.73993392853436 4.86498243669921 4.86795978213171 4.81932980673427 4.75779800112934 4.88979364863668 4.81337511586927 4.82329960064426 4.7895563524093 4.82925429150925 4.6307645960095 4.73298678919187 4.53945933607961 4.55037626933209 4.46899549417719 4.44120693680722
 4.46800304569969 4.55633096019709 4.51067833023214 4.57717237822456 4.82329960064426 4.78161676458931 4.76673003742683 4.9592650420616 4.78558655849931 4.89872568493417 4.99003094486406 4.89277099406918 4.94140096946662 4.83520898237425 4.72008495898439 4.84811081258173 4.63473438991949 4.60396848711703 4.57419503279206 4.59205910538704 4.39753920379728
 4.59503645081954 4.67641722597444 4.56427054801708 4.57419503279206 4.7071831287769 4.8758993699517 4.89574833950167 4.8719295760417 4.99102339334156 5.01881195071152 5.00194032659405 4.99499318725155 4.96422728444909 4.86696733365421 4.88483140624919 4.68733415922693 4.88582385472669 4.73695658310187 4.57617992974706 4.55831585715208 4.49380670611466
 4.55434606324209 4.52060281500713 4.60496093559453 4.79848838870679 4.80940532195928 4.90964261818666 4.96918952683659 5.04858540503649 5.05950233828898 5.11210210759641 4.96720462988159 5.02476664157652 5.00690256898154 5.11110965911891 5.01583460527903 4.94834810880911 4.74390372244436 4.75879044960684 4.61091562645952 4.47197283960969 4.53548954216961
 4.61488542036951 4.56427054801708 4.72504720137188 4.84711836410423 4.86200509126671 5.01285725984653 4.98506870247657 5.07538151392896 4.99300829029656 5.11309455607391 5.13790576801138 5.13294352562389 5.11210210759641 5.03270622939651 4.96720462988159 4.94735566033161 4.82131470368926 4.78657900697681 4.73397923766937 4.68634171074943 4.56724789344957
 4.58709686299955 4.60694583254952 4.69825109247941 4.83818632780674 4.93842362403412 4.90865016970916 5.10416251977642 5.1220265923714 5.13095862866889 5.11607190150641 5.2034073675263 5.2014224705713 5.09324558652393 5.16172453147135 5.11210210759641 4.86002019431172 4.97216687226908 4.86299753974421 4.7131378196419 4.629772147532 4.63175704448699
 4.49777650002466 4.72405475289438 4.64168152926198 4.81238266739178 4.9592650420616 5.06644947763147 5.08232865327145 5.15080759821887 5.18951308884132 5.07637396240646 5.13492842257888 5.22127144012128 5.16271697994885 5.19546777970631 5.14088311344388 4.92849913925913 4.99201584181906 4.89773323645667 4.63572683839699 4.59404400234204 4.53747443912461
