FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Wednesday, July 10, 2024 19:31:29 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.1
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 1146123
DEA_SIDEDNESS= Both Sides
BeginData
 2.28163904976984 2.28660129215734 2.36599717035724 2.41561959423218 2.3967630731597 2.41760449118718 2.47417405440461 2.44241570312465 2.44936284246714 2.57639624758698 2.46821936353962 2.45928732724213 2.4821136422246 2.45730243028713 2.40668755793469 2.44737794551214 2.34515575232976 2.42653652748467 2.24094866219239 2.21613745025492 2.25682783783237
 2.29454087997733 2.27766925585985 2.50295506025207 2.42752897596216 2.45432508485463 2.51089464807206 2.54066810239703 2.48806833308959 2.49700036938708 2.57341890215449 2.59029052627197 2.57738869606448 2.52379647827955 2.50692485416207 2.46226467267462 2.57738869606448 2.47516650288211 2.50394750872957 2.37889900056472 2.44043080616965 2.36698961883474
 2.34317085537477 2.46921181201711 2.42554407900717 2.45829487876463 2.46821936353962 2.57143400519949 2.50295506025207 2.54662279326202 2.6488449864444 2.5634944173795 2.63296581080442 2.58632073236197 2.5674642112895 2.59029052627197 2.58532828388447 2.48806833308959 2.46027977571963 2.43745346073715 2.50394750872957 2.45234018789963 2.43149876987216
 2.44043080616965 2.44638549703464 2.40867245488969 2.54662279326202 2.54265299935203 2.55059258717202 2.50394750872957 2.52379647827955 2.71732393139181 2.62998846537192 2.65678457426439 2.58830562931697 2.67961088924686 2.60319235647945 2.61410928973194 2.53372096305454 2.60815459886695 2.51387199350456 2.4840985391796 2.42355918205217 2.44043080616965
 2.52081913284705 2.3947781762047 2.66174681665188 2.60716215038945 2.58235093845198 2.5634944173795 2.60120745952445 2.63495070775941 2.69350516793184 2.69152027097685 2.75503697353677 2.65479967730939 2.63892050166941 2.69449761640934 2.51585689045956 2.49104567852209 2.53173606609954 2.55555482955951 2.46325712115212 2.51287954502706 2.42752897596216
 2.44936284246714 2.60021501104696 2.57540379910949 2.59326787170446 2.57242645367699 2.68755047706685 2.7282408646443 2.62899601689442 2.66968640447187 2.66472416208438 2.66373171360688 2.74908228267178 2.69052782249935 2.62006398059693 2.5674642112895 2.71533903443682 2.58135848997448 2.59922256256946 2.55952462346951 2.43348366682716 2.58929807779447
 2.4850909876571 2.45730243028713 2.62502622298443 2.60815459886695 2.66174681665188 2.67663354381436 2.6448751925344 2.72129372530181 2.65479967730939 2.76099166440176 2.75999921592426 2.66273926512938 2.60815459886695 2.63693560471441 2.75404452505927 2.75205962810427 2.64090539862441 2.62899601689442 2.46921181201711 2.53372096305454 2.54662279326202
 2.49799281786458 2.53570586000953 2.59426032018196 2.53769075696453 2.58532828388447 2.69152027097685 2.7312182100768 2.77587839156424 2.68159578620186 2.82252347000669 2.84634223346666 2.84435733651166 2.77290104613175 2.75007473114927 2.62899601689442 2.63792805319191 2.71831637986931 2.58731318083947 2.59823011409196 2.49005323004459 2.4821136422246
 2.52776627218954 2.61410928973194 2.72030127682431 2.67464864685937 2.71633148291432 2.6488449864444 2.71136924052682 2.7282408646443 2.69945985879684 2.8116065367542 2.85130447585415 2.79275001568172 2.76496145831176 2.74908228267178 2.7262559676893 2.6478525379669 2.61708663516444 2.60319235647945 2.60517725343445 2.57639624758698 2.47119670897211
 2.57143400519949 2.47417405440461 2.65182233187689 2.61212439277694 2.63395825928191 2.68060333772436 2.67167130142687 2.71136924052682 2.93963239035154 2.82748571239418 2.86519875453913 2.76099166440176 2.78679532481673 2.87214589388163 2.77190859765425 2.77290104613175 2.7302257615993 2.67564109533686 2.56845665976699 2.51089464807206 2.51387199350456
