FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, July 11, 2024 06:24:23 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.06
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 446506
DEA_SIDEDNESS= Both Sides
BeginData
 1.09169332524878 1.06787456178881 1.0797839435188 1.00138051379639 1.05100293767133 1.07085190722131 1.02420682877887 1.03810110746385 1.03313886507635 0.992448477498903 1.01428234400388 1.07085190722131 1.05199538614883 1.00038806531889 1.02718417421136 1.02817662268886 1.03909355594135 1.04901804071634 1.0787914950413 1.1571949247637 1.14032330064622
 1.03611621050885 1.04207090137384 1.08871597981629 1.09864046459128 0.959697677741439 1.01725968943637 0.978554198813918 1.03214641659886 0.969622162516428 0.896180975181509 0.980539095768916 1.02023703486887 0.944810950578955 1.02122948334637 1.02519927725636 1.04604069528384 0.954735435353945 1.04207090137384 1.03313886507635 1.0787914950413 1.12642902196124
 1.03016151964386 1.04901804071634 1.04405579832884 1.02122948334637 1.00038806531889 0.979546647291417 1.01130499857138 1.04504824680634 0.959697677741439 1.02321438030137 1.00435785922889 1.07184435569881 1.05695762853633 1.00535030770639 0.946795847533953 0.975576853381422 1.01328989552638 1.05298783462633 1.10658005241127 1.03413131355385 0.976569301858921
 1.06886701026631 1.06489721635632 1.07283680417631 1.01130499857138 0.973591956426424 0.950765641443949 0.974584404903923 1.00535030770639 0.948780744488951 1.00336541075139 1.01527479248138 1.00138051379639 0.987486235111409 0.970614610993927 0.990463580543905 1.02420682877887 1.00435785922889 1.02619172573386 1.01428234400388 1.04703314376134 0.989471132066406
 1.04703314376134 1.09070087677128 1.02718417421136 1.03214641659886 0.998403168363897 1.01130499857138 0.959697677741439 0.979546647291417 1.00733520466139 1.02321438030137 1.01031255009388 1.02519927725636 0.969622162516428 0.9954258229314 1.04107845289635 0.946795847533953 1.03413131355385 0.991456029021404 0.975576853381422 0.9954258229314 1.01428234400388
 0.9954258229314 1.04107845289635 0.982523992723914 1.02023703486887 0.996418271408899 0.950765641443949 0.989471132066406 0.943818502101457 0.95870522926394 0.955727883831443 1.00138051379639 0.997410719886398 0.983516441201413 1.01031255009388 1.01328989552638 1.00138051379639 1.05298783462633 0.978554198813918 1.00138051379639 1.02222193182387 0.989471132066406
 1.05695762853633 1.01328989552638 1.05497273158133 0.963667471651435 0.954735435353945 0.936871362758964 0.990463580543905 1.00336541075139 1.01130499857138 0.974584404903923 1.02519927725636 1.03909355594135 1.00138051379639 1.00336541075139 0.978554198813918 1.02817662268886 0.953742986876446 1.01626724095888 1.00138051379639 0.982523992723914 1.03313886507635
 1.01031255009388 1.02817662268886 0.95870522926394 0.942826053623958 0.996418271408899 0.992448477498903 1.00535030770639 0.985501338156411 0.965652368606433 0.941833605146459 0.941833605146459 1.02619172573386 0.932901568848969 0.984508889678912 0.938856259713962 0.947788296011452 0.961682574696437 0.942826053623958 1.00733520466139 0.998403168363897 1.05993497396882
 0.976569301858921 0.979546647291417 0.941833605146459 1.00435785922889 1.00038806531889 0.952750538398947 0.978554198813918 0.944810950578955 0.919999738641483 0.957712780786441 0.972599507948925 0.963667471651435 0.955727883831443 1.03512376203135 1.02321438030137 0.932901568848969 0.990463580543905 1.00634275618389 0.992448477498903 1.01527479248138 1.04306334985134
 1.01428234400388 1.01825213791387 0.997410719886398 0.991456029021404 0.994433374453901 0.996418271408899 0.985501338156411 0.999395616841395 0.981531544246415 0.970614610993927 0.942826053623958 0.959697677741439 0.977561750336419 1.01130499857138 0.997410719886398 0.997410719886398 0.936871362758964 0.968629714038929 1.07382925265381 1.00237296227389 1.05199538614883
 1.00832765313888 0.999395616841395 0.975576853381422 0.998403168363897 0.965652368606433 0.997410719886398 1.01725968943637 1.01725968943637 0.996418271408899 0.997410719886398 0.920992187118982 0.951758089921448 0.914045047776489 0.939848708191461 0.980539095768916 0.969622162516428 0.991456029021404 1.02420682877887 0.991456029021404 1.01725968943637 1.02023703486887
 1.03413131355385 1.03512376203135 0.985501338156411 1.00237296227389 0.947788296011452 0.984508889678912 0.959697677741439 0.965652368606433 0.928931774938973 0.980539095768916 1.01229744704888 0.948780744488951 0.974584404903923 0.988478683588907 0.965652368606433 1.02718417421136 1.03413131355385 0.979546647291417 0.968629714038929 1.02718417421136 1.00336541075139
 0.98649378663391 0.971607059471426 1.00138051379639 0.951758089921448 0.919999738641483 1.01825213791387 0.954735435353945 0.955727883831443 1.00535030770639 0.944810950578955 0.962675023173936 0.996418271408899 0.978554198813918 0.927939326461474 1.02122948334637 0.963667471651435 0.971607059471426 1.01725968943637 0.989471132066406 0.955727883831443 1.02222193182387
 1.06886701026631 1.01527479248138 0.951758089921448 0.980539095768916 0.980539095768916 1.01725968943637 0.994433374453901 1.01626724095888 0.960690126218938 0.973591956426424 0.990463580543905 0.968629714038929 0.943818502101457 0.972599507948925 1.01825213791387 0.96763726556143 0.996418271408899 0.968629714038929 0.983516441201413 1.02023703486887 1.01428234400388
 1.07184435569881 1.0777990465638 0.984508889678912 0.918014841686485 1.01229744704888 0.988478683588907 0.9954258229314 1.03611621050885 1.01527479248138 0.984508889678912 1.03512376203135 1.03512376203135 0.948780744488951 0.993440925976402 0.985501338156411 0.992448477498903 1.03909355594135 1.01229744704888 1.01725968943637 1.02718417421136 1.0777990465638
