FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Friday, July 12, 2024 08:08:34 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.04
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 304044
DEA_SIDEDNESS= Both Sides
BeginData
 0.906105459956498 0.834649169576577 0.806860612206607 0.775102260926642 0.748306152034172 0.804875715251609 0.797928575909117 0.701661073591723 0.735404321826686 0.743343909646677 0.745328806601675 0.720517594664202 0.721510043141701 0.758230636809161 0.787011642656629 0.784034297224132 0.729449630961692 0.79495123047662 0.859460381514049 0.854498139126555 0.901143217569004
 0.906105459956498 0.824724684801588 0.84953589673906 0.751283497466668 0.755253291376664 0.749298600511671 0.702653522069222 0.715555352276708 0.742351461169178 0.745328806601675 0.668910273834259 0.74036656421418 0.719525146186703 0.67684986165425 0.723494940096699 0.760215533764159 0.80388326677411 0.860452829991548 0.758230636809161 0.796936127431618 0.910075253866494
 0.804875715251609 0.820754890891592 0.833656721099078 0.741359012691679 0.808845509161605 0.712578006844211 0.726472285529196 0.644099061896786 0.673872516221753 0.724487388574198 0.696698831204228 0.64112171646429 0.696698831204228 0.738381667259183 0.679827207086747 0.73143452791669 0.725479837051697 0.747313703556673 0.745328806601675 0.779072054836638 0.812815303071601
 0.812815303071601 0.804875715251609 0.781056951791636 0.770140018539148 0.689751691861736 0.67684986165425 0.672880067744255 0.657000892104272 0.668910273834259 0.687766794906738 0.66791782535676 0.644099061896786 0.652038649716777 0.626234989301806 0.64112171646429 0.720517594664202 0.642114164941788 0.700668625114224 0.736396770304185 0.801898369819113 0.782049400269134
 0.816785096981596 0.76815512158415 0.742351461169178 0.712578006844211 0.636159474076795 0.693721485771732 0.665932928401762 0.614325607571819 0.617302953004316 0.630204783211802 0.615318056049318 0.55874849283188 0.655015995149274 0.664940479924263 0.652038649716777 0.683797000996743 0.718532697709204 0.739374115736681 0.743343909646677 0.750291048989169 0.792966333521622
 0.769147570061649 0.741359012691679 0.690744140339235 0.717540249231705 0.67684986165425 0.607378468229327 0.634174577121797 0.62226519539181 0.584552153246852 0.64112171646429 0.578597462381858 0.562718286741876 0.659978237536769 0.626234989301806 0.593484189544342 0.663948031446764 0.629212334734303 0.657000892104272 0.766170224629152 0.747313703556673 0.791973885044124
 0.775102260926642 0.746321255079174 0.672880067744255 0.701661073591723 0.661963134491767 0.653031098194276 0.591499292589344 0.649061304284281 0.598446431931836 0.555771147399383 0.589514395634346 0.602416225841832 0.580582359336856 0.611348262139322 0.659978237536769 0.628219886256804 0.640129267986791 0.710593109889213 0.734411873349187 0.714562903799209 0.752275945944167
 0.778079606359139 0.710593109889213 0.684789449474241 0.677842310131749 0.59546908649934 0.628219886256804 0.596461534976839 0.547831559579392 0.552793801966887 0.556763595876882 0.548824008056891 0.516073208299427 0.551801353489388 0.555771147399383 0.65005375276178 0.588521947156847 0.581574807814355 0.628219886256804 0.666925376879261 0.743343909646677 0.757238188331662
 0.737389218781684 0.708608212934215 0.709600661411714 0.65005375276178 0.62226519539181 0.646083958851784 0.591499292589344 0.548824008056891 0.58653705020185 0.561725838264377 0.545846662624394 0.537907074804403 0.557756044354381 0.571650323039366 0.562718286741876 0.580582359336856 0.648068855806782 0.656008443626773 0.674864964699252 0.762200430719156 0.749298600511671
 0.734411873349187 0.702653522069222 0.686774346429239 0.661963134491767 0.589514395634346 0.60440112279683 0.588521947156847 0.548824008056891 0.556763595876882 0.520043002209423 0.55874849283188 0.525997693074416 0.532944832416908 0.575620116949362 0.581574807814355 0.611348262139322 0.647076407329283 0.642114164941788 0.686774346429239 0.727464734006695 0.742351461169178
