FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Monday, July 22, 2024 10:47:17 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.02
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.0525
A_AXIS_MAX= 0.0525
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.0525
B_AXIS_MAX= 0.0525
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 210448
DEA_SIDEDNESS= Both Sides
BeginData
 0.31759999927274 0.291999999331359 0.259199999406465 0.257199999411045 0.240799999448598 0.233999999464169 0.242399999444934 0.233999999464169 0.226399999481572 0.230399999472413 0.240399999449514 0.25279999942112 0.227199999479741 0.226399999481572 0.249199999429363 0.236399999458674 0.235199999461422 0.25479999941654 0.273599999373492 0.289199999337771 0.307599999295638
 0.307199999296554 0.271199999378987 0.251999999422952 0.247599999433027 0.218399999499891 0.205599999529202 0.223599999487984 0.199999999542025 0.215199999507219 0.234399999463253 0.226399999481572 0.213599999510883 0.213199999511799 0.221999999491648 0.226799999480656 0.232799999466917 0.204799999531034 0.2231999994889 0.263999999395474 0.244799999439439 0.281999999354258
 0.278399999362501 0.269999999381735 0.224799999485236 0.212799999512715 0.193199999557596 0.178399999591486 0.213199999511799 0.203199999534698 0.200399999541109 0.199999999542025 0.209999999519126 0.204799999531034 0.202799999535613 0.210799999517294 0.184799999576831 0.197199999548437 0.200399999541109 0.199599999542941 0.235599999460506 0.249599999428447 0.28319999935151
 0.226799999480656 0.218399999499891 0.202399999536529 0.179999999587823 0.175599999597898 0.169199999612553 0.190799999563092 0.178399999591486 0.186799999572251 0.189999999564924 0.180399999586907 0.184799999576831 0.192399999559428 0.173199999603394 0.17479999959973 0.152399999651023 0.181599999584159 0.187999999569504 0.19359999955668 0.229199999475161 0.261999999400054
 0.249599999428447 0.220399999495312 0.183599999579579 0.169599999611637 0.142399999673922 0.151199999653771 0.161599999629956 0.155199999644612 0.173999999601562 0.160399999632704 0.157199999640032 0.154799999645528 0.173199999603394 0.163599999625377 0.148799999659267 0.148799999659267 0.153999999647359 0.176399999596066 0.197199999548437 0.214399999509051 0.229599999474245
 0.245999999436691 0.211599999515463 0.183999999578663 0.163999999624461 0.148799999659267 0.132799999695905 0.123599999716972 0.14519999966751 0.160799999631788 0.153199999649191 0.166799999618049 0.158399999637284 0.150799999654687 0.145999999665678 0.142399999673922 0.133199999694989 0.154399999646443 0.169199999612553 0.191999999560344 0.226799999480656 0.229199999475161
 0.235599999460506 0.218799999498975 0.190399999564008 0.168799999613469 0.147599999662015 0.137199999685829 0.121999999720635 0.135999999688577 0.143599999671174 0.136799999686745 0.131999999697737 0.154399999646443 0.129199999704148 0.118799999727963 0.118799999727963 0.134399999692241 0.136799999686745 0.177599999593318 0.18959999956584 0.222799999489816 0.240799999448598
 0.235199999461422 0.218799999498975 0.220399999495312 0.179199999589655 0.163599999625377 0.123999999716056 0.135599999689493 0.117199999731627 0.135999999688577 0.12839999970598 0.147199999662931 0.137599999684913 0.131199999699569 0.122399999719719 0.12439999971514 0.139599999680334 0.150799999654687 0.181199999585075 0.203999999532866 0.212399999513631 0.221999999491648
 0.232799999466917 0.234399999463253 0.20639999952737 0.177599999593318 0.153199999649191 0.149199999658351 0.143999999670258 0.137199999685829 0.154799999645528 0.15999999963362 0.149199999658351 0.17679999959515 0.162799999627209 0.154399999646443 0.138799999682166 0.153599999648275 0.16199999962904 0.182799999581411 0.184799999576831 0.209199999520958 0.226799999480656
 0.248799999430279 0.228799999476077 0.201199999539277 0.17679999959515 0.166799999618049 0.16199999962904 0.154799999645528 0.122799999718804 0.180399999586907 0.181999999583243 0.161599999629956 0.166799999618049 0.17079999960889 0.120399999724299 0.146799999663847 0.166799999618049 0.167199999617133 0.190799999563092 0.193999999555764 0.217199999502639 0.210799999517294
 0.227599999478825 0.215999999505387 0.205999999528286 0.18959999956584 0.17879999959057 0.167199999617133 0.145999999665678 0.151999999651939 0.17079999960889 0.162799999627209 0.171599999607058 0.16199999962904 0.162399999628124 0.138799999682166 0.148399999660183 0.150799999654687 0.170399999609805 0.181599999584159 0.205999999528286 0.217999999500807 0.233199999466001
