FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Monday, July 22, 2024 00:00:45 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.05
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.0525
A_AXIS_MAX= 0.0525
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.0525
B_AXIS_MAX= 0.0525
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 474387
DEA_SIDEDNESS= Both Sides
BeginData
 0.384799999118865 0.395199999095051 0.389999999106958 0.380399999128941 0.408399999064826 0.405599999071237 0.393599999098715 0.383999999120697 0.397199999090472 0.415999999047423 0.402799999077649 0.416799999045592 0.38919999910879 0.418399999041928 0.408399999064826 0.387599999112454 0.395199999095051 0.39799999908864 0.385999999116118 0.377999999134436 0.393999999097799
 0.394399999096883 0.391199999104211 0.40679999906849 0.373199999145427 0.388799999109706 0.382399999124361 0.392399999101463 0.409999999061162 0.425599999025441 0.431999999010787 0.421999999033685 0.442399998986973 0.404799999073069 0.434799999004375 0.408399999064826 0.405199999072153 0.403199999076733 0.404399999073985 0.399599999084976 0.385999999116118 0.394799999095967
 0.381199999127109 0.385999999116118 0.383199999122529 0.400799999082229 0.401599999080397 0.411199999058415 0.43719999899888 0.437999998997048 0.417199999044676 0.461199998943924 0.410399999060246 0.427599999020862 0.409599999062078 0.414399999051087 0.427999999019946 0.416399999046508 0.411599999057499 0.407999999065742 0.390399999106043 0.387999999111538 0.361999999171073
 0.408399999064826 0.393199999099631 0.383999999120697 0.405199999072153 0.407999999065742 0.45199999896499 0.434399999005291 0.441999998987888 0.45199999896499 0.451199998966822 0.457999998951252 0.447199998975982 0.445199998980561 0.427599999020862 0.461999998942092 0.44119999898972 0.429199999017198 0.394399999096883 0.406399999069406 0.418399999041928 0.377199999136268
 0.37839999913352 0.403199999076733 0.388799999109706 0.43039999901445 0.443599998984225 0.451599998965906 0.449599998970486 0.470399998922858 0.464399998936597 0.471199998921026 0.463999998937513 0.464399998936597 0.426399999023609 0.463999998937513 0.44999999896957 0.433599999007123 0.426399999023609 0.404399999073985 0.393999999097799 0.404399999073985 0.401199999081313
 0.375999999139016 0.407199999067574 0.428799999018114 0.424799999027273 0.422799999031853 0.445999998978729 0.454399998959495 0.447199998975982 0.471199998921026 0.468799998926522 0.461999998942092 0.473599998915531 0.472399998918278 0.443599998984225 0.451599998965906 0.445599998979645 0.425999999024525 0.435199999003459 0.420799999036432 0.3763999991381 0.401199999081313
 0.405999999070322 0.40679999906849 0.437599998997964 0.463599998938429 0.449599998970486 0.459599998947588 0.461199998943924 0.466799998931101 0.45199999896499 0.44999999896957 0.490799998876146 0.461599998943008 0.46959999892469 0.446799998976897 0.447199998975982 0.458399998950336 0.452399998964075 0.465199998934765 0.405599999071237 0.418799999041012 0.395599999094136
 0.405999999070322 0.399599999084976 0.423599999030021 0.428799999018114 0.439999998992468 0.46959999892469 0.453199998962243 0.490399998877062 0.466799998931101 0.476799998908203 0.44799999897415 0.475999998910035 0.436399999000711 0.482799998894464 0.441599998988804 0.452799998963159 0.443999998983309 0.448399998973234 0.425999999024525 0.399199999085892 0.399199999085892
 0.399199999085892 0.401599999080397 0.434799999004375 0.454399998959495 0.465199998934765 0.431199999012618 0.463999998937513 0.452799998963159 0.467999998928354 0.448799998972318 0.461199998943924 0.446799998976897 0.47839999890454 0.473999998914615 0.457999998951252 0.467999998928354 0.464399998936597 0.418799999041012 0.436399999000711 0.415599999048339 0.396399999092304
 0.395599999094136 0.421999999033685 0.42839999901903 0.481199998898128 0.455999998955831 0.461599998943008 0.46079999894484 0.465199998934765 0.465999998932933 0.465999998932933 0.45879999894942 0.458399998950336 0.462399998941176 0.481599998897212 0.472399998918278 0.459599998947588 0.485999998887137 0.455199998957663 0.439999998992468 0.418799999041012 0.390799999105127
 0.41759999904376 0.415199999049255 0.425199999026357 0.444399998982393 0.486799998885305 0.481599998897212 0.490399998877062 0.437999998997048 0.45199999896499 0.463999998937513 0.492799998871566 0.495599998865155 0.457599998952168 0.455199998957663 0.475999998910035 0.458399998950336 0.470399998922858 0.433199999008039 0.440799998990636 0.44799999897415 0.388799999109706
 0.420399999037348 0.431199999012618 0.459599998947588 0.441999998987888 0.454399998959495 0.477999998905455 0.45879999894942 0.479199998902708 0.489599998878894 0.470399998922858 0.472399998918278 0.438399998996132 0.465599998933849 0.455199998957663 0.443999998983309 0.4391999989943 0.454799998958579 0.450799998967738 0.425599999025441 0.413599999052919 0.377199999136268
 0.404399999073985 0.391199999104211 0.443999998983309 0.447599998975066 0.457599998952168 0.473999998914615 0.472399998918278 0.440399998991552 0.461599998943008 0.459599998947588 0.457199998953083 0.465599998933849 0.453599998961327 0.44119999898972 0.455199998957663 0.453999998960411 0.459199998948504 0.425599999025441 0.416799999045592 0.41079999905933 0.415199999049255
 0.396399999092304 0.429999999015366 0.429199999017198 0.454799998958579 0.443599998984225 0.459599998947588 0.438799998995216 0.457999998951252 0.469199998925606 0.434799999004375 0.444799998981477 0.477199998907287 0.476399998909119 0.464399998936597 0.475199998911867 0.464799998935681 0.455599998956747 0.457599998952168 0.420399999037348 0.425599999025441 0.380399999128941
 0.386399999115202 0.407599999066658 0.421199999035516 0.448799998972318 0.438799998995216 0.463599998938429 0.457199998953083 0.435199999003459 0.490799998876146 0.462399998941176 0.473999998914615 0.473599998915531 0.500399998854164 0.439599998993384 0.455599998956747 0.438799998995216 0.449199998971402 0.447199998975982 0.41759999904376 0.407599999066658 0.407599999066658
