FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Tuesday, July 23, 2024 06:42:02 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.04
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.0525
A_AXIS_MAX= 0.0525
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.0525
B_AXIS_MAX= 0.0525
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 483612
DEA_SIDEDNESS= Both Sides
BeginData
 0.447599998975066 0.461599998943008 0.445199998980561 0.440399998991552 0.449599998970486 0.453599998961327 0.430799999013534 0.461599998943008 0.437599998997964 0.451599998965906 0.421599999034601 0.425599999025441 0.4391999989943 0.425999999024525 0.437599998997964 0.46079999894484 0.443199998985141 0.474799998912783 0.429199999017198 0.464399998936597 0.471999998919194
 0.461199998943924 0.449599998970486 0.442399998986973 0.432799999008955 0.453599998961327 0.450399998968654 0.470399998922858 0.450799998967738 0.449199998971402 0.432399999009871 0.437999998997048 0.46079999894484 0.433599999007123 0.436799998999795 0.454399998959495 0.459599998947588 0.453999998960411 0.483599998892633 0.453599998961327 0.451599998965906 0.457199998953083
 0.453599998961327 0.451199998966822 0.45879999894942 0.453999998960411 0.443199998985141 0.445199998980561 0.425599999025441 0.440799998990636 0.447199998975982 0.404799999073069 0.461999998942092 0.443199998985141 0.432799999008955 0.424399999028189 0.434799999004375 0.448799998972318 0.445199998980561 0.44119999898972 0.445199998980561 0.470399998922858 0.461999998942092
 0.46079999894484 0.454399998959495 0.455599998956747 0.465199998934765 0.46079999894484 0.457999998951252 0.453599998961327 0.426799999022694 0.453999998960411 0.42839999901903 0.429599999016282 0.427599999020862 0.443599998984225 0.434799999004375 0.423599999030021 0.46959999892469 0.452399998964075 0.446399998977813 0.442399998986973 0.445999998978729 0.440799998990636
 0.465999998932933 0.451199998966822 0.479999998900876 0.435599999002543 0.453599998961327 0.443199998985141 0.429599999016282 0.44119999898972 0.450399998968654 0.426799999022694 0.423999999029105 0.41759999904376 0.422399999032769 0.453999998960411 0.43039999901445 0.423599999030021 0.440799998990636 0.434399999005291 0.429599999016282 0.445199998980561 0.453599998961327
 0.451599998965906 0.464399998936597 0.44799999897415 0.450799998967738 0.416799999045592 0.443599998984225 0.443599998984225 0.442399998986973 0.42839999901903 0.416799999045592 0.410399999060246 0.469199998925606 0.431199999012618 0.420399999037348 0.442799998986057 0.447599998975066 0.448799998972318 0.455999998955831 0.466399998932017 0.445199998980561 0.453599998961327
 0.448399998973234 0.455599998956747 0.425999999024525 0.435199999003459 0.455599998956747 0.449199998971402 0.419199999040096 0.400799999082229 0.406399999069406 0.397599999089556 0.39999999908406 0.415999999047423 0.413999999052003 0.435599999002543 0.441999998987888 0.422399999032769 0.459999998946672 0.472799998917362 0.450399998968654 0.444399998982393 0.465199998934765
 0.447199998975982 0.444799998981477 0.432799999008955 0.421199999035516 0.429999999015366 0.4391999989943 0.423999999029105 0.426799999022694 0.429999999015366 0.417999999042844 0.411199999058415 0.423999999029105 0.434399999005291 0.394399999096883 0.403599999075817 0.435599999002543 0.405199999072153 0.448799998972318 0.453999998960411 0.447599998975066 0.441999998987888
 0.458399998950336 0.48039999889996 0.437999998997048 0.442799998986057 0.422799999031853 0.409999999061162 0.440799998990636 0.398799999086808 0.413599999052919 0.393199999099631 0.407999999065742 0.40879999906391 0.413999999052003 0.396799999091388 0.427599999020862 0.421199999035516 0.424799999027273 0.43719999899888 0.452399998964075 0.446799998976897 0.473599998915531
 0.442399998986973 0.452399998964075 0.447599998975066 0.44999999896957 0.431199999012618 0.429999999015366 0.41079999905933 0.428799999018114 0.408399999064826 0.395199999095051 0.407599999066658 0.400399999083144 0.409999999061162 0.415199999049255 0.415599999048339 0.427999999019946 0.417999999042844 0.437999998997048 0.453599998961327 0.464399998936597 0.453999998960411
