FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, July 18, 2024 00:39:02 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.01
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 51332
DEA_SIDEDNESS= Both Sides
BeginData
 0.32254575518714 0.307659028024656 0.245134773942225 0.244142325464726 0.213376422662261 0.201467040932274 0.184595416814794 0.185587865292292 0.168716241174811 0.146882374669836 0.141920132282342 0.156806859444825 0.148867271624834 0.167723792697313 0.176655828994802 0.190550107679787 0.234217840689738 0.23223294373474 0.246127222419724 0.280862919132186 0.347356967124613
 0.247119670897223 0.231240495257241 0.21436887113976 0.19650479854478 0.164746447264816 0.153829514012328 0.156806859444825 0.156806859444825 0.114131574912373 0.122071162732364 0.119093817299867 0.128025853597357 0.16077665335482 0.11710892034487 0.147874823147335 0.132988095984852 0.195512350067281 0.193527453112283 0.22330090743725 0.260021501104709 0.271930882834696
 0.27689312522219 0.215361319617259 0.203451937887272 0.148867271624834 0.155814410967326 0.138942786849845 0.107184435569881 0.135965441417348 0.0922977084073972 0.0913052599298983 0.0922977084073972 0.100237296227388 0.094282605362395 0.094282605362395 0.112146677957375 0.162761550309818 0.165738895742315 0.175663380517304 0.18757276224729 0.215361319617259 0.245134773942225
 0.216353768094758 0.206429283319769 0.179633174427299 0.15184461705733 0.129018302074856 0.105199538614883 0.0873354660199027 0.0714562903799204 0.0674864964699248 0.0664940479924259 0.0724487388574193 0.0704638419024215 0.0793958781999115 0.0893203629749005 0.101229744704887 0.120086265777366 0.143905029237339 0.130010750552355 0.166731344219814 0.210399077229764 0.24116498003223
 0.203451937887272 0.186580313769791 0.173678483562306 0.132988095984852 0.108176884047379 0.0893203629749005 0.0625242540824303 0.0585544601724348 0.0545846662624392 0.0625242540824303 0.0506148723524436 0.0535922177849403 0.0674864964699248 0.0595469086499337 0.0734411873349182 0.107184435569881 0.0972599507948917 0.145889926192337 0.150852168579832 0.177648277472301 0.217346216572257
 0.198489695499778 0.175663380517304 0.130010750552355 0.109169332524878 0.0863430175424038 0.0704638419024215 0.0575620116949359 0.0476375269199469 0.0396979390999558 0.0476375269199469 0.0555771147399381 0.056569563217437 0.0585544601724348 0.0486299753974458 0.0684789449474237 0.0704638419024215 0.0793958781999115 0.0952750538398939 0.106191987092382 0.154821962489827 0.171693586607308
 0.163753998787317 0.156806859444825 0.118101368822368 0.0982523992723905 0.0724487388574193 0.0516073208299425 0.0476375269199469 0.046645078442448 0.0406903875774547 0.0516073208299425 0.046645078442448 0.0367205936674591 0.0317583512799646 0.0446601814874502 0.046645078442448 0.0575620116949359 0.0744336358124171 0.0873354660199027 0.120086265777366 0.144897477714838 0.184595416814794
 0.157799307922324 0.140927683804843 0.116116471867371 0.0893203629749005 0.0595469086499337 0.0516073208299425 0.056569563217437 0.0525997693074414 0.0357281451899602 0.0436677330099514 0.027788557369969 0.0496224238749447 0.0456526299649491 0.0436677330099514 0.0486299753974458 0.0486299753974458 0.075426084289916 0.0893203629749005 0.131995647507353 0.140927683804843 0.180625622904798
 0.158791756399823 0.128025853597357 0.107184435569881 0.0893203629749005 0.0545846662624392 0.0575620116949359 0.0357281451899602 0.0496224238749447 0.0347356967124613 0.0367205936674591 0.0396979390999558 0.0436677330099514 0.0347356967124613 0.0357281451899602 0.0426752845324525 0.0516073208299425 0.0506148723524436 0.0893203629749005 0.0992448477498894 0.139935235327344 0.146882374669836
 0.165738895742315 0.12604095664236 0.101229744704887 0.0704638419024215 0.0645091510374281 0.0525997693074414 0.0406903875774547 0.0476375269199469 0.0347356967124613 0.0347356967124613 0.0337432482349624 0.027788557369969 0.0337432482349624 0.0426752845324525 0.0456526299649491 0.0545846662624392 0.0446601814874502 0.0684789449474237 0.0744336358124171 0.119093817299867 0.143905029237339
