FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, June 27, 2024 09:32:47 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.1
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.1
A_AXIS_MAX= 0.1
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.1
B_AXIS_MAX= 0.1
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 111543
DEA_SIDEDNESS= Both Sides
BeginData
 0.101430000074529 0.103635000076149 0.0989493750727059 0.102808125075541 0.093712500068858 0.0995006250731109 0.0882000000648076 0.0884756250650101 0.0956418750702757 0.0848925000623774 0.0934368750686555 0.0909562500668328 0.0942637500692631 0.0912318750670353 0.079380000058327 0.0906806250666303 0.0912318750670353 0.102532500075339 0.101705625074731 0.106391250078174 0.104461875076756
 0.0967443750710857 0.0928856250682505 0.0876487500644026 0.0956418750702757 0.0890268750654152 0.0826875000607572 0.073040625053669 0.0716625000526564 0.0810337500595421 0.0757968750556942 0.079931250058732 0.0846168750621749 0.0738675000542766 0.086821875063795 0.0694575000510363 0.0859950000631875 0.0832387500611623 0.0851681250625799 0.0992250000729084 0.0995006250731109 0.0959175000704782
 0.0997762500733135 0.0975712500716933 0.0832387500611623 0.0807581250593396 0.0865462500635925 0.0879243750646051 0.0755212500554917 0.0796556250585295 0.0741431250544791 0.0722137500530615 0.0777262500571119 0.0755212500554917 0.0644962500473909 0.0785531250577194 0.0719381250528589 0.079931250058732 0.0796556250585295 0.0859950000631875 0.0848925000623774 0.0942637500692631 0.0953662500700731
 0.0926100000680479 0.0870975000639975 0.0818606250601497 0.0821362500603522 0.0810337500595421 0.0766237500563018 0.0702843750516438 0.0694575000510363 0.0614643750451631 0.0716625000526564 0.0713868750524539 0.0702843750516438 0.0631181250463783 0.0744187500546816 0.0713868750524539 0.0628425000461758 0.0824118750605547 0.0796556250585295 0.0909562500668328 0.0945393750694656 0.0934368750686555
 0.0948150000696681 0.0870975000639975 0.0835143750613648 0.0694575000510363 0.0639450000469858 0.0705600000518463 0.0589837500433404 0.0581568750427328 0.0617400000453657 0.0589837500433404 0.0540225000396949 0.0680793750500236 0.0578812500425303 0.0689062500506312 0.0689062500506312 0.0672525000494161 0.065598750048201 0.0749700000550867 0.0768993750565043 0.0906806250666303 0.0915075000672379
 0.0915075000672379 0.0887512500652127 0.0697331250512388 0.0686306250504287 0.0689062500506312 0.0625668750459732 0.0628425000461758 0.0504393750370621 0.0474075000348343 0.0529200000388848 0.0537468750394924 0.0474075000348343 0.0567787500417202 0.055125000040505 0.0639450000469858 0.066701250049011 0.0741431250544791 0.0788287500579219 0.0865462500635925 0.0843412500619723 0.0884756250650101
 0.0865462500635925 0.0857193750629849 0.066150000048606 0.0774506250569093 0.0653231250479984 0.0576056250423278 0.0501637500368595 0.0465806250342267 0.0410681250301761 0.0350043750257205 0.0380362500279483 0.0468562500344292 0.0427218750313913 0.0418950000307837 0.049336875036252 0.0562275000413151 0.0722137500530615 0.0771750000567068 0.0768993750565043 0.0785531250577194 0.0887512500652127
 0.093161250068453 0.0835143750613648 0.079931250058732 0.0644962500473909 0.0636693750467833 0.0534712500392899 0.0454781250334166 0.0391387500287585 0.0380362500279483 0.0374850000275433 0.0352800000259231 0.0319725000234928 0.0383118750281509 0.0427218750313913 0.0534712500392899 0.0581568750427328 0.0622912500457707 0.0711112500522514 0.0837900000615673 0.0727650000534665 0.0989493750727059
 0.0843412500619723 0.0859950000631875 0.0763481250560993 0.0642206250471884 0.0622912500457707 0.0482343750354418 0.0429975000315938 0.0388631250285559 0.0330750000243029 0.0261843750192397 0.0228768750168095 0.0286650000210625 0.0311456250228852 0.0391387500287585 0.0479587500352393 0.0534712500392899 0.0567787500417202 0.0683550000502262 0.0741431250544791 0.0807581250593396 0.0884756250650101
 0.0826875000607572 0.0835143750613648 0.0785531250577194 0.0711112500522514 0.0531956250390873 0.0534712500392899 0.0512662500376696 0.0350043750257205 0.0256331250188347 0.0264600000194423 0.0212231250155943 0.0228768750168095 0.02949187502167 0.0352800000259231 0.0460293750338216 0.0526443750386823 0.0542981250398974 0.0675281250496186 0.0678037500498211 0.0804825000591371 0.0926100000680479
