FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Wednesday, June 26, 2024 21:20:32 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.07
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.1
A_AXIS_MAX= 0.1
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.1
B_AXIS_MAX= 0.1
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 165425
DEA_SIDEDNESS= Both Sides
BeginData
 0.171163125125769 0.150491250110578 0.154350000113414 0.154625625113616 0.145805625107135 0.148010625108756 0.142222500104502 0.140568750103287 0.136158750100047 0.140293125103085 0.129543750095186 0.129268125094983 0.12348000009073 0.134229375098629 0.140017500102882 0.149940000110173 0.148286250108958 0.153247500112604 0.152696250112199 0.156555000115034 0.167855625123338
 0.165099375121313 0.147183750108148 0.14635687510754 0.145805625107135 0.13974187510268 0.131748750096806 0.130370625095793 0.125409375092148 0.120999375088908 0.108320625079592 0.119896875088097 0.11576250008506 0.117691875086477 0.115211250084655 0.122101875089718 0.139466250102477 0.142222500104502 0.142773750104908 0.142222500104502 0.156555000115034 0.157106250115439
 0.161791875118882 0.147735000108553 0.147459375108351 0.133402500098021 0.130921875096199 0.128441250094376 0.11576250008506 0.103083750075744 0.105288750077364 0.0920587500676429 0.0967443750710857 0.0983981250723009 0.100051875073516 0.124031250091135 0.115211250084655 0.136158750100047 0.130095000095591 0.139466250102477 0.155176875114022 0.144427500106123 0.155452500114224
 0.154350000113414 0.148561875109161 0.135883125099844 0.128441250094376 0.127063125093363 0.113281875083237 0.112455000082629 0.0923343750678454 0.0884756250650101 0.0928856250682505 0.0895781250658202 0.08627062506339 0.0928856250682505 0.0997762500733135 0.113557500083439 0.109147500080199 0.118243125086882 0.131748750096806 0.144427500106123 0.14525437510673 0.145805625107135
 0.138088125101464 0.14084437510349 0.123755625090933 0.121550625089313 0.120999375088908 0.100878750074124 0.0898537500660227 0.0873731250642001 0.0771750000567068 0.0755212500554917 0.0818606250601497 0.0749700000550867 0.0785531250577194 0.0837900000615673 0.0904050000664278 0.105288750077364 0.106115625077971 0.118243125086882 0.138639375101869 0.140293125103085 0.148837500109363
 0.155452500114224 0.120723750088705 0.125960625092553 0.120999375088908 0.101981250074934 0.0917831250674404 0.0807581250593396 0.0835143750613648 0.0744187500546816 0.0633937500465808 0.0716625000526564 0.0576056250423278 0.0683550000502262 0.0807581250593396 0.0923343750678454 0.101705625074731 0.102532500075339 0.109147500080199 0.120723750088705 0.140568750103287 0.149940000110173
 0.133678125098224 0.118794375087287 0.108596250079794 0.101705625074731 0.0909562500668328 0.0909562500668328 0.0664256250488085 0.0735918750540741 0.0581568750427328 0.0578812500425303 0.0454781250334166 0.049888125036657 0.0606375000445556 0.0686306250504287 0.0680793750500236 0.08627062506339 0.101705625074731 0.105564375077566 0.11466000008425 0.137261250100857 0.128716875094578
 0.129543750095186 0.133402500098021 0.105013125077161 0.0989493750727059 0.0843412500619723 0.0757968750556942 0.0669768750492136 0.0556762500409101 0.0487856250358469 0.0380362500279483 0.0385875000283534 0.0377606250277458 0.0438243750322014 0.0534712500392899 0.0625668750459732 0.0719381250528589 0.079931250058732 0.0953662500700731 0.109974375080807 0.119345625087692 0.143876250105718
 0.134505000098831 0.120723750088705 0.110250000081009 0.0912318750670353 0.0788287500579219 0.073040625053669 0.0609131250447581 0.0487856250358469 0.0385875000283534 0.0361068750265307 0.0314212500230877 0.0281137500206574 0.0407925000299736 0.0443756250326065 0.060361875044353 0.0719381250528589 0.0788287500579219 0.0882000000648076 0.0986737500725034 0.12348000009073 0.120723750088705
 0.135607500099642 0.122928750090325 0.103083750075744 0.0912318750670353 0.0837900000615673 0.066701250049011 0.0542981250398974 0.0388631250285559 0.0297675000218726 0.0234281250172145 0.0203962500149867 0.0203962500149867 0.034177500025113 0.0435487500319989 0.0474075000348343 0.0678037500498211 0.0796556250585295 0.0920587500676429 0.0992250000729084 0.117416250086275 0.128165625094173
