FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Wednesday, June 26, 2024 19:35:31 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.09
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.1
A_AXIS_MAX= 0.1
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.1
B_AXIS_MAX= 0.1
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 159272
DEA_SIDEDNESS= Both Sides
BeginData
 0.170336250125161 0.169785000124756 0.160965000118275 0.152145000111794 0.150215625110376 0.143325000105313 0.132851250097616 0.136710000100452 0.131197500096401 0.119621250087895 0.124858125091743 0.125960625092553 0.122653125090123 0.141395625103895 0.142498125104705 0.153247500112604 0.149113125109566 0.148837500109363 0.150491250110578 0.170336250125161 0.172265625126579
 0.168958125124148 0.158760000116654 0.146908125107946 0.150491250110578 0.139190625102275 0.130921875096199 0.114108750083845 0.124858125091743 0.117416250086275 0.11796750008668 0.109974375080807 0.111628125082022 0.112730625082832 0.119896875088097 0.132300000097211 0.132300000097211 0.128992500094781 0.14525437510673 0.151318125111186 0.148561875109161 0.159862500117465
 0.159586875117262 0.152145000111794 0.142498125104705 0.136434375100249 0.132300000097211 0.118794375087287 0.115486875084857 0.105840000077769 0.102808125075541 0.093712500068858 0.106115625077971 0.0995006250731109 0.0912318750670353 0.100603125073921 0.1201725000883 0.11907000008749 0.12127500008911 0.133678125098224 0.131197500096401 0.144427500106123 0.162067500119085
 0.151593750111389 0.136985625100654 0.139190625102275 0.124031250091135 0.119896875088097 0.106666875078376 0.0970200000712883 0.0953662500700731 0.0824118750605547 0.0884756250650101 0.0832387500611623 0.093161250068453 0.0901293750662253 0.0917831250674404 0.108320625079592 0.100878750074124 0.118794375087287 0.118518750087085 0.135607500099642 0.158208750116249 0.163170000119895
 0.155452500114224 0.134780625099034 0.136434375100249 0.117691875086477 0.108320625079592 0.0904050000664278 0.0893025000656177 0.0782775000575169 0.0771750000567068 0.0700087500514413 0.0713868750524539 0.0746943750548841 0.0719381250528589 0.0766237500563018 0.0813093750597446 0.0967443750710857 0.102256875075136 0.11686500008587 0.126511875092958 0.144427500106123 0.146908125107946
 0.141120000103692 0.134229375098629 0.122653125090123 0.0981225000720983 0.0953662500700731 0.0859950000631875 0.0716625000526564 0.0592593750435429 0.0647718750475934 0.0609131250447581 0.059810625043948 0.0537468750394924 0.0576056250423278 0.0683550000502262 0.0791043750581245 0.0741431250544791 0.0978468750718958 0.0978468750718958 0.112730625082832 0.142222500104502 0.131197500096401
 0.14635687510754 0.12568500009235 0.111903750082224 0.104737500076959 0.0846168750621749 0.0733162500538715 0.0683550000502262 0.055125000040505 0.0512662500376696 0.0449268750330115 0.0490612500360494 0.0507150000372646 0.049336875036252 0.0581568750427328 0.0691818750508337 0.0727650000534665 0.079931250058732 0.0953662500700731 0.109974375080807 0.130921875096199 0.139466250102477
 0.122101875089718 0.116589375085667 0.101981250074934 0.0829631250609597 0.0766237500563018 0.0697331250512388 0.060361875044353 0.0463050000340242 0.0432731250317964 0.045202500033214 0.0380362500279483 0.0413437500303787 0.0427218750313913 0.0501637500368595 0.0526443750386823 0.0683550000502262 0.079931250058732 0.0997762500733135 0.102256875075136 0.117140625086072 0.135331875099439
 0.131748750096806 0.114935625084452 0.0961931250706807 0.0741431250544791 0.0757968750556942 0.0633937500465808 0.0507150000372646 0.0435487500319989 0.0366581250269357 0.0308700000226826 0.02949187502167 0.02949187502167 0.0391387500287585 0.0385875000283534 0.0485100000356444 0.0609131250447581 0.0711112500522514 0.0956418750702757 0.0995006250731109 0.117140625086072 0.129543750095186
 0.136710000100452 0.114935625084452 0.0865462500635925 0.0824118750605547 0.065598750048201 0.0576056250423278 0.0509906250374671 0.0474075000348343 0.0250818750184297 0.0253575000186322 0.0198450000145817 0.0184668750135691 0.0297675000218726 0.0429975000315938 0.0542981250398974 0.0639450000469858 0.0622912500457707 0.0865462500635925 0.0906806250666303 0.109423125080402 0.123755625090933
 0.127063125093363 0.104461875076756 0.0882000000648076 0.0865462500635925 0.0705600000518463 0.0531956250390873 0.039965625029366 0.0374850000275433 0.0267356250196448 0.0203962500149867 0.0132300000097211 0.0190181250139741 0.0264600000194423 0.0369337500271382 0.0443756250326065 0.0595350000437455 0.0713868750524539 0.0780018750573144 0.101705625074731 0.109423125080402 0.131473125096604
