FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Wednesday, June 26, 2024 18:05:58 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.1
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.1
A_AXIS_MAX= 0.1
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.1
B_AXIS_MAX= 0.1
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 162728
DEA_SIDEDNESS= Both Sides
BeginData
 0.177778125130629 0.1637212501203 0.161240625118477 0.163170000119895 0.152696250112199 0.14525437510673 0.144427500106123 0.144703125106325 0.120999375088908 0.135883125099844 0.128992500094781 0.134780625099034 0.147183750108148 0.129819375095388 0.140017500102882 0.152696250112199 0.150215625110376 0.155176875114022 0.170887500125566 0.157381875115642 0.169785000124756
 0.186046875136705 0.165375000121515 0.151318125111186 0.141671250104097 0.148010625108756 0.130646250095996 0.127890000093971 0.123755625090933 0.108871875079997 0.105013125077161 0.116589375085667 0.121826250089515 0.118518750087085 0.119896875088097 0.117140625086072 0.126787500093161 0.147735000108553 0.157657500115844 0.150766875110781 0.15931125011706 0.172541250126781
 0.16261875011949 0.167580000123136 0.140568750103287 0.130921875096199 0.133953750098426 0.132024375097009 0.109698750080604 0.102808125075541 0.0989493750727059 0.0967443750710857 0.0975712500716933 0.0986737500725034 0.103910625076351 0.0981225000720983 0.103635000076149 0.118518750087085 0.12348000009073 0.138088125101464 0.152696250112199 0.1419468751043 0.164548125120908
 0.163445625120098 0.14415187510592 0.144978750106528 0.112179375082427 0.124858125091743 0.0972956250714908 0.0961931250706807 0.0882000000648076 0.0857193750629849 0.0920587500676429 0.0791043750581245 0.08627062506339 0.0810337500595421 0.0843412500619723 0.102532500075339 0.105564375077566 0.120999375088908 0.127063125093363 0.142222500104502 0.157933125116047 0.163996875120503
 0.151593750111389 0.146081250107338 0.124306875091338 0.118243125086882 0.113557500083439 0.0887512500652127 0.0873731250642001 0.0735918750540741 0.0901293750662253 0.0694575000510363 0.0771750000567068 0.0672525000494161 0.0804825000591371 0.0780018750573144 0.0901293750662253 0.100051875073516 0.105564375077566 0.12568500009235 0.119621250087895 0.141120000103692 0.147183750108148
 0.143876250105718 0.133402500098021 0.12568500009235 0.109974375080807 0.0851681250625799 0.0865462500635925 0.072489375053264 0.0617400000453657 0.0644962500473909 0.0644962500473909 0.0631181250463783 0.055125000040505 0.066150000048606 0.0727650000534665 0.0713868750524539 0.0873731250642001 0.0928856250682505 0.112179375082427 0.112730625082832 0.137812500101262 0.157106250115439
 0.141395625103895 0.11796750008668 0.101981250074934 0.0934368750686555 0.0898537500660227 0.0719381250528589 0.0631181250463783 0.0600862500441505 0.0570543750419227 0.0518175000380747 0.0542981250398974 0.049336875036252 0.0501637500368595 0.0611887500449606 0.0713868750524539 0.0708356250520489 0.0835143750613648 0.103359375075946 0.108596250079794 0.12127500008911 0.136434375100249
 0.140017500102882 0.120999375088908 0.100327500073719 0.0895781250658202 0.0807581250593396 0.0653231250479984 0.0559518750411126 0.0520931250382772 0.0465806250342267 0.0463050000340242 0.0490612500360494 0.0465806250342267 0.0424462500311888 0.0531956250390873 0.0576056250423278 0.0678037500498211 0.0755212500554917 0.08627062506339 0.105564375077566 0.120448125088502 0.146632500107743
 0.130370625095793 0.115211250084655 0.0972956250714908 0.0818606250601497 0.0746943750548841 0.0636693750467833 0.059810625043948 0.049888125036657 0.0405168750297711 0.039965625029366 0.0344531250253155 0.039965625029366 0.0474075000348343 0.0457537500336191 0.0529200000388848 0.0680793750500236 0.0752456250552892 0.0901293750662253 0.108045000079389 0.109147500080199 0.132300000097211
 0.121550625089313 0.115211250084655 0.101430000074529 0.0956418750702757 0.0713868750524539 0.0565031250415177 0.0556762500409101 0.0457537500336191 0.0358312500263281 0.0383118750281509 0.0369337500271382 0.039965625029366 0.0358312500263281 0.0432731250317964 0.0529200000388848 0.0680793750500236 0.0650475000477959 0.0843412500619723 0.0923343750678454 0.117140625086072 0.118243125086882
