FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, June 27, 2024 04:20:25 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.02
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.1
A_AXIS_MAX= 0.1
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.1
B_AXIS_MAX= 0.1
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 147733
DEA_SIDEDNESS= Both Sides
BeginData
 0.128441250094376 0.136710000100452 0.125960625092553 0.121826250089515 0.124031250091135 0.115486875084857 0.121550625089313 0.103635000076149 0.116313750085465 0.102532500075339 0.107769375079187 0.104186250076554 0.106666875078376 0.122101875089718 0.118518750087085 0.112730625082832 0.131473125096604 0.12348000009073 0.122101875089718 0.137536875101059 0.135056250099237
 0.132024375097009 0.12568500009235 0.143600625105515 0.116038125085262 0.116589375085667 0.112455000082629 0.109147500080199 0.0995006250731109 0.0942637500692631 0.0978468750718958 0.109147500080199 0.0956418750702757 0.106115625077971 0.103359375075946 0.109147500080199 0.112179375082427 0.111628125082022 0.125133750091945 0.132300000097211 0.135056250099237 0.119896875088097
 0.135331875099439 0.123755625090933 0.122653125090123 0.119621250087895 0.109423125080402 0.115486875084857 0.0956418750702757 0.100051875073516 0.101154375074326 0.093712500068858 0.0953662500700731 0.0813093750597446 0.0967443750710857 0.0975712500716933 0.101154375074326 0.105840000077769 0.108596250079794 0.102256875075136 0.111076875081617 0.116313750085465 0.130095000095591
 0.116313750085465 0.113281875083237 0.112455000082629 0.107769375079187 0.104186250076554 0.101154375074326 0.08627062506339 0.100051875073516 0.093712500068858 0.086821875063795 0.0755212500554917 0.0837900000615673 0.0818606250601497 0.0923343750678454 0.0975712500716933 0.0945393750694656 0.0989493750727059 0.113281875083237 0.116038125085262 0.107493750078984 0.12348000009073
 0.115211250084655 0.109974375080807 0.105288750077364 0.0975712500716933 0.0992250000729084 0.0873731250642001 0.0854437500627824 0.0915075000672379 0.0752456250552892 0.0771750000567068 0.0733162500538715 0.0733162500538715 0.0768993750565043 0.0895781250658202 0.0802068750589345 0.0887512500652127 0.0950906250698706 0.106666875078376 0.109147500080199 0.112179375082427 0.110525625081212
 0.119621250087895 0.115486875084857 0.107769375079187 0.0942637500692631 0.0956418750702757 0.0829631250609597 0.0934368750686555 0.0672525000494161 0.0768993750565043 0.0606375000445556 0.0680793750500236 0.0780018750573144 0.0711112500522514 0.0785531250577194 0.073040625053669 0.0804825000591371 0.0953662500700731 0.0981225000720983 0.104186250076554 0.104737500076959 0.11686500008587
 0.127890000093971 0.107218125078782 0.0959175000704782 0.0961931250706807 0.0857193750629849 0.0802068750589345 0.0788287500579219 0.0689062500506312 0.0578812500425303 0.0617400000453657 0.0554006250407076 0.0542981250398974 0.066701250049011 0.0614643750451631 0.0733162500538715 0.0782775000575169 0.0948150000696681 0.101154375074326 0.0904050000664278 0.109423125080402 0.1201725000883
 0.108045000079389 0.105288750077364 0.0948150000696681 0.0865462500635925 0.0780018750573144 0.0760725000558967 0.0680793750500236 0.0589837500433404 0.0554006250407076 0.0454781250334166 0.0485100000356444 0.0454781250334166 0.0523687500384798 0.0584325000429353 0.0705600000518463 0.0777262500571119 0.093161250068453 0.0926100000680479 0.0972956250714908 0.102256875075136 0.115211250084655
 0.100051875073516 0.100603125073921 0.0904050000664278 0.0904050000664278 0.0744187500546816 0.0719381250528589 0.0700087500514413 0.0559518750411126 0.0518175000380747 0.0465806250342267 0.0443756250326065 0.0460293750338216 0.0487856250358469 0.0554006250407076 0.0675281250496186 0.0650475000477959 0.0755212500554917 0.0859950000631875 0.0898537500660227 0.106115625077971 0.105840000077769
 0.113557500083439 0.105013125077161 0.0956418750702757 0.0882000000648076 0.0788287500579219 0.0735918750540741 0.0647718750475934 0.0504393750370621 0.0441000000324039 0.0383118750281509 0.0396900000291635 0.0377606250277458 0.0482343750354418 0.0482343750354418 0.0529200000388848 0.0611887500449606 0.0727650000534665 0.0815850000599471 0.0870975000639975 0.0992250000729084 0.120448125088502
