FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, June 27, 2024 01:14:36 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.02
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.1
A_AXIS_MAX= 0.1
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.1
B_AXIS_MAX= 0.1
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 168894
DEA_SIDEDNESS= Both Sides
BeginData
 0.148561875109161 0.142773750104908 0.151869375111591 0.132575625097414 0.131473125096604 0.135883125099844 0.134505000098831 0.126787500093161 0.12348000009073 0.113557500083439 0.126236250092755 0.112179375082427 0.120448125088502 0.118518750087085 0.123755625090933 0.141671250104097 0.130095000095591 0.150491250110578 0.149113125109566 0.151042500110984 0.139190625102275
 0.152420625111996 0.148010625108756 0.135056250099237 0.128716875094578 0.150215625110376 0.119621250087895 0.112730625082832 0.124306875091338 0.112730625082832 0.11466000008425 0.119345625087692 0.119621250087895 0.122653125090123 0.11796750008668 0.126511875092958 0.129543750095186 0.124031250091135 0.133126875097819 0.14525437510673 0.141395625103895 0.14415187510592
 0.136710000100452 0.143600625105515 0.135056250099237 0.139190625102275 0.118243125086882 0.121550625089313 0.115486875084857 0.103635000076149 0.105013125077161 0.113833125083642 0.103083750075744 0.106115625077971 0.107493750078984 0.103910625076351 0.109698750080604 0.118518750087085 0.118794375087287 0.129819375095388 0.133126875097819 0.140017500102882 0.148561875109161
 0.129268125094983 0.123204375090528 0.128441250094376 0.126236250092755 0.127890000093971 0.108320625079592 0.109423125080402 0.106115625077971 0.100878750074124 0.103635000076149 0.105013125077161 0.100878750074124 0.0972956250714908 0.100327500073719 0.11466000008425 0.112730625082832 0.117691875086477 0.123755625090933 0.133126875097819 0.127338750093566 0.144703125106325
 0.12568500009235 0.12458250009154 0.125960625092553 0.111628125082022 0.108045000079389 0.107493750078984 0.104186250076554 0.0972956250714908 0.103083750075744 0.0948150000696681 0.0909562500668328 0.0915075000672379 0.093161250068453 0.0967443750710857 0.104737500076959 0.110801250081414 0.118243125086882 0.116313750085465 0.120999375088908 0.140017500102882 0.134505000098831
 0.132851250097616 0.120723750088705 0.117691875086477 0.11686500008587 0.118794375087287 0.102256875075136 0.102256875075136 0.0851681250625799 0.0802068750589345 0.0851681250625799 0.0804825000591371 0.0813093750597446 0.0923343750678454 0.0887512500652127 0.0873731250642001 0.106666875078376 0.101430000074529 0.11907000008749 0.119621250087895 0.126236250092755 0.130646250095996
 0.143600625105515 0.112179375082427 0.116038125085262 0.101430000074529 0.100051875073516 0.0901293750662253 0.0928856250682505 0.0785531250577194 0.073040625053669 0.0755212500554917 0.0713868750524539 0.0738675000542766 0.0697331250512388 0.073040625053669 0.0859950000631875 0.0995006250731109 0.0992250000729084 0.108596250079794 0.11907000008749 0.12237750008992 0.125960625092553
 0.117691875086477 0.123204375090528 0.111628125082022 0.0983981250723009 0.093712500068858 0.0824118750605547 0.0796556250585295 0.0672525000494161 0.0644962500473909 0.0576056250423278 0.0581568750427328 0.0636693750467833 0.0680793750500236 0.0744187500546816 0.0752456250552892 0.0859950000631875 0.0912318750670353 0.108596250079794 0.11686500008587 0.113833125083642 0.121826250089515
 0.118518750087085 0.109423125080402 0.109423125080402 0.106115625077971 0.0948150000696681 0.0873731250642001 0.0716625000526564 0.0686306250504287 0.060361875044353 0.0474075000348343 0.0418950000307837 0.0457537500336191 0.0542981250398974 0.059810625043948 0.0708356250520489 0.0859950000631875 0.0939881250690605 0.0909562500668328 0.107769375079187 0.127614375093768 0.111903750082224
 0.129819375095388 0.11907000008749 0.107218125078782 0.0959175000704782 0.0917831250674404 0.0826875000607572 0.0757968750556942 0.060361875044353 0.0471318750346317 0.0369337500271382 0.0281137500206574 0.0322481250236953 0.0460293750338216 0.0534712500392899 0.0669768750492136 0.0746943750548841 0.0959175000704782 0.0997762500733135 0.104737500076959 0.11466000008425 0.116589375085667
 0.125409375092148 0.116038125085262 0.107493750078984 0.0934368750686555 0.0961931250706807 0.0923343750678454 0.0744187500546816 0.0631181250463783 0.039414375028961 0.0220500000162019 0.0107493750078984 0.0270112500198473 0.0435487500319989 0.0545737500401 0.0738675000542766 0.0829631250609597 0.0887512500652127 0.0956418750702757 0.114108750083845 0.106942500078579 0.11466000008425
 0.122653125090123 0.116313750085465 0.102532500075339 0.0986737500725034 0.0920587500676429 0.0901293750662253 0.0727650000534665 0.0573300000421252 0.0518175000380747 0.0319725000234928 0.0203962500149867 0.0305943750224801 0.0460293750338216 0.0647718750475934 0.072489375053264 0.0835143750613648 0.0813093750597446 0.0986737500725034 0.102808125075541 0.111076875081617 0.133953750098426
 0.126511875092958 0.112179375082427 0.111352500081819 0.103083750075744 0.105564375077566 0.0777262500571119 0.0802068750589345 0.0678037500498211 0.0639450000469858 0.0465806250342267 0.0424462500311888 0.0460293750338216 0.0545737500401 0.0606375000445556 0.0771750000567068 0.0870975000639975 0.0950906250698706 0.0964687500708832 0.121826250089515 0.11466000008425 0.122653125090123
 0.124306875091338 0.117140625086072 0.107769375079187 0.100878750074124 0.102256875075136 0.0945393750694656 0.0810337500595421 0.0705600000518463 0.0658743750484035 0.0625668750459732 0.0523687500384798 0.0573300000421252 0.0658743750484035 0.0708356250520489 0.0859950000631875 0.0948150000696681 0.100051875073516 0.106391250078174 0.111352500081819 0.119621250087895 0.119896875088097
 0.134229375098629 0.120448125088502 0.118243125086882 0.120448125088502 0.105840000077769 0.0815850000599471 0.0939881250690605 0.0791043750581245 0.0757968750556942 0.0697331250512388 0.0788287500579219 0.0749700000550867 0.0719381250528589 0.0857193750629849 0.0959175000704782 0.0964687500708832 0.109423125080402 0.119896875088097 0.113833125083642 0.129543750095186 0.122101875089718
 0.124031250091135 0.128165625094173 0.120448125088502 0.116313750085465 0.115486875084857 0.101981250074934 0.0956418750702757 0.0785531250577194 0.0843412500619723 0.0898537500660227 0.0824118750605547 0.0774506250569093 0.079380000058327 0.0939881250690605 0.0906806250666303 0.0879243750646051 0.110250000081009 0.103635000076149 0.126787500093161 0.135883125099844 0.140568750103287
 0.139190625102275 0.131473125096604 0.125409375092148 0.107769375079187 0.11796750008668 0.103910625076351 0.106391250078174 0.0901293750662253 0.0904050000664278 0.0939881250690605 0.0917831250674404 0.0928856250682505 0.0953662500700731 0.0939881250690605 0.104186250076554 0.101705625074731 0.112730625082832 0.11907000008749 0.136434375100249 0.124306875091338 0.139466250102477
 0.140017500102882 0.141120000103692 0.130921875096199 0.12348000009073 0.125960625092553 0.113557500083439 0.100603125073921 0.105288750077364 0.105288750077364 0.0961931250706807 0.110250000081009 0.0989493750727059 0.106942500078579 0.101981250074934 0.0920587500676429 0.121550625089313 0.125133750091945 0.124031250091135 0.118794375087287 0.135056250099237 0.144978750106528
 0.148286250108958 0.132300000097211 0.132024375097009 0.125960625092553 0.117416250086275 0.12568500009235 0.116313750085465 0.108871875079997 0.113281875083237 0.0983981250723009 0.109147500080199 0.106391250078174 0.104186250076554 0.111352500081819 0.111903750082224 0.127063125093363 0.119896875088097 0.130921875096199 0.14415187510592 0.138915000102072 0.138088125101464
 0.159586875117262 0.143600625105515 0.135056250099237 0.148286250108958 0.126787500093161 0.122653125090123 0.123755625090933 0.130921875096199 0.109423125080402 0.11796750008668 0.114108750083845 0.108596250079794 0.116313750085465 0.113281875083237 0.126511875092958 0.11576250008506 0.126236250092755 0.135607500099642 0.143325000105313 0.148561875109161 0.134505000098831
 0.151042500110984 0.153798750113009 0.143325000105313 0.138639375101869 0.14415187510592 0.130370625095793 0.130095000095591 0.12458250009154 0.11466000008425 0.114935625084452 0.125960625092553 0.119345625087692 0.119621250087895 0.126511875092958 0.120999375088908 0.127338750093566 0.135331875099439 0.135331875099439 0.150215625110376 0.140568750103287 0.144978750106528

