FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Friday, July 19, 2024 22:42:53 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.02
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 250454
DEA_SIDEDNESS= Both Sides
BeginData
 0.687766794906738 0.644099061896786 0.693721485771732 0.65005375276178 0.619287849959314 0.57661256542686 0.557756044354381 0.515080759821928 0.482329960064464 0.521035450686922 0.528975038506913 0.497216687226948 0.53195238393941 0.530959935461911 0.546839111101893 0.56768052912937 0.64112171646429 0.625242540824307 0.643106613419287 0.643106613419287 0.721510043141701
 0.632189680166799 0.633182128644298 0.608370916706826 0.656008443626773 0.590506844111845 0.550808905011889 0.519050553731924 0.537907074804403 0.523020347641919 0.480345063109466 0.520043002209423 0.485307305496961 0.494239341794451 0.520043002209423 0.571650323039366 0.548824008056891 0.594476638021841 0.61333315909432 0.580582359336856 0.611348262139322 0.707615764456716
 0.647076407329283 0.601423777364333 0.590506844111845 0.588521947156847 0.571650323039366 0.588521947156847 0.561725838264377 0.496224238749449 0.496224238749449 0.457518748126992 0.490269547884455 0.460496093559488 0.525005244596917 0.537907074804403 0.537907074804403 0.562718286741876 0.527982590029414 0.638144371031793 0.661963134491767 0.621272746914311 0.643106613419287
 0.617302953004316 0.652038649716777 0.592491741066843 0.589514395634346 0.614325607571819 0.547831559579392 0.554778698921884 0.53195238393941 0.51309586286693 0.525997693074416 0.456526299649493 0.512103414389431 0.555771147399383 0.541876868714399 0.533937280894407 0.630204783211802 0.615318056049318 0.603408674319331 0.605393571274329 0.630204783211802 0.620280298436812
 0.593484189544342 0.572642771516865 0.563710735219375 0.611348262139322 0.583559704769353 0.587529498679348 0.529967486984412 0.551801353489388 0.519050553731924 0.532944832416908 0.545846662624394 0.525997693074416 0.510118517434434 0.546839111101893 0.577605013904359 0.62226519539181 0.594476638021841 0.619287849959314 0.592491741066843 0.625242540824307 0.597453983454338
 0.559740941309379 0.573635219994364 0.562718286741876 0.571650323039366 0.609363365184324 0.577605013904359 0.582567256291854 0.583559704769353 0.569665426084368 0.584552153246852 0.581574807814355 0.570657874561867 0.555771147399383 0.547831559579392 0.577605013904359 0.57661256542686 0.599438880409335 0.596461534976839 0.572642771516865 0.556763595876882 0.537907074804403
 0.582567256291854 0.550808905011889 0.550808905011889 0.598446431931836 0.554778698921884 0.597453983454338 0.589514395634346 0.58653705020185 0.611348262139322 0.585544601724351 0.550808905011889 0.573635219994364 0.570657874561867 0.612340710616821 0.598446431931836 0.582567256291854 0.574627668471863 0.534929729371906 0.581574807814355 0.56768052912937 0.535922177849405
 0.535922177849405 0.491261996361954 0.509126068956935 0.517065656776926 0.541876868714399 0.565695632174372 0.548824008056891 0.592491741066843 0.5408844202369 0.534929729371906 0.536914626326904 0.563710735219375 0.593484189544342 0.585544601724351 0.569665426084368 0.525997693074416 0.564703183696874 0.577605013904359 0.536914626326904 0.494239341794451 0.525005244596917
 0.525997693074416 0.473397923766974 0.484314857019462 0.503171378091941 0.527982590029414 0.588521947156847 0.606386019751828 0.585544601724351 0.552793801966887 0.553786250444386 0.552793801966887 0.566688080651871 0.568672977606869 0.548824008056891 0.539891971759401 0.565695632174372 0.574627668471863 0.499201584181946 0.516073208299427 0.524012796119418 0.545846662624394
 0.548824008056891 0.518058105254425 0.489277099406957 0.487292202451959 0.528975038506913 0.556763595876882 0.566688080651871 0.559740941309379 0.537907074804403 0.538899523281902 0.536914626326904 0.548824008056891 0.523020347641919 0.58653705020185 0.565695632174372 0.573635219994364 0.537907074804403 0.490269547884455 0.490269547884455 0.487292202451959 0.447594263352002
