FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Saturday, July 20, 2024 00:50:36 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.01
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 116972
DEA_SIDEDNESS= Both Sides
BeginData
 0.556763595876882 0.517065656776926 0.447594263352002 0.442632020964508 0.443624469442007 0.43171508771202 0.399956736432055 0.421790602937031 0.390032251657066 0.389039803179567 0.43171508771202 0.406903875774547 0.410873669684543 0.411866118162042 0.445609366397005 0.384077560792072 0.443624469442007 0.410873669684543 0.480345063109466 0.50416382656944 0.528975038506913
 0.520043002209423 0.457518748126992 0.405911427297048 0.360258797332098 0.334455136917127 0.34934186407961 0.3592663488546 0.362243694287096 0.394002045567061 0.347356967124613 0.339417379304621 0.364228591242094 0.326515549097136 0.379115318404578 0.34040982778212 0.355296554944604 0.367205936674591 0.363236142764595 0.404918978819549 0.436677330099514 0.492254444839453
 0.438662227054512 0.441639572487009 0.364228591242094 0.326515549097136 0.264983743492203 0.282847816087184 0.288802506952177 0.303689234114661 0.30468168259216 0.298726991727166 0.28582516151968 0.306666579547157 0.303689234114661 0.318575961277144 0.32254575518714 0.310636373457153 0.30468168259216 0.269945985879698 0.329492894529632 0.417820809027035 0.439654675532011
 0.457518748126992 0.363236142764595 0.335447585394626 0.264983743492203 0.231240495257241 0.238187634599733 0.230248046779742 0.235210289167236 0.243149876987227 0.25009701632972 0.263991295014704 0.244142325464726 0.252081913284717 0.229255598302243 0.262006398059707 0.21436887113976 0.221316010482252 0.222308458959751 0.330485343007131 0.394002045567061 0.425760396847026
 0.418813257504534 0.356289003422103 0.278878022177188 0.219331113527254 0.170701138129809 0.159784204877322 0.173678483562306 0.184595416814794 0.199482143977277 0.215361319617259 0.222308458959751 0.194519901589782 0.20543683484227 0.190550107679787 0.180625622904798 0.177648277472301 0.164746447264816 0.225285804392248 0.297734543249667 0.367205936674591 0.427745293802024
 0.383085112314573 0.372168179062085 0.326515549097136 0.225285804392248 0.145889926192337 0.103214641659885 0.141920132282342 0.134972992939849 0.150852168579832 0.131995647507353 0.158791756399823 0.137950338372346 0.131003199029854 0.129018302074856 0.111154229479876 0.139935235327344 0.162761550309818 0.231240495257241 0.271930882834696 0.375145524494582 0.411866118162042
 0.391024700134565 0.339417379304621 0.306666579547157 0.245134773942225 0.166731344219814 0.116116471867371 0.0903128114523994 0.084358120587406 0.114131574912373 0.116116471867371 0.107184435569881 0.0883279144974016 0.125048508164861 0.0853505690649049 0.105199538614883 0.110161781002377 0.162761550309818 0.25009701632972 0.286817609997179 0.362243694287096 0.39499449404456
 0.396979390999558 0.341402276259619 0.318575961277144 0.252081913284717 0.21436887113976 0.159784204877322 0.113139126434874 0.111154229479876 0.094282605362395 0.0813807751549093 0.0873354660199027 0.0744336358124171 0.094282605362395 0.0982523992723905 0.111154229479876 0.152837065534829 0.19650479854478 0.238187634599733 0.294757197817171 0.372168179062085 0.396979390999558
 0.395986942522059 0.355296554944604 0.329492894529632 0.246127222419724 0.179633174427299 0.135965441417348 0.110161781002377 0.0774109812449138 0.100237296227388 0.0774109812449138 0.0734411873349182 0.0764185327674149 0.0823732236324082 0.0903128114523994 0.123063611209863 0.154821962489827 0.18757276224729 0.261013949582208 0.324530652142138 0.387054906224569 0.354304106467105
 0.433699984667018 0.370183282107088 0.314606167367149 0.227270701347245 0.209406628752266 0.140927683804843 0.113139126434874 0.0932901568848961 0.0645091510374281 0.0823732236324082 0.0625242540824303 0.0615318056049315 0.075426084289916 0.084358120587406 0.107184435569881 0.153829514012328 0.213376422662261 0.230248046779742 0.287810058474678 0.336440033872125 0.452556505739497
