FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, July 18, 2024 17:41:02 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 72848
DEA_SIDEDNESS= Both Sides
BeginData
 0.709600661411714 0.633182128644298 0.542869317191898 0.447594263352002 0.455533851171994 0.342394724737118 0.319568409754643 0.320560858232142 0.305674131069659 0.270938434357197 0.294757197817171 0.290787403907175 0.326515549097136 0.308651476502155 0.332470239962129 0.341402276259619 0.393009597089562 0.469428129856978 0.561725838264377 0.657993340581771 0.757238188331662
 0.579589910859357 0.470420578334477 0.41385101511704 0.348349415602112 0.273915779789693 0.230248046779742 0.174670932039805 0.167723792697313 0.118101368822368 0.128025853597357 0.111154229479876 0.131003199029854 0.140927683804843 0.157799307922324 0.191542556157286 0.191542556157286 0.258036604149711 0.323538203664639 0.393009597089562 0.45851119660449 0.6311972316893
 0.548824008056891 0.366213488197092 0.32254575518714 0.25009701632972 0.184595416814794 0.143905029237339 0.133980544462351 0.0932901568848961 0.0774109812449138 0.0684789449474237 0.0774109812449138 0.0774109812449138 0.0873354660199027 0.0952750538398939 0.127033405119858 0.133980544462351 0.204444386364771 0.266968640447201 0.383085112314573 0.378122869927079 0.548824008056891
 0.498209135704447 0.341402276259619 0.257044155672212 0.16077665335482 0.125048508164861 0.0932901568848961 0.0724487388574193 0.0486299753974458 0.0486299753974458 0.0426752845324525 0.046645078442448 0.0486299753974458 0.0525997693074414 0.0545846662624392 0.0873354660199027 0.0903128114523994 0.138942786849845 0.16970868965231 0.284832713042181 0.325523100619637 0.499201584181946
 0.379115318404578 0.278878022177188 0.20543683484227 0.145889926192337 0.0992448477498894 0.0734411873349182 0.0645091510374281 0.0446601814874502 0.0387054906224569 0.0496224238749447 0.0456526299649491 0.0516073208299425 0.0436677330099514 0.0575620116949359 0.0585544601724348 0.0684789449474237 0.0913052599298983 0.113139126434874 0.181618071382297 0.278878022177188 0.409881221207044
 0.350334312557109 0.199482143977277 0.156806859444825 0.0972599507948917 0.0972599507948917 0.0694713934249226 0.0674864964699248 0.0585544601724348 0.0456526299649491 0.0476375269199469 0.0545846662624392 0.0486299753974458 0.0545846662624392 0.056569563217437 0.037713042144958 0.0605393571274326 0.0625242540824303 0.0903128114523994 0.147874823147335 0.200474592454776 0.314606167367149
 0.33147779148463 0.16077665335482 0.121078714254865 0.0674864964699248 0.0724487388574193 0.0396979390999558 0.0456526299649491 0.0516073208299425 0.0535922177849403 0.037713042144958 0.0347356967124613 0.0317583512799646 0.0426752845324525 0.0525997693074414 0.0446601814874502 0.0456526299649491 0.0615318056049315 0.0823732236324082 0.128025853597357 0.188565210724789 0.311628821934652
 0.339417379304621 0.164746447264816 0.104207090137384 0.0506148723524436 0.0635167025599292 0.0486299753974458 0.0357281451899602 0.0436677330099514 0.0337432482349624 0.0367205936674591 0.0248112119374724 0.027788557369969 0.0347356967124613 0.0406903875774547 0.0337432482349624 0.0635167025599292 0.0516073208299425 0.065501599514927 0.104207090137384 0.147874823147335 0.297734543249667
 0.296742094772168 0.119093817299867 0.084358120587406 0.0575620116949359 0.0595469086499337 0.0516073208299425 0.0367205936674591 0.0387054906224569 0.0307659028024657 0.0248112119374724 0.018856521072479 0.0258036604149713 0.0396979390999558 0.0297734543249668 0.0337432482349624 0.0555771147399381 0.037713042144958 0.0516073208299425 0.0853505690649049 0.120086265777366 0.315598615844648
 0.301704337159663 0.115124023389872 0.0674864964699248 0.0615318056049315 0.0694713934249226 0.046645078442448 0.0357281451899602 0.0367205936674591 0.0238187634599735 0.0228263149824746 0.0267961088924701 0.018856521072479 0.0367205936674591 0.0307659028024657 0.0307659028024657 0.0406903875774547 0.0625242540824303 0.0635167025599292 0.0664940479924259 0.11710892034487 0.287810058474678
