FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, July 18, 2024 11:59:47 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.02
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 298563
DEA_SIDEDNESS= Both Sides
BeginData
 0.816785096981596 0.817777545459095 0.720517594664202 0.720517594664202 0.741359012691679 0.670895170789257 0.632189680166799 0.636159474076795 0.618295401481815 0.611348262139322 0.642114164941788 0.629212334734303 0.662955582969265 0.620280298436812 0.602416225841832 0.732426976394189 0.758230636809161 0.74036656421418 0.753268394421666 0.798921024386616 0.78601919417913
 0.757238188331662 0.770140018539148 0.726472285529196 0.727464734006695 0.733419424871688 0.721510043141701 0.678834758609248 0.643106613419287 0.599438880409335 0.587529498679348 0.593484189544342 0.571650323039366 0.60440112279683 0.60440112279683 0.671887619266756 0.674864964699252 0.692729037294233 0.744336358124176 0.745328806601675 0.732426976394189 0.770140018539148
 0.749298600511671 0.757238188331662 0.724487388574198 0.70463841902422 0.756245739854163 0.686774346429239 0.635167025599296 0.625242540824307 0.592491741066843 0.556763595876882 0.605393571274329 0.545846662624394 0.588521947156847 0.605393571274329 0.644099061896786 0.700668625114224 0.73143452791669 0.697691279681727 0.714562903799209 0.746321255079174 0.758230636809161
 0.766170224629152 0.734411873349187 0.724487388574198 0.689751691861736 0.741359012691679 0.677842310131749 0.66791782535676 0.67684986165425 0.627227437779305 0.603408674319331 0.562718286741876 0.57661256542686 0.64112171646429 0.690744140339235 0.677842310131749 0.753268394421666 0.709600661411714 0.746321255079174 0.724487388574198 0.772124915494145 0.738381667259183
 0.728457182484193 0.710593109889213 0.696698831204228 0.705630867501719 0.743343909646677 0.728457182484193 0.680819655564246 0.633182128644298 0.624250092346808 0.663948031446764 0.620280298436812 0.599438880409335 0.645091510374285 0.694713934249231 0.665932928401762 0.706623315979217 0.710593109889213 0.719525146186703 0.714562903799209 0.707615764456716 0.724487388574198
 0.710593109889213 0.643106613419287 0.671887619266756 0.746321255079174 0.708608212934215 0.788996539611627 0.738381667259183 0.671887619266756 0.664940479924263 0.657000892104272 0.666925376879261 0.681812104041745 0.689751691861736 0.672880067744255 0.70463841902422 0.797928575909117 0.724487388574198 0.682804552519244 0.686774346429239 0.656008443626773 0.690744140339235
 0.634174577121797 0.701661073591723 0.619287849959314 0.702653522069222 0.760215533764159 0.666925376879261 0.687766794906738 0.649061304284281 0.691736588816734 0.696698831204228 0.630204783211802 0.683797000996743 0.627227437779305 0.739374115736681 0.712578006844211 0.726472285529196 0.675857413176751 0.673872516221753 0.645091510374285 0.640129267986791 0.624250092346808
 0.621272746914311 0.591499292589344 0.652038649716777 0.649061304284281 0.654023546671775 0.727464734006695 0.654023546671775 0.684789449474241 0.743343909646677 0.688759243384237 0.682804552519244 0.636159474076795 0.681812104041745 0.638144371031793 0.726472285529196 0.638144371031793 0.632189680166799 0.648068855806782 0.609363365184324 0.623257643869309 0.627227437779305
 0.609363365184324 0.594476638021841 0.597453983454338 0.591499292589344 0.648068855806782 0.640129267986791 0.717540249231705 0.654023546671775 0.664940479924263 0.657000892104272 0.620280298436812 0.652038649716777 0.670895170789257 0.683797000996743 0.708608212934215 0.602416225841832 0.642114164941788 0.589514395634346 0.577605013904359 0.580582359336856 0.669902722311758
 0.618295401481815 0.623257643869309 0.512103414389431 0.566688080651871 0.611348262139322 0.689751691861736 0.672880067744255 0.699676176636725 0.671887619266756 0.619287849959314 0.698683728159226 0.675857413176751 0.673872516221753 0.709600661411714 0.65898578905927 0.662955582969265 0.627227437779305 0.630204783211802 0.572642771516865 0.603408674319331 0.603408674319331
