FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, July 18, 2024 19:48:06 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.01
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 212297
DEA_SIDEDNESS= Both Sides
BeginData
 0.882286696496524 0.894196078226511 0.82273978784659 0.859460381514049 0.744336358124176 0.739374115736681 0.771132467016647 0.766170224629152 0.708608212934215 0.668910273834259 0.683797000996743 0.664940479924263 0.674864964699252 0.693721485771732 0.744336358124176 0.73143452791669 0.774109812449143 0.841596308919069 0.815792648504097 0.878316902586529 0.920992187118982
 0.825717133279086 0.841596308919069 0.806860612206607 0.751283497466668 0.710593109889213 0.672880067744255 0.673872516221753 0.671887619266756 0.568672977606869 0.612340710616821 0.590506844111845 0.628219886256804 0.645091510374285 0.590506844111845 0.62226519539181 0.688759243384237 0.745328806601675 0.764185327674154 0.833656721099078 0.863430175424045 0.870377314766537
 0.850528345216559 0.818769993936594 0.739374115736681 0.657993340581771 0.684789449474241 0.614325607571819 0.542869317191898 0.545846662624394 0.490269547884455 0.518058105254425 0.525997693074416 0.537907074804403 0.498209135704447 0.533937280894407 0.538899523281902 0.659978237536769 0.646083958851784 0.706623315979217 0.771132467016647 0.828694478711583 0.85846793303655
 0.848543448261561 0.770140018539148 0.697691279681727 0.575620116949362 0.528975038506913 0.483322408541963 0.426752845324525 0.399956736432055 0.419805705982033 0.432707536189519 0.39499449404456 0.346364518647114 0.400949184909554 0.417820809027035 0.451564057261998 0.526990141551915 0.557756044354381 0.615318056049318 0.710593109889213 0.742351461169178 0.839611411964071
 0.789988988089126 0.751283497466668 0.694713934249231 0.521035450686922 0.489277099406957 0.419805705982033 0.353311657989606 0.329492894529632 0.297734543249667 0.28582516151968 0.262998846537205 0.297734543249667 0.298726991727166 0.328500446052133 0.327507997574635 0.424767948369528 0.471413026811976 0.592491741066843 0.629212334734303 0.705630867501719 0.802890818296612
 0.756245739854163 0.71357045532171 0.620280298436812 0.48629975397446 0.415835912072037 0.294757197817171 0.264983743492203 0.251089464807219 0.22330090743725 0.198489695499778 0.211391525707263 0.203451937887272 0.229255598302243 0.253074361762216 0.293764749339672 0.352319209512107 0.40392653034205 0.481337511586965 0.565695632174372 0.708608212934215 0.754260842899165
 0.753268394421666 0.669902722311758 0.539891971759401 0.455533851171994 0.393009597089562 0.289794955429676 0.220323562004753 0.199482143977277 0.153829514012328 0.147874823147335 0.135965441417348 0.135965441417348 0.156806859444825 0.188565210724789 0.236202737644735 0.273915779789693 0.366213488197092 0.476375269199471 0.573635219994364 0.679827207086747 0.736396770304185
 0.662955582969265 0.649061304284281 0.534929729371906 0.459503645081989 0.30468168259216 0.256051707194713 0.219331113527254 0.153829514012328 0.115124023389872 0.0853505690649049 0.0645091510374281 0.0922977084073972 0.118101368822368 0.143905029237339 0.201467040932274 0.24116498003223 0.350334312557109 0.384077560792072 0.530959935461911 0.636159474076795 0.754260842899165
 0.67684986165425 0.615318056049318 0.526990141551915 0.393009597089562 0.303689234114661 0.239180083077232 0.154821962489827 0.12604095664236 0.0555771147399381 0.0496224238749447 0.065501599514927 0.0595469086499337 0.0694713934249226 0.112146677957375 0.162761550309818 0.215361319617259 0.302696785637162 0.428737742279523 0.523020347641919 0.612340710616821 0.70463841902422
 0.652038649716777 0.590506844111845 0.503171378091941 0.390032251657066 0.262998846537205 0.185587865292292 0.146882374669836 0.105199538614883 0.0535922177849403 0.037713042144958 0.0396979390999558 0.037713042144958 0.0436677330099514 0.0952750538398939 0.139935235327344 0.19650479854478 0.296742094772168 0.385070009269571 0.508133620479436 0.591499292589344 0.711585558366712
