FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, June 27, 2024 19:59:06 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.06
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.05
A_AXIS_MAX= 0.05
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.05
B_AXIS_MAX= 0.05
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 26934
DEA_SIDEDNESS= Both Sides
BeginData
 0.183014999969433 0.174194999970906 0.156554999973852 0.138914999976799 0.152144999974589 0.169784999971643 0.158759999973484 0.167579999972011 0.165374999972379 0.158759999973484 0.14111999997643 0.176399999970538 0.138914999976799 0.158759999973484 0.169784999971643 0.149939999974957 0.152144999974589 0.183014999969433 0.185219999969065 0.154349999974221 0.14111999997643
 0.143324999976062 0.174194999970906 0.163169999972748 0.145529999975694 0.169784999971643 0.196244999967223 0.152144999974589 0.125684999979008 0.123479999979377 0.160964999973116 0.143324999976062 0.143324999976062 0.11465999998085 0.14111999997643 0.163169999972748 0.196244999967223 0.176399999970538 0.156554999973852 0.194039999967592 0.196244999967223 0.167579999972011
 0.167579999972011 0.145529999975694 0.185219999969065 0.156554999973852 0.138914999976799 0.167579999972011 0.12788999997864 0.0926099999845324 0.138914999976799 0.158759999973484 0.123479999979377 0.123479999979377 0.108044999981954 0.158759999973484 0.17860499997017 0.123479999979377 0.154349999974221 0.154349999974221 0.180809999969801 0.156554999973852 0.17860499997017
 0.171989999971274 0.209474999965014 0.143324999976062 0.169784999971643 0.158759999973484 0.169784999971643 0.171989999971274 0.14111999997643 0.108044999981954 0.123479999979377 0.12788999997864 0.147734999975326 0.11465999998085 0.138914999976799 0.12788999997864 0.132299999977903 0.169784999971643 0.130094999978272 0.138914999976799 0.183014999969433 0.169784999971643
 0.149939999974957 0.149939999974957 0.119069999980113 0.143324999976062 0.134504999977535 0.14111999997643 0.125684999979008 0.112454999981218 0.156554999973852 0.12788999997864 0.11465999998085 0.149939999974957 0.119069999980113 0.143324999976062 0.14111999997643 0.163169999972748 0.143324999976062 0.132299999977903 0.176399999970538 0.11465999998085 0.174194999970906
 0.143324999976062 0.12788999997864 0.160964999973116 0.149939999974957 0.143324999976062 0.130094999978272 0.132299999977903 0.101429999983059 0.119069999980113 0.167579999972011 0.11465999998085 0.130094999978272 0.121274999979745 0.169784999971643 0.130094999978272 0.125684999979008 0.136709999977167 0.171989999971274 0.152144999974589 0.171989999971274 0.136709999977167
 0.145529999975694 0.143324999976062 0.154349999974221 0.112454999981218 0.132299999977903 0.14111999997643 0.143324999976062 0.105839999982323 0.119069999980113 0.0904049999849007 0.123479999979377 0.088199999985269 0.103634999982691 0.121274999979745 0.171989999971274 0.130094999978272 0.136709999977167 0.167579999972011 0.12788999997864 0.136709999977167 0.136709999977167
 0.174194999970906 0.154349999974221 0.143324999976062 0.143324999976062 0.119069999980113 0.121274999979745 0.134504999977535 0.125684999979008 0.108044999981954 0.0793799999867421 0.0970199999837959 0.0859949999856372 0.0926099999845324 0.088199999985269 0.112454999981218 0.134504999977535 0.12788999997864 0.134504999977535 0.147734999975326 0.174194999970906 0.143324999976062
 0.112454999981218 0.116864999980481 0.152144999974589 0.112454999981218 0.105839999982323 0.119069999980113 0.11465999998085 0.0595349999900565 0.0705599999882152 0.0815849999863738 0.0837899999860055 0.0617399999896883 0.0749699999874786 0.0595349999900565 0.110249999981586 0.134504999977535 0.134504999977535 0.116864999980481 0.134504999977535 0.163169999972748 0.176399999970538
 0.156554999973852 0.145529999975694 0.130094999978272 0.143324999976062 0.112454999981218 0.134504999977535 0.112454999981218 0.0749699999874786 0.0705599999882152 0.0595349999900565 0.0815849999863738 0.0793799999867421 0.0926099999845324 0.0815849999863738 0.110249999981586 0.103634999982691 0.11465999998085 0.125684999979008 0.138914999976799 0.138914999976799 0.132299999977903
