FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, June 27, 2024 20:20:57 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.08
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.05
A_AXIS_MAX= 0.05
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.05
B_AXIS_MAX= 0.05
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 18811
DEA_SIDEDNESS= Both Sides
BeginData
 0.12788999997864 0.12788999997864 0.11465999998085 0.123479999979377 0.0948149999841641 0.163169999972748 0.108044999981954 0.132299999977903 0.11465999998085 0.108044999981954 0.12788999997864 0.119069999980113 0.123479999979377 0.123479999979377 0.110249999981586 0.0859949999856372 0.108044999981954 0.0904049999849007 0.138914999976799 0.130094999978272 0.110249999981586
 0.152144999974589 0.119069999980113 0.116864999980481 0.14111999997643 0.105839999982323 0.101429999983059 0.112454999981218 0.0904049999849007 0.101429999983059 0.0970199999837959 0.11465999998085 0.119069999980113 0.0705599999882152 0.0837899999860055 0.0948149999841641 0.0926099999845324 0.138914999976799 0.112454999981218 0.130094999978272 0.108044999981954 0.12788999997864
 0.14111999997643 0.0970199999837959 0.105839999982323 0.123479999979377 0.0904049999849007 0.103634999982691 0.110249999981586 0.103634999982691 0.088199999985269 0.0815849999863738 0.0992249999834276 0.088199999985269 0.0926099999845324 0.123479999979377 0.11465999998085 0.108044999981954 0.108044999981954 0.116864999980481 0.0815849999863738 0.12788999997864 0.121274999979745
 0.116864999980481 0.088199999985269 0.0948149999841641 0.0992249999834276 0.0970199999837959 0.116864999980481 0.101429999983059 0.0815849999863738 0.105839999982323 0.0970199999837959 0.0970199999837959 0.0837899999860055 0.0727649999878469 0.088199999985269 0.112454999981218 0.101429999983059 0.119069999980113 0.0926099999845324 0.101429999983059 0.105839999982323 0.145529999975694
 0.123479999979377 0.110249999981586 0.121274999979745 0.116864999980481 0.0926099999845324 0.0992249999834276 0.088199999985269 0.0661499999889517 0.0859949999856372 0.0771749999871103 0.0815849999863738 0.0683549999885835 0.0815849999863738 0.0683549999885835 0.0992249999834276 0.121274999979745 0.121274999979745 0.11465999998085 0.108044999981954 0.0948149999841641 0.11465999998085
 0.110249999981586 0.0970199999837959 0.0727649999878469 0.0815849999863738 0.11465999998085 0.0859949999856372 0.0904049999849007 0.0617399999896883 0.0904049999849007 0.0815849999863738 0.0926099999845324 0.0948149999841641 0.0749699999874786 0.11465999998085 0.0727649999878469 0.0904049999849007 0.0970199999837959 0.105839999982323 0.121274999979745 0.160964999973116 0.119069999980113
 0.108044999981954 0.116864999980481 0.0904049999849007 0.11465999998085 0.0904049999849007 0.0926099999845324 0.0771749999871103 0.088199999985269 0.0705599999882152 0.0727649999878469 0.0727649999878469 0.0815849999863738 0.0529199999911614 0.0683549999885835 0.103634999982691 0.103634999982691 0.101429999983059 0.0970199999837959 0.103634999982691 0.101429999983059 0.136709999977167
 0.108044999981954 0.0992249999834276 0.088199999985269 0.105839999982323 0.108044999981954 0.0793799999867421 0.0771749999871103 0.0705599999882152 0.0661499999889517 0.0485099999918979 0.0551249999907931 0.0507149999915297 0.0771749999871103 0.0529199999911614 0.088199999985269 0.108044999981954 0.116864999980481 0.0727649999878469 0.112454999981218 0.110249999981586 0.123479999979377
 0.119069999980113 0.0992249999834276 0.0771749999871103 0.0837899999860055 0.0683549999885835 0.0992249999834276 0.0793799999867421 0.0551249999907931 0.0749699999874786 0.0485099999918979 0.0440999999926345 0.0529199999911614 0.0617399999896883 0.0573299999904248 0.0837899999860055 0.0837899999860055 0.0948149999841641 0.0837899999860055 0.110249999981586 0.0992249999834276 0.110249999981586
 0.0992249999834276 0.0727649999878469 0.119069999980113 0.0749699999874786 0.108044999981954 0.0970199999837959 0.06394499998932 0.0507149999915297 0.0463049999922662 0.0595349999900565 0.0418949999930028 0.0352799999941076 0.0485099999918979 0.0705599999882152 0.0815849999863738 0.0815849999863738 0.0749699999874786 0.0904049999849007 0.103634999982691 0.103634999982691 0.101429999983059
