FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, June 27, 2024 19:45:01 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.04
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.05
A_AXIS_MAX= 0.05
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.05
B_AXIS_MAX= 0.05
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 29802
DEA_SIDEDNESS= Both Sides
BeginData
 0.218294999963541 0.220499999963172 0.213884999964277 0.183014999969433 0.185219999969065 0.189629999968328 0.171989999971274 0.147734999975326 0.180809999969801 0.152144999974589 0.218294999963541 0.176399999970538 0.169784999971643 0.185219999969065 0.160964999973116 0.154349999974221 0.207269999965382 0.17860499997017 0.189629999968328 0.198449999966855 0.202859999966119
 0.19183499996796 0.165374999972379 0.185219999969065 0.187424999968697 0.167579999972011 0.160964999973116 0.160964999973116 0.200654999966487 0.165374999972379 0.125684999979008 0.189629999968328 0.169784999971643 0.152144999974589 0.147734999975326 0.185219999969065 0.158759999973484 0.138914999976799 0.209474999965014 0.183014999969433 0.156554999973852 0.19183499996796
 0.196244999967223 0.222704999962804 0.198449999966855 0.154349999974221 0.136709999977167 0.152144999974589 0.147734999975326 0.14111999997643 0.11465999998085 0.169784999971643 0.160964999973116 0.163169999972748 0.176399999970538 0.145529999975694 0.174194999970906 0.156554999973852 0.165374999972379 0.187424999968697 0.196244999967223 0.189629999968328 0.158759999973484
 0.167579999972011 0.187424999968697 0.134504999977535 0.167579999972011 0.143324999976062 0.145529999975694 0.160964999973116 0.185219999969065 0.136709999977167 0.125684999979008 0.11465999998085 0.149939999974957 0.123479999979377 0.154349999974221 0.17860499997017 0.149939999974957 0.171989999971274 0.134504999977535 0.147734999975326 0.202859999966119 0.194039999967592
 0.187424999968697 0.183014999969433 0.180809999969801 0.158759999973484 0.207269999965382 0.147734999975326 0.143324999976062 0.158759999973484 0.116864999980481 0.136709999977167 0.101429999983059 0.158759999973484 0.158759999973484 0.156554999973852 0.121274999979745 0.185219999969065 0.158759999973484 0.165374999972379 0.158759999973484 0.187424999968697 0.119069999980113
 0.171989999971274 0.154349999974221 0.176399999970538 0.17860499997017 0.145529999975694 0.130094999978272 0.145529999975694 0.125684999979008 0.101429999983059 0.0992249999834276 0.0992249999834276 0.125684999979008 0.105839999982323 0.14111999997643 0.147734999975326 0.138914999976799 0.149939999974957 0.154349999974221 0.167579999972011 0.211679999964646 0.152144999974589
 0.158759999973484 0.185219999969065 0.174194999970906 0.185219999969065 0.160964999973116 0.154349999974221 0.119069999980113 0.108044999981954 0.110249999981586 0.116864999980481 0.0992249999834276 0.112454999981218 0.121274999979745 0.103634999982691 0.119069999980113 0.149939999974957 0.152144999974589 0.152144999974589 0.165374999972379 0.152144999974589 0.189629999968328
 0.189629999968328 0.196244999967223 0.158759999973484 0.136709999977167 0.143324999976062 0.152144999974589 0.0970199999837959 0.0926099999845324 0.101429999983059 0.0683549999885835 0.0749699999874786 0.0904049999849007 0.088199999985269 0.0992249999834276 0.116864999980481 0.149939999974957 0.176399999970538 0.136709999977167 0.185219999969065 0.138914999976799 0.163169999972748
 0.185219999969065 0.154349999974221 0.12788999997864 0.132299999977903 0.154349999974221 0.0970199999837959 0.108044999981954 0.0771749999871103 0.06394499998932 0.0837899999860055 0.0705599999882152 0.0837899999860055 0.0904049999849007 0.088199999985269 0.11465999998085 0.11465999998085 0.171989999971274 0.176399999970538 0.176399999970538 0.154349999974221 0.160964999973116
 0.187424999968697 0.163169999972748 0.136709999977167 0.134504999977535 0.108044999981954 0.119069999980113 0.130094999978272 0.0661499999889517 0.0661499999889517 0.0529199999911614 0.0727649999878469 0.0683549999885835 0.0705599999882152 0.0793799999867421 0.0948149999841641 0.121274999979745 0.125684999979008 0.163169999972748 0.154349999974221 0.119069999980113 0.183014999969433
 0.187424999968697 0.180809999969801 0.174194999970906 0.154349999974221 0.143324999976062 0.0970199999837959 0.0859949999856372 0.0815849999863738 0.0661499999889517 0.0815849999863738 0.0551249999907931 0.0661499999889517 0.06394499998932 0.0727649999878469 0.0926099999845324 0.125684999979008 0.125684999979008 0.125684999979008 0.160964999973116 0.176399999970538 0.138914999976799
 0.185219999969065 0.180809999969801 0.167579999972011 0.156554999973852 0.123479999979377 0.110249999981586 0.0992249999834276 0.0771749999871103 0.0661499999889517 0.0683549999885835 0.0771749999871103 0.0815849999863738 0.0771749999871103 0.0904049999849007 0.0904049999849007 0.11465999998085 0.12788999997864 0.163169999972748 0.176399999970538 0.165374999972379 0.165374999972379
 0.14111999997643 0.176399999970538 0.149939999974957 0.152144999974589 0.165374999972379 0.130094999978272 0.103634999982691 0.0749699999874786 0.0793799999867421 0.0815849999863738 0.103634999982691 0.0705599999882152 0.0992249999834276 0.132299999977903 0.12788999997864 0.125684999979008 0.123479999979377 0.14111999997643 0.167579999972011 0.152144999974589 0.189629999968328
 0.202859999966119 0.165374999972379 0.165374999972379 0.14111999997643 0.156554999973852 0.11465999998085 0.0992249999834276 0.121274999979745 0.0948149999841641 0.105839999982323 0.0661499999889517 0.0948149999841641 0.0992249999834276 0.0948149999841641 0.143324999976062 0.132299999977903 0.169784999971643 0.145529999975694 0.14111999997643 0.12788999997864 0.163169999972748
 0.165374999972379 0.145529999975694 0.154349999974221 0.160964999973116 0.183014999969433 0.116864999980481 0.11465999998085 0.103634999982691 0.119069999980113 0.0771749999871103 0.101429999983059 0.108044999981954 0.105839999982323 0.14111999997643 0.119069999980113 0.163169999972748 0.138914999976799 0.165374999972379 0.152144999974589 0.171989999971274 0.163169999972748
 0.171989999971274 0.20506499996575 0.143324999976062 0.187424999968697 0.185219999969065 0.149939999974957 0.125684999979008 0.14111999997643 0.101429999983059 0.136709999977167 0.125684999979008 0.145529999975694 0.125684999979008 0.130094999978272 0.116864999980481 0.132299999977903 0.156554999973852 0.165374999972379 0.160964999973116 0.160964999973116 0.187424999968697
 0.198449999966855 0.211679999964646 0.160964999973116 0.134504999977535 0.130094999978272 0.169784999971643 0.134504999977535 0.11465999998085 0.149939999974957 0.14111999997643 0.12788999997864 0.121274999979745 0.152144999974589 0.158759999973484 0.119069999980113 0.165374999972379 0.194039999967592 0.189629999968328 0.185219999969065 0.156554999973852 0.196244999967223
 0.202859999966119 0.183014999969433 0.19183499996796 0.216089999963909 0.136709999977167 0.143324999976062 0.132299999977903 0.160964999973116 0.158759999973484 0.134504999977535 0.108044999981954 0.154349999974221 0.136709999977167 0.14111999997643 0.167579999972011 0.160964999973116 0.17860499997017 0.143324999976062 0.163169999972748 0.187424999968697 0.176399999970538
 0.194039999967592 0.158759999973484 0.185219999969065 0.160964999973116 0.145529999975694 0.180809999969801 0.14111999997643 0.158759999973484 0.176399999970538 0.147734999975326 0.147734999975326 0.149939999974957 0.143324999976062 0.183014999969433 0.156554999973852 0.185219999969065 0.165374999972379 0.167579999972011 0.165374999972379 0.207269999965382 0.218294999963541
 0.222704999962804 0.160964999973116 0.189629999968328 0.211679999964646 0.165374999972379 0.17860499997017 0.176399999970538 0.160964999973116 0.176399999970538 0.231524999961331 0.138914999976799 0.145529999975694 0.169784999971643 0.165374999972379 0.180809999969801 0.185219999969065 0.176399999970538 0.176399999970538 0.189629999968328 0.202859999966119 0.174194999970906
 0.209474999965014 0.207269999965382 0.152144999974589 0.180809999969801 0.202859999966119 0.19183499996796 0.169784999971643 0.176399999970538 0.187424999968697 0.136709999977167 0.207269999965382 0.160964999973116 0.183014999969433 0.163169999972748 0.200654999966487 0.194039999967592 0.180809999969801 0.194039999967592 0.180809999969801 0.196244999967223 0.200654999966487

