FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, June 27, 2024 17:13:49 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.1
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.05
A_AXIS_MAX= 0.05
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.05
B_AXIS_MAX= 0.05
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 95159
DEA_SIDEDNESS= Both Sides
BeginData
 0.55786499990683 0.515969999913827 0.515969999913827 0.546839999908671 0.485099999918982 0.463049999922665 0.480689999919719 0.476279999920455 0.502739999916036 0.485099999918982 0.460844999923033 0.440999999926347 0.452024999924506 0.500534999916404 0.43217999992782 0.509354999914931 0.546839999908671 0.526994999911986 0.511559999914563 0.55786499990683 0.540224999909776
 0.522584999912722 0.568889999904989 0.476279999920455 0.463049999922665 0.463049999922665 0.489509999918246 0.454229999924138 0.447614999925242 0.39469499993408 0.46966499992156 0.434384999927452 0.460844999923033 0.454229999924138 0.46966499992156 0.443204999925979 0.443204999925979 0.518174999913459 0.491714999917877 0.500534999916404 0.522584999912722 0.522584999912722
 0.518174999913459 0.458639999923401 0.478484999920087 0.443204999925979 0.410129999931503 0.445409999925611 0.478484999920087 0.421154999929661 0.416744999930398 0.403514999932607 0.370439999938131 0.401309999932976 0.403514999932607 0.405719999932239 0.480689999919719 0.440999999926347 0.46966499992156 0.48289499991935 0.478484999920087 0.496124999917141 0.515969999913827
 0.531404999911249 0.515969999913827 0.48289499991935 0.388079999935185 0.456434999923769 0.454229999924138 0.454229999924138 0.388079999935185 0.421154999929661 0.392489999934449 0.454229999924138 0.436589999927084 0.414539999930766 0.405719999932239 0.493919999917509 0.410129999931503 0.463049999922665 0.460844999923033 0.414539999930766 0.467459999921928 0.487304999918614
 0.465254999922296 0.504944999915668 0.485099999918982 0.405719999932239 0.41894999993003 0.403514999932607 0.440999999926347 0.361619999939604 0.429974999928188 0.414539999930766 0.39469499993408 0.456434999923769 0.355004999940709 0.434384999927452 0.425564999928925 0.396899999933712 0.487304999918614 0.449819999924874 0.493919999917509 0.449819999924874 0.474074999920823
 0.478484999920087 0.423359999929293 0.405719999932239 0.399104999933344 0.368234999938499 0.447614999925242 0.355004999940709 0.410129999931503 0.379259999936658 0.407924999931871 0.414539999930766 0.377054999937026 0.403514999932607 0.414539999930766 0.467459999921928 0.423359999929293 0.474074999920823 0.436589999927084 0.467459999921928 0.502739999916036 0.440999999926347
 0.487304999918614 0.476279999920455 0.447614999925242 0.423359999929293 0.427769999928557 0.357209999940341 0.452024999924506 0.463049999922665 0.416744999930398 0.502739999916036 0.504944999915668 0.465254999922296 0.425564999928925 0.429974999928188 0.456434999923769 0.434384999927452 0.399104999933344 0.458639999923401 0.452024999924506 0.471869999921192 0.502739999916036
 0.504944999915668 0.396899999933712 0.460844999923033 0.447614999925242 0.416744999930398 0.452024999924506 0.456434999923769 0.458639999923401 0.487304999918614 0.584324999902411 0.628424999895046 0.606374999898729 0.522584999912722 0.416744999930398 0.414539999930766 0.447614999925242 0.401309999932976 0.405719999932239 0.445409999925611 0.511559999914563 0.471869999921192
 0.452024999924506 0.443204999925979 0.416744999930398 0.396899999933712 0.440999999926347 0.434384999927452 0.429974999928188 0.478484999920087 0.654884999890627 0.751904999874424 0.705599999882157 0.698984999883262 0.679139999886576 0.560069999906462 0.476279999920455 0.463049999922665 0.396899999933712 0.438794999926715 0.480689999919719 0.498329999916773 0.454229999924138
 0.487304999918614 0.454229999924138 0.405719999932239 0.416744999930398 0.359414999939972 0.396899999933712 0.405719999932239 0.60857999989836 0.73426499987737 0.835694999860431 0.857744999856748 0.853334999857485 0.749699999874792 0.584324999902411 0.465254999922296 0.463049999922665 0.412334999931134 0.423359999929293 0.38146499993629 0.434384999927452 0.416744999930398
