FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, June 27, 2024 18:28:26 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.04
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.05
A_AXIS_MAX= 0.05
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.05
B_AXIS_MAX= 0.05
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 24625
DEA_SIDEDNESS= Both Sides
BeginData
 0.147734999975326 0.149939999974957 0.134504999977535 0.105839999982323 0.0948149999841641 0.06394499998932 0.0573299999904248 0.0705599999882152 0.0286649999952124 0.0418949999930028 0.0220499999963172 0.0264599999955807 0.0220499999963172 0.0749699999874786 0.0595349999900565 0.0771749999871103 0.0948149999841641 0.0793799999867421 0.134504999977535 0.125684999979008 0.160964999973116
 0.152144999974589 0.112454999981218 0.105839999982323 0.0859949999856372 0.101429999983059 0.0793799999867421 0.06394499998932 0.0440999999926345 0.0352799999941076 0.0330749999944759 0.0286649999952124 0.0286649999952124 0.0418949999930028 0.0529199999911614 0.06394499998932 0.0705599999882152 0.0837899999860055 0.0970199999837959 0.119069999980113 0.130094999978272 0.125684999979008
 0.163169999972748 0.145529999975694 0.105839999982323 0.121274999979745 0.0926099999845324 0.112454999981218 0.0727649999878469 0.0463049999922662 0.0286649999952124 0.0529199999911614 0.0220499999963172 0.0330749999944759 0.0374849999937393 0.0573299999904248 0.0573299999904248 0.0727649999878469 0.108044999981954 0.0815849999863738 0.105839999982323 0.12788999997864 0.145529999975694
 0.136709999977167 0.143324999976062 0.105839999982323 0.121274999979745 0.11465999998085 0.0904049999849007 0.06394499998932 0.0551249999907931 0.0573299999904248 0.0507149999915297 0.0617399999896883 0.0551249999907931 0.0507149999915297 0.0573299999904248 0.0705599999882152 0.105839999982323 0.108044999981954 0.0948149999841641 0.147734999975326 0.152144999974589 0.171989999971274
 0.171989999971274 0.163169999972748 0.130094999978272 0.112454999981218 0.116864999980481 0.0815849999863738 0.0683549999885835 0.0815849999863738 0.0815849999863738 0.0904049999849007 0.0617399999896883 0.0683549999885835 0.0551249999907931 0.0992249999834276 0.101429999983059 0.101429999983059 0.0837899999860055 0.0992249999834276 0.101429999983059 0.147734999975326 0.165374999972379
 0.174194999970906 0.143324999976062 0.174194999970906 0.116864999980481 0.125684999979008 0.0970199999837959 0.110249999981586 0.103634999982691 0.0793799999867421 0.0948149999841641 0.101429999983059 0.0926099999845324 0.0793799999867421 0.0661499999889517 0.11465999998085 0.0948149999841641 0.119069999980113 0.143324999976062 0.163169999972748 0.14111999997643 0.209474999965014
 0.180809999969801 0.134504999977535 0.160964999973116 0.136709999977167 0.143324999976062 0.108044999981954 0.116864999980481 0.0992249999834276 0.0837899999860055 0.0904049999849007 0.105839999982323 0.0837899999860055 0.0948149999841641 0.132299999977903 0.149939999974957 0.119069999980113 0.112454999981218 0.125684999979008 0.171989999971274 0.169784999971643 0.156554999973852
 0.19183499996796 0.165374999972379 0.17860499997017 0.108044999981954 0.0992249999834276 0.130094999978272 0.103634999982691 0.105839999982323 0.0926099999845324 0.0837899999860055 0.108044999981954 0.0904049999849007 0.108044999981954 0.0859949999856372 0.105839999982323 0.145529999975694 0.145529999975694 0.149939999974957 0.174194999970906 0.160964999973116 0.183014999969433
 0.200654999966487 0.196244999967223 0.134504999977535 0.194039999967592 0.14111999997643 0.156554999973852 0.14111999997643 0.0904049999849007 0.125684999979008 0.108044999981954 0.12788999997864 0.101429999983059 0.145529999975694 0.0904049999849007 0.119069999980113 0.134504999977535 0.147734999975326 0.187424999968697 0.167579999972011 0.224909999962436 0.249164999958385
 0.200654999966487 0.211679999964646 0.171989999971274 0.167579999972011 0.167579999972011 0.147734999975326 0.134504999977535 0.147734999975326 0.123479999979377 0.154349999974221 0.130094999978272 0.12788999997864 0.119069999980113 0.12788999997864 0.160964999973116 0.160964999973116 0.130094999978272 0.183014999969433 0.154349999974221 0.202859999966119 0.213884999964277
 0.216089999963909 0.253574999957648 0.20506499996575 0.176399999970538 0.169784999971643 0.187424999968697 0.174194999970906 0.169784999971643 0.183014999969433 0.147734999975326 0.167579999972011 0.169784999971643 0.130094999978272 0.152144999974589 0.176399999970538 0.143324999976062 0.183014999969433 0.158759999973484 0.167579999972011 0.196244999967223 0.233729999960963

