FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Friday, July 05, 2024 20:57:52 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.08
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 374951
DEA_SIDEDNESS= Both Sides
BeginData
 0.942826053623958 0.928931774938973 0.9041205630015 0.884271593451522 0.934886465803966 0.901143217569004 0.836634066531574 0.889233835839017 0.835641618054076 0.846558551306564 0.892211181271513 0.838618963486572 0.855490587604054 0.873354660199034 0.855490587604054 0.914045047776489 0.892211181271513 0.880301799541526 0.907097908433997 0.944810950578955 0.973591956426424
 0.962675023173936 0.906105459956498 0.888241387361518 0.939848708191461 0.810830406116603 0.854498139126555 0.869384866289038 0.835641618054076 0.830679375666581 0.80388326677411 0.783041848746633 0.828694478711583 0.825717133279086 0.827702030234084 0.84953589673906 0.873354660199034 0.897173423659008 0.909082805388995 0.880301799541526 0.975576853381422 0.965652368606433
 0.936871362758964 0.908090356911496 0.915037496253988 0.864422623901544 0.82273978784659 0.809837957639104 0.798921024386616 0.812815303071601 0.715555352276708 0.764185327674154 0.793958781999121 0.884271593451522 0.810830406116603 0.866407520856542 0.841596308919069 0.812815303071601 0.843581205874067 0.905113011478999 0.901143217569004 0.926946877983975 0.959697677741439
 0.908090356911496 0.878316902586529 0.848543448261561 0.875339557154032 0.812815303071601 0.861445278469047 0.749298600511671 0.778079606359139 0.754260842899165 0.836634066531574 0.769147570061649 0.730442079439191 0.765177776151653 0.800905921341614 0.845566102829065 0.835641618054076 0.830679375666581 0.843581205874067 0.866407520856542 0.889233835839017 0.87732445410903
 0.902135666046502 0.872362211721535 0.857475484559052 0.776094709404141 0.812815303071601 0.798921024386616 0.78601919417913 0.791973885044124 0.781056951791636 0.787011642656629 0.787011642656629 0.727464734006695 0.802890818296612 0.811822854594102 0.778079606359139 0.754260842899165 0.753268394421666 0.791973885044124 0.89518852670401 0.834649169576577 0.911067702343993
 0.88625649040652 0.870377314766537 0.864422623901544 0.82273978784659 0.807853060684106 0.791973885044124 0.761207982241657 0.770140018539148 0.721510043141701 0.748306152034172 0.78601919417913 0.763192879196655 0.820754890891592 0.762200430719156 0.769147570061649 0.855490587604054 0.846558551306564 0.809837957639104 0.799913472864115 0.874347108676533 0.89518852670401
 0.893203629749012 0.884271593451522 0.808845509161605 0.801898369819113 0.773117363971644 0.760215533764159 0.754260842899165 0.746321255079174 0.78601919417913 0.846558551306564 0.805868163729108 0.812815303071601 0.818769993936594 0.789988988089126 0.80388326677411 0.788004091134128 0.802890818296612 0.801898369819113 0.781056951791636 0.779072054836638 0.871369763244036
 0.837626515009073 0.837626515009073 0.823732236324089 0.774109812449143 0.765177776151653 0.729449630961692 0.721510043141701 0.848543448261561 0.863430175424045 0.950765641443949 0.916029944731487 0.93190912037147 0.810830406116603 0.827702030234084 0.837626515009073 0.796936127431618 0.757238188331662 0.816785096981596 0.84953589673906 0.820754890891592 0.86839241781154
 0.898165872136507 0.783041848746633 0.811822854594102 0.814800200026598 0.778079606359139 0.842588757396568 0.773117363971644 0.872362211721535 0.938856259713962 0.920992187118982 0.959697677741439 0.997410719886398 0.954735435353945 0.856483036081553 0.826709581756585 0.762200430719156 0.816785096981596 0.783041848746633 0.788004091134128 0.833656721099078 0.834649169576577
 0.844573654351566 0.853505690649056 0.757238188331662 0.785026745701631 0.787011642656629 0.776094709404141 0.809837957639104 0.91305259929899 0.977561750336419 1.01825213791387 1.02222193182387 1.01130499857138 0.988478683588907 0.908090356911496 0.853505690649056 0.753268394421666 0.77708715788164 0.807853060684106 0.795943678954119 0.808845509161605 0.86839241781154
 0.89518852670401 0.86839241781154 0.800905921341614 0.804875715251609 0.766170224629152 0.796936127431618 0.835641618054076 0.871369763244036 0.959697677741439 0.982523992723914 0.802890818296612 1.01725968943637 0.970614610993927 0.950765641443949 0.796936127431618 0.780064503314137 0.770140018539148 0.771132467016647 0.788996539611627 0.865415072379043 0.802890818296612
 0.883279144974023 0.921984635596481 0.788004091134128 0.77708715788164 0.748306152034172 0.821747339369091 0.847550999784062 0.933894017326467 1.00634275618389 1.0768065980863 0.970614610993927 0.944810950578955 0.944810950578955 0.927939326461474 0.862437726946546 0.774109812449143 0.760215533764159 0.845566102829065 0.800905921341614 0.799913472864115 0.862437726946546
