FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Friday, July 05, 2024 14:47:06 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.1
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 890882
DEA_SIDEDNESS= Both Sides
BeginData
 1.47577088604082 1.4876802677708 1.53134800078075 1.53531779469075 1.5720383883582 1.60578163659316 1.67525303001808 1.76655828994797 1.71495096911803 1.91939535548278 1.76159604756047 1.80824112600292 1.70800382977554 1.68815486022556 1.61570612136815 1.62761550309813 1.58593266704318 1.55218941880823 1.53035555230325 1.4936349586358 1.47080864365332
 1.50752923732078 1.4886727162483 1.5720383883582 1.59287980638568 1.65044181808061 1.738769732578 1.78045256863295 1.85488620444536 1.91244821614029 1.94420656742025 2.00176857911518 2.00375347607018 1.93924432503276 1.87175782856284 1.81221091991291 1.79335439884043 1.68418506631557 1.69510199956805 1.5700534914032 1.59387225486318 1.53730269164574
 1.53730269164574 1.62761550309813 1.62563060614314 1.71197362368553 1.77350542929046 1.90847842223029 1.91046331918529 2.05039855451262 2.0652852816751 1.99581388825019 2.10994546316255 2.0722324210176 1.96107819153773 2.04841365755762 1.91046331918529 1.85488620444536 1.80724867752542 1.68517751479306 1.68815486022556 1.62662305462064 1.56806859444821
 1.56211390358321 1.61669856984565 1.64349467873812 1.78144501711045 1.95413105219524 2.03154203344014 2.01864020323266 2.09208139056757 2.19628848070495 2.08017200883759 2.09902852991006 2.12780953575753 2.2300317289399 2.10796056620755 2.12979443271253 1.96008574306023 1.97001022783522 1.83900702880538 1.76854318690296 1.61272877593565 1.56409880053821
 1.62662305462064 1.63555509091812 1.81419581686791 1.96901777935772 1.97398002174521 2.06131548776511 2.08811159665758 2.15063585074 2.25980518326487 2.25087314696738 2.22010724416492 2.26278252869736 2.21316010482242 2.18239420201996 2.09009649361257 1.96901777935772 2.01963265171016 1.9015312828878 1.79732419275043 1.76457339299297 1.5770006307457
 1.62662305462064 1.69807934500055 1.97398002174521 2.05833814233261 2.0672701786301 2.1536131961725 2.2349939713274 2.16254523246999 2.1476585053075 2.28759374063483 2.29156353454483 2.29851067388732 2.32232943734729 2.15956788703749 2.17048482028998 2.27270701347235 2.14071136596501 2.05238345146762 1.92634249482527 1.736784835623 1.66334364828809
 1.68616996327056 1.84893151358037 1.97100267631272 2.09902852991006 2.17048482028998 2.25484294087737 2.27072211651736 2.36599717035724 2.33622371603228 2.4027177640247 2.36698961883474 2.30148801931982 2.30248046779732 2.29652577693232 2.38882348533971 2.2340015228499 2.152620747695 2.09108894209007 1.9055010767978 1.8221354046879 1.71991321150552
 1.69708689652305 1.84992396205786 2.01169306389017 2.05833814233261 2.16155278399249 2.21911479568742 2.32232943734729 2.38783103686221 2.41760449118718 2.4771513998371 2.43745346073715 2.45234018789963 2.44837039398964 2.39180083077221 2.30545781322981 2.3133974010498 2.21812234720992 2.11391525707255 2.08314935427008 1.83007499250789 1.71693586607303
 1.71693586607303 1.99879123368268 2.15559809312749 2.18636399592996 2.21216765634493 2.28660129215734 2.22010724416492 2.34515575232976 2.40768000641219 2.52776627218954 2.51188709654956 2.44241570312465 2.39180083077221 2.38584613990722 2.33523126755478 2.19529603222745 2.20025827461494 2.17842440810997 2.02558734257515 1.96306308849273 1.75762625365048
 1.79930908970543 1.86580313769785 2.1496434022625 2.12780953575753 2.16849992333498 2.33920106146477 2.32133698886979 2.42554407900717 2.5674642112895 2.50593240568457 2.53769075696453 2.49898526634208 2.41363469727718 2.48906078156709 2.43447611530466 2.35805758253725 2.28858618911233 2.14269626292001 2.03848917278264 1.95413105219524 1.83007499250789
