FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Sunday, July 07, 2024 02:49:54 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.05
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 207253
DEA_SIDEDNESS= Both Sides
BeginData
 0.592491741066843 0.564703183696874 0.579589910859357 0.575620116949362 0.548824008056891 0.5408844202369 0.511110965911933 0.536914626326904 0.528975038506913 0.52202789916442 0.501186481136943 0.501186481136943 0.542869317191898 0.510118517434434 0.538899523281902 0.509126068956935 0.552793801966887 0.584552153246852 0.552793801966887 0.596461534976839 0.60440112279683
 0.627227437779305 0.596461534976839 0.587529498679348 0.521035450686922 0.501186481136943 0.525005244596917 0.487292202451959 0.494239341794451 0.502178929614442 0.480345063109466 0.470420578334477 0.474390372244473 0.516073208299427 0.510118517434434 0.534929729371906 0.509126068956935 0.518058105254425 0.57661256542686 0.536914626326904 0.553786250444386 0.589514395634346
 0.596461534976839 0.610355813661823 0.505156275046939 0.484314857019462 0.530959935461911 0.515080759821928 0.453548954216996 0.507141172001937 0.456526299649493 0.457518748126992 0.475382820721972 0.484314857019462 0.489277099406957 0.483322408541963 0.511110965911933 0.471413026811976 0.556763595876882 0.497216687226948 0.547831559579392 0.555771147399383 0.554778698921884
 0.592491741066843 0.562718286741876 0.534929729371906 0.523020347641919 0.472405475289475 0.472405475289475 0.455533851171994 0.424767948369528 0.461488542036987 0.42278305141453 0.415835912072037 0.449579160307 0.45851119660449 0.449579160307 0.465458335946983 0.487292202451959 0.487292202451959 0.506148723524438 0.553786250444386 0.548824008056891 0.572642771516865
 0.514088311344429 0.551801353489388 0.489277099406957 0.473397923766974 0.470420578334477 0.446601814874504 0.436677330099514 0.426752845324525 0.452556505739497 0.429730190757022 0.406903875774547 0.438662227054512 0.441639572487009 0.455533851171994 0.432707536189519 0.473397923766974 0.489277099406957 0.505156275046939 0.464465887469484 0.514088311344429 0.550808905011889
 0.566688080651871 0.500194032659445 0.502178929614442 0.459503645081989 0.446601814874504 0.471413026811976 0.414843463594538 0.387054906224569 0.430722639234521 0.401941633387053 0.409881221207044 0.391024700134565 0.428737742279523 0.416828360549536 0.432707536189519 0.417820809027035 0.428737742279523 0.456526299649493 0.473397923766974 0.492254444839453 0.511110965911933
 0.512103414389431 0.505156275046939 0.478360166154469 0.453548954216996 0.449579160307 0.402934081864552 0.414843463594538 0.399956736432055 0.392017148612064 0.415835912072037 0.396979390999558 0.395986942522059 0.395986942522059 0.3592663488546 0.391024700134565 0.427745293802024 0.455533851171994 0.465458335946983 0.476375269199471 0.546839111101893 0.516073208299427
 0.508133620479436 0.499201584181946 0.430722639234521 0.468435681379479 0.467443232901981 0.445609366397005 0.428737742279523 0.361251245809597 0.392017148612064 0.389039803179567 0.361251245809597 0.36819838515209 0.426752845324525 0.381100215359576 0.393009597089562 0.432707536189519 0.459503645081989 0.460496093559488 0.473397923766974 0.524012796119418 0.518058105254425
 0.525005244596917 0.467443232901981 0.518058105254425 0.453548954216996 0.439654675532011 0.429730190757022 0.387054906224569 0.39499449404456 0.367205936674591 0.318575961277144 0.34040982778212 0.376137972972081 0.348349415602112 0.347356967124613 0.396979390999558 0.376137972972081 0.461488542036987 0.417820809027035 0.472405475289475 0.525005244596917 0.48629975397446
 0.559740941309379 0.50416382656944 0.444616917919506 0.406903875774547 0.380107766882077 0.427745293802024 0.381100215359576 0.334455136917127 0.337432482349624 0.347356967124613 0.356289003422103 0.392017148612064 0.332470239962129 0.381100215359576 0.364228591242094 0.38606245774707 0.476375269199471 0.451564057261998 0.483322408541963 0.450571608784499 0.529967486984412
 0.492254444839453 0.461488542036987 0.456526299649493 0.432707536189519 0.38606245774707 0.382092663837074 0.393009597089562 0.394002045567061 0.328500446052133 0.343387173214617 0.318575961277144 0.361251245809597 0.371175730584586 0.38606245774707 0.402934081864552 0.370183282107088 0.417820809027035 0.452556505739497 0.444616917919506 0.526990141551915 0.466450784424482
 0.49523179027195 0.471413026811976 0.43171508771202 0.44064712400951 0.42278305141453 0.369190833629589 0.414843463594538 0.37713042144958 0.34040982778212 0.335447585394626 0.37713042144958 0.355296554944604 0.344379621692116 0.382092663837074 0.419805705982033 0.397971839477057 0.441639572487009 0.433699984667018 0.489277099406957 0.480345063109466 0.518058105254425
 0.53195238393941 0.473397923766974 0.471413026811976 0.439654675532011 0.425760396847026 0.367205936674591 0.369190833629589 0.375145524494582 0.350334312557109 0.371175730584586 0.380107766882077 0.370183282107088 0.378122869927079 0.361251245809597 0.367205936674591 0.402934081864552 0.409881221207044 0.453548954216996 0.474390372244473 0.515080759821928 0.519050553731924
 0.503171378091941 0.494239341794451 0.457518748126992 0.451564057261998 0.395986942522059 0.391024700134565 0.382092663837074 0.407896324252046 0.365221039719593 0.357281451899602 0.348349415602112 0.358273900377101 0.351326761034608 0.397971839477057 0.394002045567061 0.418813257504534 0.454541402694495 0.457518748126992 0.455533851171994 0.498209135704447 0.545846662624394
 0.461488542036987 0.518058105254425 0.501186481136943 0.470420578334477 0.432707536189519 0.461488542036987 0.467443232901981 0.402934081864552 0.364228591242094 0.398964287954556 0.379115318404578 0.416828360549536 0.399956736432055 0.40392653034205 0.410873669684543 0.40392653034205 0.430722639234521 0.469428129856978 0.468435681379479 0.492254444839453 0.510118517434434
 0.562718286741876 0.505156275046939 0.534929729371906 0.485307305496961 0.482329960064464 0.443624469442007 0.424767948369528 0.452556505739497 0.417820809027035 0.421790602937031 0.397971839477057 0.42278305141453 0.416828360549536 0.429730190757022 0.40392653034205 0.471413026811976 0.498209135704447 0.471413026811976 0.502178929614442 0.496224238749449 0.510118517434434
 0.575620116949362 0.514088311344429 0.511110965911933 0.456526299649493 0.470420578334477 0.471413026811976 0.434692433144517 0.428737742279523 0.434692433144517 0.385070009269571 0.449579160307 0.39499449404456 0.411866118162042 0.450571608784499 0.457518748126992 0.434692433144517 0.460496093559488 0.511110965911933 0.473397923766974 0.512103414389431 0.584552153246852
 0.548824008056891 0.525005244596917 0.565695632174372 0.49523179027195 0.47736771767697 0.448586711829501 0.438662227054512 0.43171508771202 0.425760396847026 0.421790602937031 0.414843463594538 0.421790602937031 0.441639572487009 0.488284650929458 0.43171508771202 0.467443232901981 0.49523179027195 0.48629975397446 0.536914626326904 0.532944832416908 0.557756044354381
