FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Sunday, July 07, 2024 13:41:11 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.1
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 474575
DEA_SIDEDNESS= Both Sides
BeginData
 1.07382925265381 1.03710865898635 1.00038806531889 1.03710865898635 1.03512376203135 1.0797839435188 1.10459515545627 1.07382925265381 1.06787456178881 1.12940636739374 1.04306334985134 1.06886701026631 1.0797839435188 1.10360270697877 1.08573863438379 1.0777990465638 1.12742147043874 1.02817662268886 1.10062536154627 1.00733520466139 1.05497273158133
 1.08573863438379 1.09566311915878 1.06092742244632 1.09566311915878 1.06787456178881 1.08276128895129 1.05100293767133 1.0817688404738 1.09268577372628 1.05795007701382 1.05596518005883 1.07085190722131 1.06291231940132 1.09268577372628 1.11451964023126 1.08573863438379 1.14032330064622 1.09070087677128 1.01130499857138 1.09070087677128 1.02321438030137
 1.11253474327626 1.09963291306877 1.12146677957375 1.13238371282623 1.09566311915878 1.05695762853633 1.08573863438379 1.04008600441885 0.976569301858921 1.09070087677128 1.03909355594135 1.10062536154627 1.13139126434874 1.02321438030137 1.03214641659886 1.06985945874381 1.12345167652875 1.12841391891624 1.09665556763628 1.08772353133879 1.02519927725636
 1.06886701026631 1.10955739784376 1.09467067068128 1.09665556763628 1.09665556763628 1.06985945874381 1.05795007701382 1.04107845289635 1.09070087677128 1.05398028310383 1.05497273158133 1.07184435569881 1.07283680417631 1.06191987092382 1.08276128895129 1.0768065980863 1.0807763919963 1.09070087677128 1.09764801611378 1.07184435569881 1.09268577372628
 1.0768065980863 1.12841391891624 1.09665556763628 1.11352719175376 1.01626724095888 1.08673108286129 1.05100293767133 1.09367822220378 1.07085190722131 1.0817688404738 1.03413131355385 1.0787914950413 1.00932010161638 1.08871597981629 1.03810110746385 1.03909355594135 1.04306334985134 1.06787456178881 1.09268577372628 1.03413131355385 1.06688211331131
 1.04207090137384 1.08871597981629 1.10955739784376 0.978554198813918 1.05398028310383 1.04306334985134 1.05298783462633 1.06588966483381 1.0817688404738 1.02817662268886 1.04207090137384 1.10062536154627 1.04703314376134 1.0807763919963 1.04405579832884 1.11154229479876 1.06787456178881 1.08673108286129 1.0807763919963 1.02122948334637 1.0777990465638
 1.11650453718625 1.07382925265381 1.05695762853633 1.05001048919383 1.09467067068128 1.13536105825873 1.07382925265381 0.992448477498903 1.00535030770639 1.02321438030137 1.03016151964386 1.02420682877887 1.02817662268886 1.05993497396882 1.07085190722131 1.09169332524878 1.04207090137384 1.08673108286129 1.10459515545627 1.08375373742879 1.02023703486887
 1.13536105825873 1.03611621050885 1.09467067068128 1.09070087677128 1.04107845289635 1.06489721635632 1.06390476787882 1.03413131355385 1.02519927725636 0.987486235111409 1.06588966483381 0.9954258229314 1.06191987092382 1.04306334985134 1.06985945874381 1.05894252549132 0.987486235111409 1.02222193182387 1.05497273158133 1.05398028310383 1.12940636739374
 1.0768065980863 1.02916907116636 1.08970842829379 1.12345167652875 1.04703314376134 1.00038806531889 1.14925533694371 1.03710865898635 1.08375373742879 1.05596518005883 1.0748217011313 1.07283680417631 1.08573863438379 1.0768065980863 1.02420682877887 1.09864046459128 1.03115396812136 1.02718417421136 1.07184435569881 1.05199538614883 1.07283680417631
 1.00832765313888 1.08474618590629 1.06787456178881 1.06886701026631 1.06092742244632 1.06191987092382 1.01825213791387 1.01924458639137 1.03214641659886 0.994433374453901 1.08573863438379 1.03313886507635 1.06390476787882 1.03413131355385 1.05398028310383 1.04901804071634 1.05894252549132 1.03313886507635 1.13139126434874 1.0758141496088 1.04207090137384
