FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Sunday, July 07, 2024 07:20:48 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.07
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 367027
DEA_SIDEDNESS= Both Sides
BeginData
 0.889233835839017 0.863430175424045 0.880301799541526 0.859460381514049 0.839611411964071 0.871369763244036 0.882286696496524 0.885264041929021 0.827702030234084 0.881294248019025 0.89518852670401 0.842588757396568 0.818769993936594 0.808845509161605 0.819762442414093 0.896180975181509 0.84953589673906 0.863430175424045 0.866407520856542 0.909082805388995 0.848543448261561
 0.898165872136507 0.873354660199034 0.866407520856542 0.863430175424045 0.832664272621579 0.810830406116603 0.824724684801588 0.833656721099078 0.850528345216559 0.796936127431618 0.817777545459095 0.896180975181509 0.818769993936594 0.841596308919069 0.870377314766537 0.842588757396568 0.816785096981596 0.809837957639104 0.88625649040652 0.908090356911496 0.869384866289038
 0.894196078226511 0.896180975181509 0.817777545459095 0.848543448261561 0.878316902586529 0.863430175424045 0.837626515009073 0.891218732794014 0.818769993936594 0.84953589673906 0.844573654351566 0.775102260926642 0.810830406116603 0.810830406116603 0.823732236324089 0.827702030234084 0.869384866289038 0.861445278469047 0.87732445410903 0.85846793303655 0.894196078226511
 0.901143217569004 0.838618963486572 0.881294248019025 0.844573654351566 0.787011642656629 0.795943678954119 0.79495123047662 0.827702030234084 0.842588757396568 0.789988988089126 0.843581205874067 0.843581205874067 0.821747339369091 0.82273978784659 0.847550999784062 0.85846793303655 0.862437726946546 0.84953589673906 0.862437726946546 0.901143217569004 0.860452829991548
 0.799913472864115 0.881294248019025 0.842588757396568 0.78601919417913 0.874347108676533 0.860452829991548 0.801898369819113 0.801898369819113 0.787011642656629 0.825717133279086 0.784034297224132 0.815792648504097 0.788996539611627 0.791973885044124 0.804875715251609 0.816785096981596 0.791973885044124 0.843581205874067 0.839611411964071 0.884271593451522 0.870377314766537
 0.854498139126555 0.9041205630015 0.842588757396568 0.839611411964071 0.854498139126555 0.789988988089126 0.828694478711583 0.767162673106651 0.835641618054076 0.78601919417913 0.843581205874067 0.756245739854163 0.809837957639104 0.779072054836638 0.801898369819113 0.788996539611627 0.744336358124176 0.80388326677411 0.854498139126555 0.835641618054076 0.871369763244036
 0.82273978784659 0.835641618054076 0.856483036081553 0.825717133279086 0.827702030234084 0.741359012691679 0.810830406116603 0.824724684801588 0.760215533764159 0.71357045532171 0.809837957639104 0.769147570061649 0.741359012691679 0.806860612206607 0.825717133279086 0.810830406116603 0.78601919417913 0.823732236324089 0.827702030234084 0.820754890891592 0.864422623901544
 0.830679375666581 0.832664272621579 0.82273978784659 0.834649169576577 0.8138077515491 0.825717133279086 0.782049400269134 0.8138077515491 0.724487388574198 0.805868163729108 0.810830406116603 0.775102260926642 0.749298600511671 0.792966333521622 0.789988988089126 0.834649169576577 0.845566102829065 0.835641618054076 0.880301799541526 0.76815512158415 0.843581205874067
 0.862437726946546 0.834649169576577 0.799913472864115 0.814800200026598 0.84060386044157 0.834649169576577 0.787011642656629 0.745328806601675 0.757238188331662 0.802890818296612 0.793958781999121 0.755253291376664 0.793958781999121 0.782049400269134 0.765177776151653 0.806860612206607 0.863430175424045 0.856483036081553 0.807853060684106 0.848543448261561 0.880301799541526
 0.852513242171557 0.827702030234084 0.821747339369091 0.832664272621579 0.816785096981596 0.765177776151653 0.8138077515491 0.800905921341614 0.755253291376664 0.725479837051697 0.820754890891592 0.747313703556673 0.758230636809161 0.776094709404141 0.77708715788164 0.782049400269134 0.792966333521622 0.864422623901544 0.892211181271513 0.85846793303655 0.867399969334041
 0.846558551306564 0.875339557154032 0.892211181271513 0.84060386044157 0.782049400269134 0.804875715251609 0.77708715788164 0.761207982241657 0.757238188331662 0.730442079439191 0.761207982241657 0.730442079439191 0.737389218781684 0.75922308528666 0.772124915494145 0.773117363971644 0.765177776151653 0.762200430719156 0.774109812449143 0.824724684801588 0.833656721099078
 0.853505690649056 0.85846793303655 0.819762442414093 0.771132467016647 0.829686927189082 0.788004091134128 0.805868163729108 0.806860612206607 0.74036656421418 0.757238188331662 0.78601919417913 0.784034297224132 0.816785096981596 0.806860612206607 0.78601919417913 0.748306152034172 0.83167182414408 0.820754890891592 0.841596308919069 0.863430175424045 0.845566102829065
 0.804875715251609 0.809837957639104 0.839611411964071 0.79495123047662 0.844573654351566 0.750291048989169 0.748306152034172 0.790981436566625 0.760215533764159 0.724487388574198 0.730442079439191 0.692729037294233 0.830679375666581 0.793958781999121 0.795943678954119 0.763192879196655 0.814800200026598 0.79495123047662 0.825717133279086 0.805868163729108 0.881294248019025
 0.867399969334041 0.828694478711583 0.83167182414408 0.811822854594102 0.776094709404141 0.807853060684106 0.773117363971644 0.798921024386616 0.75922308528666 0.78601919417913 0.741359012691679 0.76815512158415 0.781056951791636 0.739374115736681 0.753268394421666 0.761207982241657 0.797928575909117 0.776094709404141 0.810830406116603 0.824724684801588 0.812815303071601
 0.891218732794014 0.893203629749012 0.853505690649056 0.793958781999121 0.851520793694058 0.8138077515491 0.848543448261561 0.820754890891592 0.792966333521622 0.770140018539148 0.767162673106651 0.749298600511671 0.781056951791636 0.791973885044124 0.78601919417913 0.848543448261561 0.86839241781154 0.789988988089126 0.87732445410903 0.85846793303655 0.821747339369091
 0.871369763244036 0.891218732794014 0.856483036081553 0.83167182414408 0.833656721099078 0.864422623901544 0.773117363971644 0.797928575909117 0.77708715788164 0.8138077515491 0.79495123047662 0.793958781999121 0.779072054836638 0.782049400269134 0.812815303071601 0.78601919417913 0.802890818296612 0.812815303071601 0.845566102829065 0.854498139126555 0.821747339369091
 0.907097908433997 0.906105459956498 0.854498139126555 0.872362211721535 0.821747339369091 0.787011642656629 0.769147570061649 0.747313703556673 0.800905921341614 0.89518852670401 0.8138077515491 0.819762442414093 0.844573654351566 0.818769993936594 0.795943678954119 0.839611411964071 0.828694478711583 0.819762442414093 0.83167182414408 0.828694478711583 0.848543448261561
 0.863430175424045 0.835641618054076 0.847550999784062 0.851520793694058 0.816785096981596 0.827702030234084 0.853505690649056 0.851520793694058 0.824724684801588 0.821747339369091 0.800905921341614 0.82273978784659 0.77708715788164 0.818769993936594 0.806860612206607 0.809837957639104 0.848543448261561 0.87732445410903 0.829686927189082 0.891218732794014 0.874347108676533
 0.87732445410903 0.909082805388995 0.903128114524001 0.834649169576577 0.841596308919069 0.789988988089126 0.82273978784659 0.818769993936594 0.782049400269134 0.825717133279086 0.833656721099078 0.823732236324089 0.817777545459095 0.846558551306564 0.788996539611627 0.835641618054076 0.828694478711583 0.853505690649056 0.879309351064028 0.869384866289038 0.897173423659008
 0.851520793694058 0.902135666046502 0.883279144974023 0.85846793303655 0.869384866289038 0.851520793694058 0.805868163729108 0.856483036081553 0.859460381514049 0.843581205874067 0.83167182414408 0.823732236324089 0.816785096981596 0.917022393208986 0.825717133279086 0.869384866289038 0.860452829991548 0.873354660199034 0.952750538398947 0.909082805388995 0.874347108676533
 0.959697677741439 0.892211181271513 0.965652368606433 0.864422623901544 0.865415072379043 0.871369763244036 0.824724684801588 0.854498139126555 0.79495123047662 0.875339557154032 0.867399969334041 0.839611411964071 0.848543448261561 0.787011642656629 0.872362211721535 0.910075253866494 0.910075253866494 0.878316902586529 0.928931774938973 0.902135666046502 0.890226284316516

