FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Sunday, July 07, 2024 04:44:37 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.06
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 298282
DEA_SIDEDNESS= Both Sides
BeginData
 0.755253291376664 0.71357045532171 0.754260842899165 0.773117363971644 0.719525146186703 0.691736588816734 0.694713934249231 0.708608212934215 0.666925376879261 0.749298600511671 0.666925376879261 0.683797000996743 0.747313703556673 0.732426976394189 0.68578189795174 0.733419424871688 0.721510043141701 0.755253291376664 0.784034297224132 0.718532697709204 0.761207982241657
 0.785026745701631 0.728457182484193 0.742351461169178 0.634174577121797 0.710593109889213 0.682804552519244 0.719525146186703 0.754260842899165 0.729449630961692 0.663948031446764 0.648068855806782 0.734411873349187 0.673872516221753 0.677842310131749 0.745328806601675 0.663948031446764 0.663948031446764 0.715555352276708 0.746321255079174 0.75922308528666 0.725479837051697
 0.720517594664202 0.694713934249231 0.710593109889213 0.687766794906738 0.743343909646677 0.742351461169178 0.642114164941788 0.674864964699252 0.637151922554294 0.656008443626773 0.677842310131749 0.712578006844211 0.672880067744255 0.657000892104272 0.680819655564246 0.665932928401762 0.728457182484193 0.690744140339235 0.770140018539148 0.720517594664202 0.765177776151653
 0.773117363971644 0.752275945944167 0.717540249231705 0.695706382726729 0.671887619266756 0.68578189795174 0.640129267986791 0.678834758609248 0.647076407329283 0.633182128644298 0.66791782535676 0.656008443626773 0.701661073591723 0.71357045532171 0.666925376879261 0.626234989301806 0.688759243384237 0.648068855806782 0.666925376879261 0.66791782535676 0.758230636809161
 0.708608212934215 0.721510043141701 0.699676176636725 0.689751691861736 0.711585558366712 0.714562903799209 0.646083958851784 0.646083958851784 0.647076407329283 0.637151922554294 0.602416225841832 0.647076407329283 0.668910273834259 0.636159474076795 0.648068855806782 0.687766794906738 0.673872516221753 0.70463841902422 0.683797000996743 0.701661073591723 0.711585558366712
 0.690744140339235 0.715555352276708 0.707615764456716 0.657993340581771 0.680819655564246 0.683797000996743 0.627227437779305 0.662955582969265 0.591499292589344 0.612340710616821 0.628219886256804 0.646083958851784 0.648068855806782 0.603408674319331 0.671887619266756 0.624250092346808 0.675857413176751 0.725479837051697 0.673872516221753 0.745328806601675 0.70463841902422
 0.744336358124176 0.65005375276178 0.675857413176751 0.686774346429239 0.653031098194276 0.615318056049318 0.620280298436812 0.617302953004316 0.620280298436812 0.570657874561867 0.607378468229327 0.6311972316893 0.60440112279683 0.649061304284281 0.642114164941788 0.659978237536769 0.648068855806782 0.662955582969265 0.683797000996743 0.67684986165425 0.695706382726729
 0.673872516221753 0.673872516221753 0.711585558366712 0.643106613419287 0.657000892104272 0.656008443626773 0.630204783211802 0.617302953004316 0.598446431931836 0.645091510374285 0.600431328886834 0.583559704769353 0.619287849959314 0.593484189544342 0.630204783211802 0.670895170789257 0.657000892104272 0.654023546671775 0.670895170789257 0.702653522069222 0.663948031446764
 0.686774346429239 0.751283497466668 0.681812104041745 0.688759243384237 0.649061304284281 0.648068855806782 0.626234989301806 0.603408674319331 0.634174577121797 0.605393571274329 0.528975038506913 0.632189680166799 0.607378468229327 0.616310504526817 0.587529498679348 0.682804552519244 0.630204783211802 0.708608212934215 0.652038649716777 0.707615764456716 0.74036656421418
 0.730442079439191 0.687766794906738 0.628219886256804 0.648068855806782 0.671887619266756 0.59546908649934 0.582567256291854 0.625242540824307 0.593484189544342 0.619287849959314 0.568672977606869 0.58653705020185 0.566688080651871 0.618295401481815 0.617302953004316 0.62226519539181 0.671887619266756 0.612340710616821 0.663948031446764 0.688759243384237 0.686774346429239
 0.732426976394189 0.697691279681727 0.693721485771732 0.659978237536769 0.655015995149274 0.619287849959314 0.651046201239279 0.596461534976839 0.632189680166799 0.6311972316893 0.578597462381858 0.607378468229327 0.608370916706826 0.627227437779305 0.637151922554294 0.638144371031793 0.678834758609248 0.623257643869309 0.716547800754207 0.729449630961692 0.659978237536769
 0.711585558366712 0.692729037294233 0.679827207086747 0.654023546671775 0.649061304284281 0.572642771516865 0.577605013904359 0.602416225841832 0.590506844111845 0.578597462381858 0.60440112279683 0.61333315909432 0.555771147399383 0.662955582969265 0.60440112279683 0.611348262139322 0.65005375276178 0.594476638021841 0.695706382726729 0.693721485771732 0.73143452791669
 0.721510043141701 0.673872516221753 0.648068855806782 0.648068855806782 0.642114164941788 0.671887619266756 0.627227437779305 0.654023546671775 0.556763595876882 0.594476638021841 0.625242540824307 0.564703183696874 0.577605013904359 0.575620116949362 0.645091510374285 0.636159474076795 0.608370916706826 0.653031098194276 0.672880067744255 0.703645970546721 0.691736588816734
 0.708608212934215 0.668910273834259 0.671887619266756 0.637151922554294 0.614325607571819 0.662955582969265 0.596461534976839 0.620280298436812 0.596461534976839 0.585544601724351 0.566688080651871 0.594476638021841 0.617302953004316 0.64112171646429 0.647076407329283 0.645091510374285 0.626234989301806 0.698683728159226 0.670895170789257 0.639136819509292 0.691736588816734
 0.734411873349187 0.661963134491767 0.681812104041745 0.701661073591723 0.687766794906738 0.640129267986791 0.574627668471863 0.620280298436812 0.612340710616821 0.651046201239279 0.594476638021841 0.591499292589344 0.620280298436812 0.642114164941788 0.596461534976839 0.674864964699252 0.659978237536769 0.663948031446764 0.700668625114224 0.647076407329283 0.714562903799209
 0.748306152034172 0.718532697709204 0.715555352276708 0.662955582969265 0.668910273834259 0.647076407329283 0.653031098194276 0.590506844111845 0.633182128644298 0.616310504526817 0.615318056049318 0.626234989301806 0.577605013904359 0.610355813661823 0.652038649716777 0.619287849959314 0.661963134491767 0.663948031446764 0.672880067744255 0.681812104041745 0.748306152034172
 0.697691279681727 0.673872516221753 0.73143452791669 0.661963134491767 0.664940479924263 0.68578189795174 0.669902722311758 0.639136819509292 0.652038649716777 0.611348262139322 0.625242540824307 0.657000892104272 0.620280298436812 0.646083958851784 0.708608212934215 0.702653522069222 0.672880067744255 0.693721485771732 0.718532697709204 0.721510043141701 0.775102260926642
 0.739374115736681 0.711585558366712 0.719525146186703 0.689751691861736 0.697691279681727 0.698683728159226 0.678834758609248 0.66791782535676 0.615318056049318 0.636159474076795 0.6311972316893 0.660970686014268 0.699676176636725 0.694713934249231 0.673872516221753 0.701661073591723 0.692729037294233 0.671887619266756 0.694713934249231 0.755253291376664 0.688759243384237
 0.762200430719156 0.67684986165425 0.754260842899165 0.665932928401762 0.680819655564246 0.68578189795174 0.640129267986791 0.684789449474241 0.690744140339235 0.700668625114224 0.689751691861736 0.659978237536769 0.699676176636725 0.656008443626773 0.653031098194276 0.67684986165425 0.691736588816734 0.723494940096699 0.723494940096699 0.696698831204228 0.751283497466668
 0.745328806601675 0.76815512158415 0.779072054836638 0.734411873349187 0.727464734006695 0.723494940096699 0.663948031446764 0.718532697709204 0.664940479924263 0.688759243384237 0.712578006844211 0.717540249231705 0.656008443626773 0.745328806601675 0.689751691861736 0.728457182484193 0.736396770304185 0.710593109889213 0.745328806601675 0.721510043141701 0.742351461169178
 0.788996539611627 0.745328806601675 0.756245739854163 0.779072054836638 0.7225024916192 0.651046201239279 0.684789449474241 0.648068855806782 0.692729037294233 0.684789449474241 0.680819655564246 0.66791782535676 0.687766794906738 0.66791782535676 0.717540249231705 0.674864964699252 0.756245739854163 0.746321255079174 0.73143452791669 0.749298600511671 0.791973885044124

