FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Sunday, June 30, 2024 00:44:03 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.1
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 899358
DEA_SIDEDNESS= Both Sides
BeginData
 1.77052808385796 1.738769732578 1.71296607216303 1.7357923871455 1.69410955109055 1.734799938668 1.74571687192049 1.76556584147047 1.79335439884043 1.76854318690296 1.77052808385796 1.86084089531035 1.70998872673053 1.76854318690296 1.73182259323551 1.6554040604681 1.64547957569311 1.70304158738804 1.70204913891054 1.81221091991291 1.78541481102044
 1.82809009555289 1.72983769628051 1.74273952648799 1.70006424195555 1.67128323610808 1.70701138129804 1.85190885901286 1.8201505077329 1.84694661662537 2.01070061541267 2.02360244562015 1.95710839762774 1.92931984025777 1.9035161798428 1.83801458032788 1.83305233794039 1.67922282392807 1.68616996327056 1.61769101832315 1.7397621810555 1.74869421735299
 1.71892076302802 1.67922282392807 1.66731344219809 1.71892076302802 1.72189810846052 1.81022602295791 1.93328963416776 1.96008574306023 2.03650427582764 2.06429283319761 2.08116445731508 1.97298757326772 2.02757223953015 1.99680633672769 1.89756148897781 1.92634249482527 1.79533929579543 1.74273952648799 1.64150978178312 1.66632099372059 1.60677408507066
 1.63257774548563 1.68815486022556 1.83007499250789 1.76060359908297 1.90947087070779 1.97894226413271 2.06032303928761 2.0692550755851 2.13277177814502 2.06131548776511 2.17048482028998 2.19430358374995 2.01764775475516 2.11788505098254 2.09307383904507 2.03253448191764 1.91840290700528 1.76159604756047 1.68319261783807 1.71892076302802 1.69807934500055
 1.70601893282054 1.7377772841005 1.83404478641788 1.85687110140036 2.04245896669263 2.10895301468505 2.18338665049746 2.17643951115497 2.16353768094748 2.22606193502991 2.24491845610239 2.24789580153488 2.25385049239988 2.17743195963247 2.1536131961725 2.07818711188259 2.03253448191764 1.95214615524024 1.70304158738804 1.7397621810555 1.70998872673053
 1.64349467873812 1.70701138129804 1.86778803465284 1.98092716108771 2.11193036011755 2.12483219032503 2.148650953785 2.25881273478737 2.34416330385227 2.26873721956236 2.31141250409481 2.35210289167226 2.29255598302233 2.26873721956236 2.21018275938993 2.19430358374995 2.10200587534256 2.03253448191764 1.82709764707539 1.80327888361542 1.71594341759553
 1.738769732578 1.80625622904792 1.94817636133025 2.14368871139751 2.10696811773005 2.19827337765994 2.34813309776226 2.27171456499485 2.3153822980048 2.3957706246822 2.32629923125729 2.36301982492474 2.30446536475231 2.29950312236482 2.22407703807491 2.18934134136245 2.15659054160499 2.02657979105265 1.99382899129519 1.79831664122793 1.74968666583049
 1.67326813306308 1.79136950188544 1.95810084610523 2.12483219032503 2.14368871139751 2.17842440810997 2.27667680738235 2.31141250409481 2.38485369142972 2.43149876987216 2.40966490336719 2.44043080616965 2.33721616450977 2.36202737644724 2.34217840689727 2.17941685658747 2.19529603222745 2.16453012942498 1.94222167046525 1.8231278531654 1.740754629533
 1.78045256863295 1.9074859737528 2.04146651821513 2.09208139056757 2.2330090743724 2.25980518326487 2.32927657668978 2.39279327924971 2.52280402980205 2.4821136422246 2.53173606609954 2.48707588461209 2.41760449118718 2.44936284246714 2.31141250409481 2.34614820080726 2.18140175354246 2.10399077229756 1.99482143977269 1.93428208264526 1.74472442344299
 1.78739970797544 2.01467040932267 2.08116445731508 2.13277177814502 2.11689260250504 2.3163747464823 2.3997404185922 2.49898526634208 2.44539304855714 2.53272851457704 2.44241570312465 2.49203812699959 2.43844590921465 2.4781438483146 2.37592165513223 2.28263149824734 2.16056033551499 2.21613745025492 2.08711914818008 1.93924432503276 1.72388300541552
 1.78045256863295 1.95512350067274 2.03948162126014 2.20720541395743 2.32133698886979 2.28263149824734 2.41661204270968 2.38683858838471 2.61807908364193 2.44340815160215 1.26239446337858 2.42455163052967 2.42852142443966 2.40470266097969 2.3153822980048 2.3947781762047 2.21712989873242 2.13971891748751 2.07520976645009 1.97794981565521 1.76060359908297
 1.75167156278548 1.89855393745531 1.96008574306023 2.13078688119002 2.21911479568742 2.35607268558225 2.41561959423218 2.49303057547709 2.45730243028713 2.53272851457704 2.560517071947 2.52578137523455 2.4821136422246 2.44440060007964 2.35607268558225 2.28461639520234 2.42653652748467 2.11490770555004 2.02459489409765 2.00176857911518 1.77449787776796
 1.72983769628051 1.9888667489077 2.05039855451262 2.16750747485748 2.23995621371489 2.2340015228499 2.35111044319476 2.47318160592711 2.43447611530466 2.46623446658462 2.44737794551214 2.45829487876463 2.43149876987216 2.49501547243208 2.38485369142972 2.27270701347235 2.25186559544488 2.08314935427008 2.12086239641504 1.86282579226535 1.7397621810555
 1.76755073842546 1.84396927119287 1.88565210724782 2.10796056620755 2.18437909897496 2.17743195963247 2.34118595841977 2.39080838229471 2.40966490336719 2.35408778862725 2.49501547243208 2.43546856378216 2.36897451578974 2.42256673357467 2.29255598302233 2.22407703807491 2.26972966803986 2.10895301468505 2.00573837302518 1.90947087070779 1.75861870212798
 1.69013975718056 1.734799938668 1.9045086283203 2.05436834842262 2.11788505098254 2.14269626292001 2.24789580153488 2.27369946194985 2.3183596434373 2.34019350994227 2.39180083077221 2.38088389751972 2.38286879447472 2.31042005561731 2.33920106146477 2.21613745025492 2.18735644440746 2.05833814233261 1.95016125828524 1.87175782856284 1.80427133209292
 1.68418506631557 1.6524267150356 1.84595416814787 2.03451937887264 2.12880198423503 2.1516282992175 2.26179008021987 2.22506948655241 2.30446536475231 2.28064660129234 2.3133974010498 2.27469191042735 2.3193520919148 2.22308458959741 2.22903928046241 2.08414180274758 2.0672701786301 2.00772326998017 1.83900702880538 1.80030153818293 1.70601893282054
