FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Sunday, June 30, 2024 04:20:02 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.08
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 124841
DEA_SIDEDNESS= Both Sides
BeginData
 0.525997693074416 0.471413026811976 0.419805705982033 0.389039803179567 0.400949184909554 0.389039803179567 0.370183282107088 0.342394724737118 0.3592663488546 0.344379621692116 0.335447585394626 0.317583512799645 0.344379621692116 0.362243694287096 0.321553306709641 0.383085112314573 0.418813257504534 0.395986942522059 0.438662227054512 0.484314857019462 0.53195238393941
 0.499201584181946 0.43171508771202 0.409881221207044 0.374153076017083 0.37713042144958 0.327507997574635 0.307659028024656 0.319568409754643 0.295749646294669 0.262006398059707 0.290787403907175 0.301704337159663 0.315598615844648 0.300711888682164 0.294757197817171 0.343387173214617 0.40392653034205 0.404918978819549 0.401941633387053 0.465458335946983 0.48629975397446
 0.478360166154469 0.427745293802024 0.395986942522059 0.361251245809597 0.341402276259619 0.33147779148463 0.302696785637162 0.290787403907175 0.269945985879698 0.274908228267192 0.277885573699689 0.273915779789693 0.297734543249667 0.287810058474678 0.315598615844648 0.345372070169615 0.307659028024656 0.329492894529632 0.387054906224569 0.384077560792072 0.445609366397005
 0.407896324252046 0.365221039719593 0.356289003422103 0.335447585394626 0.311628821934652 0.27689312522219 0.257044155672212 0.262998846537205 0.270938434357197 0.235210289167236 0.244142325464726 0.246127222419724 0.226278252869747 0.292772300862173 0.289794955429676 0.281855367609685 0.306666579547157 0.332470239962129 0.342394724737118 0.342394724737118 0.391024700134565
 0.402934081864552 0.36819838515209 0.326515549097136 0.301704337159663 0.295749646294669 0.28582516151968 0.244142325464726 0.254066810239715 0.238187634599733 0.191542556157286 0.23223294373474 0.220323562004753 0.264983743492203 0.243149876987227 0.253074361762216 0.294757197817171 0.284832713042181 0.280862919132186 0.309643924979654 0.312621270412151 0.407896324252046
 0.36819838515209 0.307659028024656 0.286817609997179 0.282847816087184 0.27689312522219 0.240172531554731 0.245134773942225 0.235210289167236 0.217346216572257 0.20543683484227 0.16970868965231 0.210399077229764 0.226278252869747 0.221316010482252 0.211391525707263 0.264983743492203 0.280862919132186 0.289794955429676 0.325523100619637 0.298726991727166 0.357281451899602
 0.321553306709641 0.332470239962129 0.292772300862173 0.28582516151968 0.266968640447201 0.213376422662261 0.24116498003223 0.198489695499778 0.18757276224729 0.164746447264816 0.162761550309818 0.146882374669836 0.192535004634785 0.193527453112283 0.204444386364771 0.221316010482252 0.224293355914749 0.275900676744691 0.294757197817171 0.323538203664639 0.345372070169615
 0.378122869927079 0.333462688439628 0.287810058474678 0.256051707194713 0.249104567852221 0.246127222419724 0.193527453112283 0.183602968337295 0.149859720102333 0.147874823147335 0.161769101832319 0.158791756399823 0.165738895742315 0.155814410967326 0.197497247022279 0.219331113527254 0.236202737644735 0.264983743492203 0.296742094772168 0.289794955429676 0.33147779148463
 0.324530652142138 0.344379621692116 0.311628821934652 0.263991295014704 0.243149876987227 0.230248046779742 0.189557659202288 0.174670932039805 0.150852168579832 0.139935235327344 0.0982523992723905 0.147874823147335 0.134972992939849 0.161769101832319 0.1786407259498 0.231240495257241 0.231240495257241 0.243149876987227 0.277885573699689 0.306666579547157 0.324530652142138
 0.342394724737118 0.333462688439628 0.270938434357197 0.266968640447201 0.246127222419724 0.199482143977277 0.179633174427299 0.163753998787317 0.122071162732364 0.106191987092382 0.0615318056049315 0.0962675023173928 0.11710892034487 0.149859720102333 0.159784204877322 0.16970868965231 0.213376422662261 0.224293355914749 0.2679610889247 0.291779852384674 0.326515549097136
