FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Sunday, June 30, 2024 23:05:13 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -1.0408340855861e-17
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 50048
DEA_SIDEDNESS= Both Sides
BeginData
 0.210399077229764 0.204444386364771 0.201467040932274 0.182610519859796 0.173678483562306 0.135965441417348 0.147874823147335 0.153829514012328 0.135965441417348 0.147874823147335 0.148867271624834 0.148867271624834 0.155814410967326 0.121078714254865 0.132988095984852 0.140927683804843 0.148867271624834 0.171693586607308 0.19650479854478 0.181618071382297 0.193527453112283
 0.174670932039805 0.180625622904798 0.165738895742315 0.183602968337295 0.132988095984852 0.130010750552355 0.12604095664236 0.134972992939849 0.127033405119858 0.100237296227388 0.110161781002377 0.113139126434874 0.137950338372346 0.144897477714838 0.124056059687362 0.157799307922324 0.16077665335482 0.15184461705733 0.166731344219814 0.16970868965231 0.164746447264816
 0.18757276224729 0.170701138129809 0.168716241174811 0.140927683804843 0.150852168579832 0.131003199029854 0.121078714254865 0.131003199029854 0.121078714254865 0.107184435569881 0.124056059687362 0.113139126434874 0.111154229479876 0.115124023389872 0.131003199029854 0.137950338372346 0.137950338372346 0.140927683804843 0.154821962489827 0.153829514012328 0.171693586607308
 0.173678483562306 0.16077665335482 0.150852168579832 0.146882374669836 0.129018302074856 0.135965441417348 0.104207090137384 0.0972599507948917 0.0883279144974016 0.100237296227388 0.0853505690649049 0.0922977084073972 0.103214641659885 0.122071162732364 0.11710892034487 0.111154229479876 0.129018302074856 0.124056059687362 0.122071162732364 0.161769101832319 0.190550107679787
 0.172686035084807 0.136957889894847 0.115124023389872 0.147874823147335 0.103214641659885 0.0932901568848961 0.0972599507948917 0.0793958781999115 0.0833656721099071 0.0764185327674149 0.0625242540824303 0.0932901568848961 0.0863430175424038 0.0903128114523994 0.0833656721099071 0.104207090137384 0.115124023389872 0.131995647507353 0.165738895742315 0.143905029237339 0.177648277472301
 0.138942786849845 0.146882374669836 0.131995647507353 0.11710892034487 0.103214641659885 0.104207090137384 0.0903128114523994 0.0922977084073972 0.0664940479924259 0.0823732236324082 0.0714562903799204 0.0714562903799204 0.0734411873349182 0.0774109812449138 0.105199538614883 0.114131574912373 0.123063611209863 0.109169332524878 0.11710892034487 0.12604095664236 0.165738895742315
 0.140927683804843 0.145889926192337 0.116116471867371 0.108176884047379 0.100237296227388 0.0883279144974016 0.0793958781999115 0.0575620116949359 0.065501599514927 0.0615318056049315 0.0625242540824303 0.065501599514927 0.0684789449474237 0.0793958781999115 0.0734411873349182 0.0863430175424038 0.0853505690649049 0.0952750538398939 0.152837065534829 0.144897477714838 0.12604095664236
 0.130010750552355 0.120086265777366 0.136957889894847 0.113139126434874 0.0853505690649049 0.0873354660199027 0.0744336358124171 0.056569563217437 0.0575620116949359 0.0615318056049315 0.0585544601724348 0.0605393571274326 0.0525997693074414 0.0535922177849403 0.0625242540824303 0.0883279144974016 0.0893203629749005 0.102222193182386 0.135965441417348 0.144897477714838 0.143905029237339
 0.11710892034487 0.125048508164861 0.132988095984852 0.0903128114523994 0.0833656721099071 0.0595469086499337 0.0833656721099071 0.0535922177849403 0.0575620116949359 0.0555771147399381 0.0347356967124613 0.037713042144958 0.0446601814874502 0.0645091510374281 0.0664940479924259 0.0863430175424038 0.0793958781999115 0.0952750538398939 0.116116471867371 0.12604095664236 0.124056059687362
 0.135965441417348 0.136957889894847 0.118101368822368 0.113139126434874 0.0883279144974016 0.0575620116949359 0.0645091510374281 0.0635167025599292 0.0496224238749447 0.0545846662624392 0.0357281451899602 0.0426752845324525 0.0456526299649491 0.0516073208299425 0.046645078442448 0.0704638419024215 0.0873354660199027 0.114131574912373 0.116116471867371 0.115124023389872 0.122071162732364
