FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Monday, July 01, 2024 18:31:20 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.09
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 334960
DEA_SIDEDNESS= Both Sides
BeginData
 0.8138077515491 0.818769993936594 0.821747339369091 0.781056951791636 0.839611411964071 0.802890818296612 0.809837957639104 0.74036656421418 0.797928575909117 0.808845509161605 0.782049400269134 0.741359012691679 0.767162673106651 0.776094709404141 0.765177776151653 0.789988988089126 0.776094709404141 0.830679375666581 0.747313703556673 0.821747339369091 0.835641618054076
 0.823732236324089 0.780064503314137 0.836634066531574 0.802890818296612 0.783041848746633 0.770140018539148 0.800905921341614 0.761207982241657 0.818769993936594 0.736396770304185 0.783041848746633 0.808845509161605 0.779072054836638 0.778079606359139 0.739374115736681 0.769147570061649 0.764185327674154 0.795943678954119 0.767162673106651 0.708608212934215 0.792966333521622
 0.843581205874067 0.806860612206607 0.751283497466668 0.833656721099078 0.715555352276708 0.738381667259183 0.748306152034172 0.734411873349187 0.750291048989169 0.767162673106651 0.747313703556673 0.766170224629152 0.769147570061649 0.703645970546721 0.757238188331662 0.799913472864115 0.75922308528666 0.770140018539148 0.773117363971644 0.762200430719156 0.829686927189082
 0.757238188331662 0.757238188331662 0.800905921341614 0.799913472864115 0.78601919417913 0.769147570061649 0.751283497466668 0.770140018539148 0.68578189795174 0.721510043141701 0.793958781999121 0.730442079439191 0.715555352276708 0.703645970546721 0.784034297224132 0.764185327674154 0.776094709404141 0.818769993936594 0.795943678954119 0.774109812449143 0.798921024386616
 0.820754890891592 0.763192879196655 0.75922308528666 0.763192879196655 0.756245739854163 0.824724684801588 0.73143452791669 0.734411873349187 0.783041848746633 0.719525146186703 0.701661073591723 0.706623315979217 0.739374115736681 0.709600661411714 0.736396770304185 0.758230636809161 0.748306152034172 0.773117363971644 0.800905921341614 0.796936127431618 0.761207982241657
 0.820754890891592 0.757238188331662 0.765177776151653 0.763192879196655 0.798921024386616 0.756245739854163 0.752275945944167 0.734411873349187 0.749298600511671 0.694713934249231 0.66791782535676 0.742351461169178 0.687766794906738 0.693721485771732 0.708608212934215 0.763192879196655 0.705630867501719 0.75922308528666 0.772124915494145 0.775102260926642 0.756245739854163
 0.841596308919069 0.748306152034172 0.727464734006695 0.73143452791669 0.730442079439191 0.723494940096699 0.773117363971644 0.707615764456716 0.736396770304185 0.678834758609248 0.74036656421418 0.689751691861736 0.754260842899165 0.693721485771732 0.696698831204228 0.726472285529196 0.757238188331662 0.757238188331662 0.720517594664202 0.754260842899165 0.753268394421666
 0.795943678954119 0.775102260926642 0.772124915494145 0.749298600511671 0.729449630961692 0.668910273834259 0.739374115736681 0.691736588816734 0.712578006844211 0.66791782535676 0.668910273834259 0.697691279681727 0.723494940096699 0.687766794906738 0.717540249231705 0.716547800754207 0.775102260926642 0.782049400269134 0.747313703556673 0.821747339369091 0.788004091134128
 0.84060386044157 0.745328806601675 0.821747339369091 0.758230636809161 0.751283497466668 0.68578189795174 0.751283497466668 0.673872516221753 0.70463841902422 0.666925376879261 0.696698831204228 0.717540249231705 0.726472285529196 0.679827207086747 0.690744140339235 0.746321255079174 0.729449630961692 0.729449630961692 0.702653522069222 0.817777545459095 0.8138077515491
 0.825717133279086 0.732426976394189 0.753268394421666 0.78601919417913 0.74036656421418 0.716547800754207 0.693721485771732 0.681812104041745 0.657993340581771 0.64112171646429 0.700668625114224 0.723494940096699 0.74036656421418 0.696698831204228 0.738381667259183 0.750291048989169 0.736396770304185 0.742351461169178 0.779072054836638 0.805868163729108 0.760215533764159
