FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Monday, July 01, 2024 15:32:04 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.08
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 249580
DEA_SIDEDNESS= Both Sides
BeginData
 0.65005375276178 0.691736588816734 0.652038649716777 0.617302953004316 0.573635219994364 0.566688080651871 0.633182128644298 0.612340710616821 0.621272746914311 0.593484189544342 0.589514395634346 0.619287849959314 0.589514395634346 0.627227437779305 0.60440112279683 0.637151922554294 0.654023546671775 0.620280298436812 0.617302953004316 0.668910273834259 0.684789449474241
 0.664940479924263 0.664940479924263 0.64112171646429 0.625242540824307 0.597453983454338 0.550808905011889 0.614325607571819 0.582567256291854 0.54981645653439 0.579589910859357 0.571650323039366 0.56768052912937 0.530959935461911 0.584552153246852 0.59546908649934 0.584552153246852 0.59546908649934 0.608370916706826 0.557756044354381 0.662955582969265 0.634174577121797
 0.657993340581771 0.652038649716777 0.577605013904359 0.591499292589344 0.601423777364333 0.555771147399383 0.592491741066843 0.598446431931836 0.562718286741876 0.54981645653439 0.562718286741876 0.544854214146895 0.548824008056891 0.560733389786878 0.557756044354381 0.61333315909432 0.610355813661823 0.612340710616821 0.610355813661823 0.651046201239279 0.65898578905927
 0.632189680166799 0.6311972316893 0.588521947156847 0.621272746914311 0.554778698921884 0.54981645653439 0.534929729371906 0.571650323039366 0.556763595876882 0.537907074804403 0.514088311344429 0.556763595876882 0.536914626326904 0.539891971759401 0.547831559579392 0.537907074804403 0.561725838264377 0.593484189544342 0.639136819509292 0.648068855806782 0.59546908649934
 0.656008443626773 0.628219886256804 0.626234989301806 0.57661256542686 0.560733389786878 0.54981645653439 0.550808905011889 0.581574807814355 0.536914626326904 0.530959935461911 0.510118517434434 0.546839111101893 0.525005244596917 0.577605013904359 0.528975038506913 0.544854214146895 0.577605013904359 0.587529498679348 0.607378468229327 0.637151922554294 0.652038649716777
 0.536914626326904 0.623257643869309 0.602416225841832 0.587529498679348 0.562718286741876 0.574627668471863 0.537907074804403 0.516073208299427 0.511110965911933 0.525997693074416 0.493246893316952 0.487292202451959 0.475382820721972 0.517065656776926 0.546839111101893 0.575620116949362 0.556763595876882 0.580582359336856 0.563710735219375 0.614325607571819 0.609363365184324
 0.611348262139322 0.579589910859357 0.547831559579392 0.594476638021841 0.574627668471863 0.505156275046939 0.556763595876882 0.484314857019462 0.542869317191898 0.502178929614442 0.462480990514486 0.494239341794451 0.479352614631967 0.530959935461911 0.524012796119418 0.52202789916442 0.572642771516865 0.59546908649934 0.582567256291854 0.568672977606869 0.614325607571819
 0.562718286741876 0.598446431931836 0.565695632174372 0.570657874561867 0.511110965911933 0.516073208299427 0.515080759821928 0.506148723524438 0.448586711829501 0.468435681379479 0.454541402694495 0.457518748126992 0.449579160307 0.533937280894407 0.515080759821928 0.473397923766974 0.534929729371906 0.570657874561867 0.554778698921884 0.560733389786878 0.651046201239279
 0.627227437779305 0.583559704769353 0.543861765669396 0.555771147399383 0.546839111101893 0.518058105254425 0.528975038506913 0.467443232901981 0.438662227054512 0.427745293802024 0.471413026811976 0.470420578334477 0.49523179027195 0.521035450686922 0.489277099406957 0.510118517434434 0.565695632174372 0.562718286741876 0.561725838264377 0.559740941309379 0.57661256542686
 0.592491741066843 0.605393571274329 0.565695632174372 0.559740941309379 0.506148723524438 0.482329960064464 0.489277099406957 0.49523179027195 0.490269547884455 0.457518748126992 0.485307305496961 0.491261996361954 0.457518748126992 0.454541402694495 0.499201584181946 0.476375269199471 0.529967486984412 0.560733389786878 0.566688080651871 0.600431328886834 0.582567256291854
