FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Monday, July 01, 2024 10:47:52 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.06
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 91715
DEA_SIDEDNESS= Both Sides
BeginData
 0.442632020964508 0.38606245774707 0.380107766882077 0.333462688439628 0.327507997574635 0.316591064322147 0.268953537402199 0.266968640447201 0.277885573699689 0.258036604149711 0.24116498003223 0.299719440204665 0.290787403907175 0.277885573699689 0.282847816087184 0.316591064322147 0.326515549097136 0.365221039719593 0.379115318404578 0.407896324252046 0.402934081864552
 0.408888772729545 0.36819838515209 0.327507997574635 0.306666579547157 0.289794955429676 0.24116498003223 0.261013949582208 0.230248046779742 0.248112119374722 0.22330090743725 0.222308458959751 0.238187634599733 0.234217840689738 0.261013949582208 0.262998846537205 0.251089464807219 0.301704337159663 0.273915779789693 0.352319209512107 0.345372070169615 0.390032251657066
 0.358273900377101 0.342394724737118 0.289794955429676 0.299719440204665 0.245134773942225 0.25902905262721 0.224293355914749 0.202459489409773 0.192535004634785 0.191542556157286 0.19650479854478 0.20543683484227 0.194519901589782 0.207421731797268 0.242157428509729 0.257044155672212 0.251089464807219 0.293764749339672 0.305674131069659 0.366213488197092 0.376137972972081
 0.337432482349624 0.273915779789693 0.294757197817171 0.279870470654687 0.229255598302243 0.215361319617259 0.193527453112283 0.167723792697313 0.161769101832319 0.166731344219814 0.158791756399823 0.15184461705733 0.183602968337295 0.183602968337295 0.212383974184762 0.219331113527254 0.217346216572257 0.278878022177188 0.281855367609685 0.305674131069659 0.335447585394626
 0.318575961277144 0.265976191969702 0.263991295014704 0.268953537402199 0.218338665049755 0.194519901589782 0.145889926192337 0.133980544462351 0.136957889894847 0.136957889894847 0.132988095984852 0.118101368822368 0.131003199029854 0.137950338372346 0.16970868965231 0.183602968337295 0.218338665049755 0.258036604149711 0.266968640447201 0.290787403907175 0.317583512799645
 0.302696785637162 0.286817609997179 0.248112119374722 0.229255598302243 0.176655828994802 0.16970868965231 0.149859720102333 0.131995647507353 0.116116471867371 0.107184435569881 0.11710892034487 0.114131574912373 0.127033405119858 0.0952750538398939 0.146882374669836 0.164746447264816 0.19650479854478 0.233225392212239 0.237195186122234 0.292772300862173 0.301704337159663
 0.289794955429676 0.277885573699689 0.207421731797268 0.185587865292292 0.174670932039805 0.125048508164861 0.103214641659885 0.103214641659885 0.0972599507948917 0.0803883266774104 0.100237296227388 0.0883279144974016 0.0952750538398939 0.0922977084073972 0.106191987092382 0.125048508164861 0.150852168579832 0.202459489409773 0.238187634599733 0.253074361762216 0.315598615844648
 0.286817609997179 0.255059258717214 0.212383974184762 0.176655828994802 0.148867271624834 0.131003199029854 0.101229744704887 0.101229744704887 0.0962675023173928 0.0734411873349182 0.0913052599298983 0.0932901568848961 0.0903128114523994 0.0774109812449138 0.0992448477498894 0.11710892034487 0.133980544462351 0.161769101832319 0.229255598302243 0.240172531554731 0.2679610889247
 0.283840264564683 0.234217840689738 0.215361319617259 0.168716241174811 0.153829514012328 0.100237296227388 0.0873354660199027 0.0863430175424038 0.0873354660199027 0.075426084289916 0.0893203629749005 0.0863430175424038 0.0972599507948917 0.094282605362395 0.094282605362395 0.114131574912373 0.149859720102333 0.192535004634785 0.198489695499778 0.231240495257241 0.282847816087184
 0.266968640447201 0.209406628752266 0.198489695499778 0.153829514012328 0.139935235327344 0.0962675023173928 0.084358120587406 0.0853505690649049 0.0744336358124171 0.084358120587406 0.0734411873349182 0.084358120587406 0.0744336358124171 0.094282605362395 0.0932901568848961 0.103214641659885 0.130010750552355 0.156806859444825 0.182610519859796 0.221316010482252 0.265976191969702
