FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Monday, July 15, 2024 17:01:56 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.03
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 132997
DEA_SIDEDNESS= Both Sides
BeginData
 0.412858566639541 0.396979390999558 0.378122869927079 0.357281451899602 0.361251245809597 0.341402276259619 0.360258797332098 0.320560858232142 0.317583512799645 0.338424930827122 0.328500446052133 0.312621270412151 0.345372070169615 0.346364518647114 0.388047354702068 0.341402276259619 0.36819838515209 0.378122869927079 0.37713042144958 0.423775499892029 0.428737742279523
 0.390032251657066 0.387054906224569 0.395986942522059 0.360258797332098 0.329492894529632 0.353311657989606 0.353311657989606 0.293764749339672 0.287810058474678 0.286817609997179 0.294757197817171 0.308651476502155 0.316591064322147 0.301704337159663 0.31361371888965 0.365221039719593 0.325523100619637 0.329492894529632 0.401941633387053 0.392017148612064 0.408888772729545
 0.388047354702068 0.401941633387053 0.363236142764595 0.317583512799645 0.345372070169615 0.309643924979654 0.319568409754643 0.269945985879698 0.286817609997179 0.291779852384674 0.293764749339672 0.299719440204665 0.269945985879698 0.31361371888965 0.292772300862173 0.297734543249667 0.346364518647114 0.344379621692116 0.372168179062085 0.353311657989606 0.402934081864552
 0.375145524494582 0.370183282107088 0.308651476502155 0.308651476502155 0.291779852384674 0.277885573699689 0.264983743492203 0.297734543249667 0.257044155672212 0.260021501104709 0.251089464807219 0.295749646294669 0.268953537402199 0.293764749339672 0.307659028024656 0.286817609997179 0.314606167367149 0.33147779148463 0.320560858232142 0.339417379304621 0.348349415602112
 0.364228591242094 0.353311657989606 0.334455136917127 0.306666579547157 0.315598615844648 0.274908228267192 0.260021501104709 0.282847816087184 0.256051707194713 0.228263149824744 0.245134773942225 0.243149876987227 0.268953537402199 0.236202737644735 0.283840264564683 0.278878022177188 0.262006398059707 0.288802506952177 0.325523100619637 0.361251245809597 0.3592663488546
 0.370183282107088 0.341402276259619 0.303689234114661 0.30468168259216 0.286817609997179 0.262006398059707 0.273915779789693 0.224293355914749 0.219331113527254 0.248112119374722 0.234217840689738 0.240172531554731 0.261013949582208 0.253074361762216 0.265976191969702 0.265976191969702 0.260021501104709 0.310636373457153 0.292772300862173 0.312621270412151 0.317583512799645
 0.329492894529632 0.293764749339672 0.300711888682164 0.295749646294669 0.27689312522219 0.254066810239715 0.234217840689738 0.260021501104709 0.254066810239715 0.243149876987227 0.251089464807219 0.269945985879698 0.268953537402199 0.23223294373474 0.262006398059707 0.253074361762216 0.269945985879698 0.282847816087184 0.293764749339672 0.300711888682164 0.341402276259619
 0.311628821934652 0.362243694287096 0.290787403907175 0.282847816087184 0.25009701632972 0.257044155672212 0.263991295014704 0.249104567852221 0.251089464807219 0.268953537402199 0.273915779789693 0.24116498003223 0.24116498003223 0.254066810239715 0.23223294373474 0.254066810239715 0.281855367609685 0.262006398059707 0.262006398059707 0.335447585394626 0.321553306709641
 0.321553306709641 0.288802506952177 0.318575961277144 0.289794955429676 0.261013949582208 0.230248046779742 0.287810058474678 0.248112119374722 0.248112119374722 0.254066810239715 0.289794955429676 0.280862919132186 0.273915779789693 0.240172531554731 0.243149876987227 0.263991295014704 0.265976191969702 0.294757197817171 0.290787403907175 0.302696785637162 0.310636373457153
 0.297734543249667 0.269945985879698 0.271930882834696 0.286817609997179 0.253074361762216 0.258036604149711 0.258036604149711 0.271930882834696 0.279870470654687 0.290787403907175 0.281855367609685 0.286817609997179 0.258036604149711 0.264983743492203 0.266968640447201 0.233225392212239 0.239180083077232 0.268953537402199 0.287810058474678 0.295749646294669 0.351326761034608
 0.325523100619637 0.335447585394626 0.283840264564683 0.262006398059707 0.257044155672212 0.254066810239715 0.252081913284717 0.253074361762216 0.244142325464726 0.258036604149711 0.254066810239715 0.27689312522219 0.27689312522219 0.270938434357197 0.243149876987227 0.242157428509729 0.271930882834696 0.278878022177188 0.258036604149711 0.32254575518714 0.34040982778212
 0.310636373457153 0.30468168259216 0.316591064322147 0.263991295014704 0.262998846537205 0.262998846537205 0.273915779789693 0.270938434357197 0.257044155672212 0.274908228267192 0.275900676744691 0.280862919132186 0.266968640447201 0.252081913284717 0.25902905262721 0.262998846537205 0.258036604149711 0.311628821934652 0.273915779789693 0.294757197817171 0.357281451899602
 0.295749646294669 0.303689234114661 0.262006398059707 0.262006398059707 0.295749646294669 0.252081913284717 0.249104567852221 0.271930882834696 0.231240495257241 0.278878022177188 0.294757197817171 0.272923331312195 0.281855367609685 0.268953537402199 0.263991295014704 0.268953537402199 0.253074361762216 0.263991295014704 0.301704337159663 0.300711888682164 0.317583512799645
 0.34040982778212 0.332470239962129 0.291779852384674 0.2679610889247 0.248112119374722 0.252081913284717 0.249104567852221 0.239180083077232 0.262998846537205 0.24116498003223 0.27689312522219 0.266968640447201 0.224293355914749 0.244142325464726 0.2679610889247 0.257044155672212 0.256051707194713 0.271930882834696 0.280862919132186 0.315598615844648 0.346364518647114
 0.367205936674591 0.329492894529632 0.297734543249667 0.290787403907175 0.278878022177188 0.215361319617259 0.270938434357197 0.239180083077232 0.260021501104709 0.270938434357197 0.25902905262721 0.257044155672212 0.255059258717214 0.22330090743725 0.258036604149711 0.246127222419724 0.264983743492203 0.294757197817171 0.283840264564683 0.330485343007131 0.337432482349624
 0.370183282107088 0.324530652142138 0.332470239962129 0.309643924979654 0.278878022177188 0.269945985879698 0.227270701347245 0.278878022177188 0.248112119374722 0.228263149824744 0.225285804392248 0.230248046779742 0.249104567852221 0.27689312522219 0.261013949582208 0.275900676744691 0.278878022177188 0.264983743492203 0.299719440204665 0.335447585394626 0.350334312557109
 0.405911427297048 0.343387173214617 0.34040982778212 0.320560858232142 0.344379621692116 0.255059258717214 0.281855367609685 0.266968640447201 0.265976191969702 0.254066810239715 0.246127222419724 0.245134773942225 0.262998846537205 0.270938434357197 0.261013949582208 0.288802506952177 0.27689312522219 0.298726991727166 0.323538203664639 0.325523100619637 0.411866118162042
 0.372168179062085 0.323538203664639 0.328500446052133 0.310636373457153 0.291779852384674 0.263991295014704 0.282847816087184 0.289794955429676 0.247119670897223 0.288802506952177 0.239180083077232 0.260021501104709 0.262998846537205 0.271930882834696 0.288802506952177 0.324530652142138 0.283840264564683 0.320560858232142 0.350334312557109 0.31361371888965 0.371175730584586
 0.382092663837074 0.360258797332098 0.310636373457153 0.34040982778212 0.273915779789693 0.33147779148463 0.300711888682164 0.283840264564683 0.280862919132186 0.301704337159663 0.283840264564683 0.280862919132186 0.251089464807219 0.295749646294669 0.308651476502155 0.301704337159663 0.337432482349624 0.33147779148463 0.301704337159663 0.37713042144958 0.384077560792072
 0.40392653034205 0.389039803179567 0.363236142764595 0.376137972972081 0.360258797332098 0.323538203664639 0.308651476502155 0.288802506952177 0.327507997574635 0.27689312522219 0.27689312522219 0.336440033872125 0.28582516151968 0.298726991727166 0.319568409754643 0.319568409754643 0.334455136917127 0.374153076017083 0.398964287954556 0.370183282107088 0.432707536189519
 0.408888772729545 0.412858566639541 0.390032251657066 0.399956736432055 0.34934186407961 0.353311657989606 0.320560858232142 0.323538203664639 0.327507997574635 0.323538203664639 0.309643924979654 0.311628821934652 0.366213488197092 0.343387173214617 0.321553306709641 0.357281451899602 0.34040982778212 0.387054906224569 0.382092663837074 0.426752845324525 0.409881221207044

