FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Tuesday, July 16, 2024 20:13:24 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.02
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 126935
DEA_SIDEDNESS= Both Sides
BeginData
 0.514088311344429 0.443624469442007 0.44064712400951 0.48629975397446 0.428737742279523 0.384077560792072 0.387054906224569 0.329492894529632 0.356289003422103 0.342394724737118 0.357281451899602 0.394002045567061 0.332470239962129 0.366213488197092 0.381100215359576 0.38606245774707 0.424767948369528 0.448586711829501 0.466450784424482 0.511110965911933 0.539891971759401
 0.488284650929458 0.475382820721972 0.442632020964508 0.43171508771202 0.369190833629589 0.380107766882077 0.344379621692116 0.352319209512107 0.32254575518714 0.306666579547157 0.326515549097136 0.32254575518714 0.317583512799645 0.329492894529632 0.338424930827122 0.334455136917127 0.364228591242094 0.433699984667018 0.421790602937031 0.460496093559488 0.47736771767697
 0.454541402694495 0.455533851171994 0.444616917919506 0.381100215359576 0.39499449404456 0.347356967124613 0.332470239962129 0.300711888682164 0.323538203664639 0.279870470654687 0.283840264564683 0.262006398059707 0.292772300862173 0.273915779789693 0.30468168259216 0.356289003422103 0.337432482349624 0.371175730584586 0.37713042144958 0.445609366397005 0.466450784424482
 0.485307305496961 0.412858566639541 0.361251245809597 0.358273900377101 0.324530652142138 0.311628821934652 0.290787403907175 0.265976191969702 0.240172531554731 0.249104567852221 0.264983743492203 0.249104567852221 0.252081913284717 0.252081913284717 0.30468168259216 0.294757197817171 0.335447585394626 0.346364518647114 0.404918978819549 0.417820809027035 0.490269547884455
 0.402934081864552 0.38606245774707 0.319568409754643 0.34040982778212 0.295749646294669 0.269945985879698 0.229255598302243 0.215361319617259 0.226278252869747 0.21436887113976 0.218338665049755 0.225285804392248 0.24116498003223 0.220323562004753 0.262998846537205 0.300711888682164 0.300711888682164 0.315598615844648 0.358273900377101 0.36819838515209 0.446601814874504
 0.405911427297048 0.388047354702068 0.286817609997179 0.268953537402199 0.258036604149711 0.249104567852221 0.224293355914749 0.220323562004753 0.179633174427299 0.1786407259498 0.182610519859796 0.153829514012328 0.189557659202288 0.176655828994802 0.201467040932274 0.256051707194713 0.263991295014704 0.289794955429676 0.305674131069659 0.332470239962129 0.366213488197092
 0.390032251657066 0.371175730584586 0.328500446052133 0.288802506952177 0.265976191969702 0.217346216572257 0.211391525707263 0.168716241174811 0.146882374669836 0.157799307922324 0.125048508164861 0.157799307922324 0.179633174427299 0.156806859444825 0.18757276224729 0.247119670897223 0.242157428509729 0.298726991727166 0.31361371888965 0.329492894529632 0.383085112314573
 0.381100215359576 0.354304106467105 0.320560858232142 0.280862919132186 0.23223294373474 0.212383974184762 0.159784204877322 0.154821962489827 0.133980544462351 0.113139126434874 0.108176884047379 0.102222193182386 0.116116471867371 0.164746447264816 0.162761550309818 0.226278252869747 0.251089464807219 0.279870470654687 0.298726991727166 0.30468168259216 0.378122869927079
 0.381100215359576 0.292772300862173 0.320560858232142 0.235210289167236 0.219331113527254 0.163753998787317 0.16077665335482 0.134972992939849 0.118101368822368 0.110161781002377 0.0774109812449138 0.0922977084073972 0.0972599507948917 0.132988095984852 0.155814410967326 0.185587865292292 0.201467040932274 0.270938434357197 0.301704337159663 0.33147779148463 0.326515549097136
 0.342394724737118 0.323538203664639 0.292772300862173 0.233225392212239 0.213376422662261 0.204444386364771 0.137950338372346 0.106191987092382 0.0972599507948917 0.0813807751549093 0.0694713934249226 0.0734411873349182 0.094282605362395 0.104207090137384 0.139935235327344 0.185587865292292 0.213376422662261 0.235210289167236 0.256051707194713 0.282847816087184 0.358273900377101
