FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Tuesday, July 16, 2024 22:16:52 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.03
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 229768
DEA_SIDEDNESS= Both Sides
BeginData
 0.698683728159226 0.673872516221753 0.657993340581771 0.618295401481815 0.605393571274329 0.620280298436812 0.593484189544342 0.551801353489388 0.569665426084368 0.578597462381858 0.574627668471863 0.562718286741876 0.580582359336856 0.552793801966887 0.55874849283188 0.585544601724351 0.612340710616821 0.612340710616821 0.673872516221753 0.649061304284281 0.67684986165425
 0.67684986165425 0.614325607571819 0.65005375276178 0.603408674319331 0.572642771516865 0.606386019751828 0.588521947156847 0.600431328886834 0.561725838264377 0.539891971759401 0.527982590029414 0.55874849283188 0.521035450686922 0.537907074804403 0.550808905011889 0.550808905011889 0.589514395634346 0.646083958851784 0.599438880409335 0.612340710616821 0.634174577121797
 0.655015995149274 0.6311972316893 0.593484189544342 0.577605013904359 0.551801353489388 0.563710735219375 0.526990141551915 0.554778698921884 0.492254444839453 0.52202789916442 0.526990141551915 0.516073208299427 0.543861765669396 0.516073208299427 0.515080759821928 0.557756044354381 0.603408674319331 0.568672977606869 0.594476638021841 0.643106613419287 0.67684986165425
 0.580582359336856 0.609363365184324 0.607378468229327 0.599438880409335 0.515080759821928 0.553786250444386 0.515080759821928 0.511110965911933 0.487292202451959 0.459503645081989 0.48629975397446 0.482329960064464 0.500194032659445 0.519050553731924 0.472405475289475 0.533937280894407 0.525997693074416 0.575620116949362 0.610355813661823 0.565695632174372 0.657000892104272
 0.62226519539181 0.612340710616821 0.537907074804403 0.544854214146895 0.526990141551915 0.515080759821928 0.470420578334477 0.457518748126992 0.464465887469484 0.450571608784499 0.47736771767697 0.430722639234521 0.505156275046939 0.501186481136943 0.467443232901981 0.511110965911933 0.514088311344429 0.509126068956935 0.594476638021841 0.561725838264377 0.624250092346808
 0.612340710616821 0.515080759821928 0.541876868714399 0.539891971759401 0.524012796119418 0.507141172001937 0.464465887469484 0.489277099406957 0.456526299649493 0.447594263352002 0.418813257504534 0.437669778577013 0.423775499892029 0.457518748126992 0.499201584181946 0.512103414389431 0.512103414389431 0.494239341794451 0.514088311344429 0.555771147399383 0.580582359336856
 0.550808905011889 0.557756044354381 0.501186481136943 0.519050553731924 0.470420578334477 0.452556505739497 0.442632020964508 0.412858566639541 0.420798154459532 0.426752845324525 0.42278305141453 0.400949184909554 0.467443232901981 0.417820809027035 0.450571608784499 0.49523179027195 0.496224238749449 0.482329960064464 0.497216687226948 0.578597462381858 0.571650323039366
 0.588521947156847 0.555771147399383 0.5408844202369 0.517065656776926 0.500194032659445 0.467443232901981 0.466450784424482 0.468435681379479 0.411866118162042 0.380107766882077 0.362243694287096 0.416828360549536 0.414843463594538 0.457518748126992 0.430722639234521 0.41385101511704 0.47736771767697 0.527982590029414 0.48629975397446 0.532944832416908 0.551801353489388
 0.543861765669396 0.5408844202369 0.502178929614442 0.525005244596917 0.526990141551915 0.472405475289475 0.400949184909554 0.436677330099514 0.407896324252046 0.39499449404456 0.39499449404456 0.408888772729545 0.407896324252046 0.446601814874504 0.445609366397005 0.436677330099514 0.47736771767697 0.479352614631967 0.494239341794451 0.561725838264377 0.565695632174372
 0.597453983454338 0.515080759821928 0.501186481136943 0.469428129856978 0.502178929614442 0.427745293802024 0.428737742279523 0.371175730584586 0.396979390999558 0.430722639234521 0.383085112314573 0.397971839477057 0.39499449404456 0.394002045567061 0.430722639234521 0.424767948369528 0.473397923766974 0.485307305496961 0.454541402694495 0.508133620479436 0.52202789916442
